"order","section10","mainMissionId","levelName","category","difficultyNameZh","experienceRole","roleInSection","finalStatus","finalLevelId","finalAssetPath","originalLevelId","originalAssetPath","replacementSourceKind","productionLane","productionChainLanguage","productionDifficultyBand","targetWidth","targetHeight","plannedWidth","plannedHeight","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax"
"237","24","337","Main/Level_Main_237","normal","普通/恢复","Normal","","OriginalNonTarget","direct_normal_71_direct_normal_rect_outer_shell_g1_v08","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L237_direct_normal_71_direct_normal_rect_outer_shell_g1.asset","direct_normal_71_direct_normal_rect_outer_shell_g1_v08","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L237_direct_normal_71_direct_normal_rect_outer_shell_g1.asset","","","","","23","34","","","","","","","","","",""
"238","24","338","Main/Level_Main_238","shape","普通/恢复","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb04_07_main_cactus","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L238_r2_outer_strong_005_r2_006_a401_maskonlyb04_07_mai.asset","r2_outer_strong_005_r2_006_a401_maskonlyb04_07_main_cactus","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L238_r2_outer_strong_005_r2_006_a401_maskonlyb04_07_mai.asset","","","","","34","42","","","","","","","","","",""
"239","24","339","Main/Level_Main_239","normal","极难","Peak","Peak","ReplacedStrict0910","c5nep_w13b_04_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_04_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain.asset","direct_polish_hard_19_direct_polish_hard_rect_section_unlock_g6_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L239_direct_polish_hard_19_direct_polish_hard_rect_sect.asset","strict152","PressurePeak","mixed_chain","Peak","24","44","26","34","0.981","8","8","4","0.823","0.201","6","6"
"240","24","340","Main/Level_Main_240","normal","普通/恢复","Recovery","","OriginalNonTarget","direct_polish_clean_05_direct_polish_normal_rect_dual_zone_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L240_direct_polish_clean_05_direct_polish_normal_rect_d.asset","direct_polish_clean_05_direct_polish_normal_rect_dual_zone_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L240_direct_polish_clean_05_direct_polish_normal_rect_d.asset","","","","","20","36","","","","","","","","","",""
"241","25","341","Main/Level_Main_241","normal","普通/恢复","Recovery","","OriginalNonTarget","direct_diff120_105_direct_diff_hard_long_spine_long_corridor_g1_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L241_direct_diff120_105_direct_diff_hard_long_spine_lon.asset","direct_diff120_105_direct_diff_hard_long_spine_long_corridor_g1_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L241_direct_diff120_105_direct_diff_hard_long_spine_lon.asset","","","","","23","42","","","","","","","","","",""
"242","25","342","Main/Level_Main_242_hole","hole","普通/恢复","HoleRescue","","OriginalNonTarget","hole_highchain_004_hc_32x28_dual_a","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L242_hole_highchain_004_hc_32x28_dual_a.asset","hole_highchain_004_hc_32x28_dual_a","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L242_hole_highchain_004_hc_32x28_dual_a.asset","","","","","32","28","","","","","","","","","",""
"243","25","343","Main/Level_Main_243","shape","困难","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb03_01_main_house","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L243_r2_outer_strong_005_r2_006_a401_maskonlyb03_01_mai.asset","r2_outer_strong_005_r2_006_a401_maskonlyb03_01_main_house","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L243_r2_outer_strong_005_r2_006_a401_maskonlyb03_01_mai.asset","","","","","36","38","","","","","","","","","",""
"244","25","344","Main/Level_Main_244","normal","普通/恢复","Normal","","OriginalNonTarget","direct_normal_topup_62_direct_normal_topup_rect_stair_push_g7_v08","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L244_direct_normal_topup_62_direct_normal_topup_rect_st.asset","direct_normal_topup_62_direct_normal_topup_rect_stair_push_g7_v08","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L244_direct_normal_topup_62_direct_normal_topup_rect_st.asset","","","","","22","40","","","","","","","","","",""
"245","25","345","Main/Level_Main_245","normal","特别困难","Pressure","Peak","ReplacedStrict0910","c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain.asset","direct_polish_clean_22_direct_polish_normal_rect_core_burst_g2_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L245_direct_polish_clean_22_direct_polish_normal_rect_c.asset","strict152","PressurePeak","mixed_chain","Peak","23","41","24","32","0.992","9","6","6","0.853","0.177","5","5"
"246","25","346","Main/Level_Main_246","normal","普通/恢复","Recovery","","OriginalNonTarget","direct_normal_150_direct_normal_rect_maze_long_chain_g2_v15","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L246_direct_normal_150_direct_normal_rect_maze_long_cha.asset","direct_normal_150_direct_normal_rect_maze_long_chain_g2_v15","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L246_direct_normal_150_direct_normal_rect_maze_long_cha.asset","","","","","20","42","","","","","","","","","",""
"247","25","347","Main/Level_Main_247","shape","普通/恢复","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb02_18_large_lollipop","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L247_r2_outer_strong_005_r2_006_a401_maskonlyb02_18_lar.asset","r2_outer_strong_005_r2_006_a401_maskonlyb02_18_large_lollipop","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L247_r2_outer_strong_005_r2_006_a401_maskonlyb02_18_lar.asset","","","","","38","47","","","","","","","","","",""
"248","25","348","Main/Level_Main_248","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","OriginalTargetMissingStrict","direct_normal_07_direct_normal_rect_dual_zone_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L248_direct_normal_07_direct_normal_rect_dual_zone_g0_v.asset","direct_normal_07_direct_normal_rect_dual_zone_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L248_direct_normal_07_direct_normal_rect_dual_zone_g0_v.asset","","FlowCurve","curve_chain","NormalFlow","20","38","20","27","","","","","","","",""
"249","25","349","Main/Level_Main_249","normal","特别困难","Pressure","Hard","ReplacedStrict0910","c5nep_w11d_14_nutation_strict_mixed_hard_v1_rect_s25_o249_v03_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_14_nutation_strict_mixed_hard_v1_rect_s25_o249_v03_strictmixedhard_mixed_chain.asset","direct_polish_clean_20_direct_polish_normal_rect_lock_buckle_g2_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L249_direct_polish_clean_20_direct_polish_normal_rect_l.asset","strict152","PeelMid","rail_chain","Hard","21","41","23","31","0.99","10","6","6","0.843","0.223","6","6"
"250","25","350","Main/Level_Main_250","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","ReplacedStrict0910","campaign500_normal_full_v1_s14_s26_137_nutation_mixed_neutral_v1_rect_s25_o250_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_137_nutation_mixed_neutral_v1_rect_s25_o250_v01_neutralmixed_mixed_chain.asset","direct_normal_134_direct_normal_rect_dense_weave_g1_v14","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L250_direct_normal_134_direct_normal_rect_dense_weave_g.asset","strict152","NeutralMixed","mixed_chain","NormalNeutral","23","35","22","30","0.986","8","5","3","0.85","0.214","8","5"
"251","26","351","Main/Level_Main_251_hole","hole","普通/恢复","HoleRescue","","OriginalNonTarget","hole_candidate_047_std_28x24_shell","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L251_hole_candidate_047_std_28x24_shell.asset","hole_candidate_047_std_28x24_shell","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L251_hole_candidate_047_std_28x24_shell.asset","","","","","28","24","","","","","","","","","",""
"252","26","352","Main/Level_Main_252","normal","特别困难","Pressure","Hard","OriginalTargetMissingStrict","direct_pure_topup_09_06_direct_polish_hard_pure_rect_core_burst_g14_v06","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L252_direct_pure_topup_09_06_direct_polish_hard_pure_re.asset","direct_pure_topup_09_06_direct_polish_hard_pure_rect_core_burst_g14_v06","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L252_direct_pure_topup_09_06_direct_polish_hard_pure_re.asset","","PeelMid","rail_chain","Hard","24","38","25","33","","","","","","","",""
"253","26","353","Main/Level_Main_253","shape","困难","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb04_12_main_gear","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L253_r2_outer_strong_005_r2_006_a401_maskonlyb04_12_mai.asset","r2_outer_strong_005_r2_006_a401_maskonlyb04_12_main_gear","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L253_r2_outer_strong_005_r2_006_a401_maskonlyb04_12_mai.asset","","","","","38","38","","","","","","","","","",""
"254","26","354","Main/Level_Main_254","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","ReplacedStrict0910","c5nep_w2fr_10_nutation_flow_rail_v1_rect_s26_o254_v00_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_10_nutation_flow_rail_v1_rect_s26_o254_v00_flowrail_rail_chain.asset","direct_normal_topup_38_direct_normal_topup_rect_stair_push_g10_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L254_direct_normal_topup_38_direct_normal_topup_rect_st.asset","strict152","FlowRail","rail_chain","NormalFlow","21","36","20","27","0.991","8","7","7","0.845","0.218","7","7"
"255","26","355","Main/Level_Main_255","normal","普通/恢复","Recovery","","OriginalNonTarget","direct_normal_151_direct_normal_rect_outer_shell_g3_v16","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L255_direct_normal_151_direct_normal_rect_outer_shell_g.asset","direct_normal_151_direct_normal_rect_outer_shell_g3_v16","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L255_direct_normal_151_direct_normal_rect_outer_shell_g.asset","","","","","23","37","","","","","","","","","",""
"256","26","356","Main/Level_Main_256","normal","极难","Peak","Peak","ReplacedStrict0910","c5nep_w12a_14_nutation_strict_mixed_hard_v1_rect_s26_o256_v05_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_14_nutation_strict_mixed_hard_v1_rect_s26_o256_v05_strictmixedhard_mixed_chain.asset","direct_polish_hard_07_direct_polish_hard_rect_quasi_symmetry_g4_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L256_direct_polish_hard_07_direct_polish_hard_rect_quas.asset","strict152","PressurePeak","mixed_chain","Peak","24","42","24","32","0.978","8","4","3","0.859","0.198","6","5"
"257","26","357","Main/Level_Main_257","normal","普通/恢复","Normal","","OriginalNonTarget","direct_normal_153_direct_normal_rect_lock_buckle_g3_v16","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L257_direct_normal_153_direct_normal_rect_lock_buckle_g.asset","direct_normal_153_direct_normal_rect_lock_buckle_g3_v16","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L257_direct_normal_153_direct_normal_rect_lock_buckle_g.asset","","","","","23","36","","","","","","","","","",""
"258","26","358","Main/Level_Main_258","shape","普通/恢复","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb09_02_main_questionmarkvarianta","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L258_r2_outer_strong_005_r2_006_a401_maskonlyb09_02_mai.asset","r2_outer_strong_005_r2_006_a401_maskonlyb09_02_main_questionmarkvarianta","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L258_r2_outer_strong_005_r2_006_a401_maskonlyb09_02_mai.asset","","","","","34","44","","","","","","","","","",""
"259","26","359","Main/Level_Main_259","normal","普通/恢复","Recovery","","OriginalNonTarget","direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L259_direct_pure_topup_10_18_direct_polish_hard_pure_re.asset","direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L259_direct_pure_topup_10_18_direct_polish_hard_pure_re.asset","","","","","21","38","","","","","","","","","",""
"260","26","360","Main/Level_Main_260","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","ReplacedStrict0910","campaign500_normal_full_v1_s14_s26_150_nutation_mixed_neutral_v1_rect_s26_o260_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_150_nutation_mixed_neutral_v1_rect_s26_o260_v02_neutralmixed_mixed_chain.asset","direct_normal_78_direct_normal_rect_stair_push_g1_v08","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L260_direct_normal_78_direct_normal_rect_stair_push_g1_.asset","strict152","NeutralMixed","mixed_chain","NormalNeutral","21","34","22","30","0.977","8","6","5","0.83","0.236","7","7"
"261","27","361","Main/Level_Main_261","normal","普通/恢复","Recovery","","OriginalNonTarget","sgp_merged_final_outer_repair_quality_filtered26_harde_09_sgp_linework_maze_05_sgp_linework_maze_bluepri","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L261_sgp_merged_final_outer_repair_quality_filtered26_h.asset","sgp_merged_final_outer_repair_quality_filtered26_harde_09_sgp_linework_maze_05_sgp_linework_maze_bluepri","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L261_sgp_merged_final_outer_repair_quality_filtered26_h.asset","","","","","23","37","","","","","","","","","",""
"262","27","362","Main/Level_Main_262","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","ReplacedStrict0910","campaign500_normal_full_v1_s27_s38_06_nutation_mixed_neutral_v1_rect_s27_o262_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_06_nutation_mixed_neutral_v1_rect_s27_o262_v02_neutralmixed_mixed_chain.asset","direct_normal_44_direct_normal_rect_dense_weave_g4_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L262_direct_normal_44_direct_normal_rect_dense_weave_g4.asset","raw_rescue","","","NormalNeutral","22","37","22","30","0.985","10","7","6","0.862","0.225","7","7"
"263","27","363","Main/Level_Main_263","shape","普通/恢复","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb05_04_main_cherries","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L263_r2_outer_strong_005_r2_006_a401_maskonlyb05_04_mai.asset","r2_outer_strong_005_r2_006_a401_maskonlyb05_04_main_cherries","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L263_r2_outer_strong_005_r2_006_a401_maskonlyb05_04_mai.asset","","","","","36","42","","","","","","","","","",""
"264","27","364","Main/Level_Main_264","normal","特别困难","Pressure","Hard","ReplacedStrict0910","c5nep_w10smh_25_nutation_strict_mixed_hard_v1_rect_s27_o264_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_25_nutation_strict_mixed_hard_v1_rect_s27_o264_v00_strictmixedhard_mixed_chain.asset","direct_pure_topup_10_12_direct_polish_hard_pure_rect_core_burst_g11_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L264_direct_pure_topup_10_12_direct_polish_hard_pure_re.asset","strict152","PeelMid","rail_chain","Hard","25","40","25","33","0.983","10","8","2","0.846","0.191","7","5"
"265","27","365","Main/Level_Main_265","normal","普通/恢复","Recovery","","OriginalNonTarget","direct_normal_70_direct_normal_rect_maze_long_chain_g0_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L265_direct_normal_70_direct_normal_rect_maze_long_chai.asset","direct_normal_70_direct_normal_rect_maze_long_chain_g0_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L265_direct_normal_70_direct_normal_rect_maze_long_chai.asset","","","","","20","39","","","","","","","","","",""
"266","27","366","Main/Level_Main_266","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","ReplacedStrict0910","campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain.asset","direct_pure_topup_04_10_direct_normal_pure_rect_section_unlock_g7_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L266_direct_pure_topup_04_10_direct_normal_pure_rect_se.asset","strict152","FlowPatch","patch_chain","NormalFlow","22","35","20","27","0.992","10","4","4","0.926","0.056","5","4"
"267","27","367","Main/Level_Main_267_hole","hole","普通/恢复","HoleRescue","","OriginalNonTarget","hole_highchain_extra_001_hc2_32x28_dual_b","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L267_hole_highchain_extra_001_hc2_32x28_dual_b.asset","hole_highchain_extra_001_hc2_32x28_dual_b","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L267_hole_highchain_extra_001_hc2_32x28_dual_b.asset","","","","","32","28","","","","","","","","","",""
"268","27","368","Main/Level_Main_268","shape","困难","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb05_02_main_boot","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L268_r2_outer_strong_005_r2_006_a401_maskonlyb05_02_mai.asset","r2_outer_strong_005_r2_006_a401_maskonlyb05_02_main_boot","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L268_r2_outer_strong_005_r2_006_a401_maskonlyb05_02_mai.asset","","","","","34","42","","","","","","","","","",""
"269","27","369","Main/Level_Main_269","normal","极难","Peak","Peak","ReplacedStrict0910","c5nep_w11b_16_nutation_strict_mixed_hard_v1_rect_s27_o269_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_16_nutation_strict_mixed_hard_v1_rect_s27_o269_v00_strictmixedhard_mixed_chain.asset","direct_diff120_136_direct_diff_veryhard_dag_unlock_center_cross_g3_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L269_direct_diff120_136_direct_diff_veryhard_dag_unlock.asset","strict152","PressurePeak","mixed_chain","Peak","28","50","26","34","0.986","10","5","3","0.852","0.21","8","6"
"270","27","370","Main/Level_Main_270","normal","普通/恢复","Normal","","OriginalNonTarget","direct_normal_147_direct_normal_rect_dual_zone_g2_v15","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L270_direct_normal_147_direct_normal_rect_dual_zone_g2_.asset","direct_normal_147_direct_normal_rect_dual_zone_g2_v15","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L270_direct_normal_147_direct_normal_rect_dual_zone_g2_.asset","","","","","22","39","","","","","","","","","",""
"271","28","371","Main/Level_Main_271","normal","普通/恢复","Recovery","","OriginalNonTarget","direct_pure_topup_05_16_direct_normal_pure_rect_maze_long_chain_g10_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L271_direct_pure_topup_05_16_direct_normal_pure_rect_ma.asset","direct_pure_topup_05_16_direct_normal_pure_rect_maze_long_chain_g10_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L271_direct_pure_topup_05_16_direct_normal_pure_rect_ma.asset","","","","","22","32","","","","","","","","","",""
"272","28","372","Main/Level_Main_272","normal","普通/恢复","Normal","","OriginalNonTarget","direct_normal_33_direct_normal_rect_lock_buckle_g3_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L272_direct_normal_33_direct_normal_rect_lock_buckle_g3.asset","direct_normal_33_direct_normal_rect_lock_buckle_g3_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L272_direct_normal_33_direct_normal_rect_lock_buckle_g3.asset","","","","","23","39","","","","","","","","","",""
"273","28","373","Main/Level_Main_273","shape","普通/恢复","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb07_10_main_gameportal","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L273_r2_outer_strong_005_r2_006_a401_maskonlyb07_10_mai.asset","r2_outer_strong_005_r2_006_a401_maskonlyb07_10_main_gameportal","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L273_r2_outer_strong_005_r2_006_a401_maskonlyb07_10_mai.asset","","","","","36","44","","","","","","","","","",""
"274","28","374","Main/Level_Main_274","normal","特别困难","Pressure","Hard","OriginalTargetMissingStrict","direct_diff120_95_direct_diff_hard_near_square_stair_ladder_g3_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L274_direct_diff120_95_direct_diff_hard_near_square_sta.asset","direct_diff120_95_direct_diff_hard_near_square_stair_ladder_g3_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L274_direct_diff120_95_direct_diff_hard_near_square_sta.asset","","PeelMid","curve_chain","Hard","31","35","23","31","","","","","","","",""
"275","28","375","Main/Level_Main_275","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","ReplacedStrict0910","campaign500_normal_full_v1_s27_s38_114_nutation_mixed_neutral_v1_rect_s36_o355_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_114_nutation_mixed_neutral_v1_rect_s36_o355_v02_neutralmixed_mixed_chain.asset","direct_normal_04_direct_normal_rect_dense_weave_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L275_direct_normal_04_direct_normal_rect_dense_weave_g0.asset","strict152","FlowCurve","curve_chain","NormalFlow","22","36","20","27","0.989","9","5","5","0.884","0.148","6","5"
"276","28","376","Main/Level_Main_276","normal","极难","Peak","Peak","ReplacedStrict0910","c5nep_w12b_16_nutation_strict_mixed_hard_v1_rect_s28_o276_v07_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_16_nutation_strict_mixed_hard_v1_rect_s28_o276_v07_strictmixedhard_mixed_chain.asset","direct_advanced_20_direct_advanced_veryhard_rect_dual_zone_g2_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L276_direct_advanced_20_direct_advanced_veryhard_rect_d.asset","strict152","PressurePeak","mixed_chain","Peak","27","45","26","34","0.988","10","3","3","0.885","0.212","8","7"
"277","28","377","Main/Level_Main_277_hole","hole","普通/恢复","HoleRescue","","OriginalNonTarget","hole_topup_030_topup_std_26x26_dual","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L277_hole_topup_030_topup_std_26x26_dual.asset","hole_topup_030_topup_std_26x26_dual","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L277_hole_topup_030_topup_std_26x26_dual.asset","","","","","26","26","","","","","","","","","",""
"278","28","378","Main/Level_Main_278","shape","困难","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb04_02_main_tree","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L278_r2_outer_strong_005_r2_006_a401_maskonlyb04_02_mai.asset","r2_outer_strong_005_r2_006_a401_maskonlyb04_02_main_tree","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L278_r2_outer_strong_005_r2_006_a401_maskonlyb04_02_mai.asset","","","","","36","42","","","","","","","","","",""
"279","28","379","Main/Level_Main_279","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","ReplacedStrict0910","c5nep_w6nm_01_nutation_mixed_neutral_v1_rect_s28_o279_v00_neutralmixed_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_01_nutation_mixed_neutral_v1_rect_s28_o279_v00_neutralmixed_rail_chain.asset","direct_normal_topup_14_direct_normal_topup_rect_stair_push_g7_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L279_direct_normal_topup_14_direct_normal_topup_rect_st.asset","strict152","NeutralMixed","mixed_chain","NormalNeutral","20","39","22","30","0.977","9","4","4","0.879","0.197","8","6"
"280","28","380","Main/Level_Main_280","normal","普通/恢复","Normal","","OriginalNonTarget","direct_normal_113_direct_normal_rect_lock_buckle_g5_v12","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L280_direct_normal_113_direct_normal_rect_lock_buckle_g.asset","direct_normal_113_direct_normal_rect_lock_buckle_g5_v12","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L280_direct_normal_113_direct_normal_rect_lock_buckle_g.asset","","","","","23","35","","","","","","","","","",""
"281","29","381","Main/Level_Main_281","normal","普通/恢复","Recovery","NormalA_FlowOrNeutral","ReplacedStrict0910","campaign500_normal_full_v1_s27_s38_27_nutation_flow_rail_v1_rect_s29_o281_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_27_nutation_flow_rail_v1_rect_s29_o281_v02_flowrail_rail_chain.asset","direct_normal_95_direct_normal_rect_sweep_g3_v10","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L281_direct_normal_95_direct_normal_rect_sweep_g3_v10.asset","strict152","FlowRail","rail_chain","NormalFlow","21","37","20","27","0.985","10","3","3","0.906","0.147","6","6"
"282","29","382","Main/Level_Main_282","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","ReplacedStrict0910","campaign500_normal_full_v1_s27_s38_28_nutation_mixed_neutral_v1_rect_s29_o282_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_28_nutation_mixed_neutral_v1_rect_s29_o282_v00_neutralmixed_mixed_chain.asset","direct_normal_114_direct_normal_rect_dense_weave_g5_v12","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L282_direct_normal_114_direct_normal_rect_dense_weave_g.asset","strict152","NeutralMixed","mixed_chain","NormalNeutral","21","38","22","30","0.985","8","6","5","0.829","0.208","5","5"
"283","29","383","Main/Level_Main_283","shape","困难","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb08_02_main_volcano","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L283_r2_outer_strong_005_r2_006_a401_maskonlyb08_02_mai.asset","r2_outer_strong_005_r2_006_a401_maskonlyb08_02_main_volcano","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L283_r2_outer_strong_005_r2_006_a401_maskonlyb08_02_mai.asset","","","","","40","42","","","","","","","","","",""
