order,stage,currentDifficulty,proposedDifficulty,difficultyDelta,reviewWarnings,evidenceScore,difficultyScore,difficultyScorePctInStage,chainPctInStage,bottleneckPctInStage,grindPctInStage,openerPressureInStage,levelType,type,slotRole,relativeDifficulty,chains,openingGoodMoves,openingGoodMoveRatio,avgAvailableMoves,avgGoodMoveRatio,bottleneckStepRatio,hardBottleneckStepRatio,lowClearRatio,avgClearPerMove,maxLowClearStreak,validationStatus,validationSeverity,validationFlags,shapeId,levelId,assetPath,proposalReason
248,201-250,1,2,1,,0.624,179.0,0.72,0.24,0.98,0.18,0.78,普通,section,Normal,Normal,102,6.0,0.375,6.922,0.527,0.441,0.069,0.049,7.363,2.0,Green,14,BottleneckHeavy,,direct_normal_07_direct_normal_rect_dual_zone_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_07_direct_normal_rect_dual_zone_g0_v01.asset,bottleneck_high;few_good_openers
249,201-250,2,2,0,,0.641,179.0,0.72,0.88,0.44,0.84,0.14,普通,lock,Pressure,Hard,137,10.0,0.588,8.248,0.526,0.292,0.007,0.095,6.131,6.0,Green,0,None,,direct_polish_clean_20_direct_polish_normal_rect_lock_buckle_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_20_direct_polish_normal_rect_lock_buckle_g2_v03.asset,chain_top25;rhythm=Hard;slot=Pressure
250,201-250,1,2,1,,0.623,181.0,0.74,0.58,0.66,0.56,0.56,普通,dense,Normal,Normal,107,7.0,0.318,9.075,0.493,0.327,0.009,0.056,7.411,4.0,Green,0,None,,direct_normal_134_direct_normal_rect_dense_weave_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_134_direct_normal_rect_dense_weave_g1_v14.asset,stage_relative_quota
251,251-300,2,1,-1,,0.376,134.0,0.18,0.02,0.88,0.92,0.82,hole,hole_rescue,HoleRescue,Mechanic,59,4.0,0.5,9.508,0.44,0.407,0.034,0.153,10.0,5.0,Green,0,None,,hole_candidate_047_std_28x24_shell,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_047_std_28x24_shell.asset,bottleneck_high;grind_high;few_good_openers;slot=HoleRescue;hole_stage_relative
252,251-300,2,3,1,,0.724,235.0,0.84,0.84,0.34,0.5,0.44,普通,lock,Pressure,Hard,147,7.0,0.35,6.748,0.593,0.306,0.041,0.075,6.082,4.0,Green,0,None,,direct_pure_topup_09_06_direct_polish_hard_pure_rect_core_burst_g14_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_06_direct_polish_hard_pure_rect_core_burst_g14_v06.asset,validation_difficulty_top25;chain_top25;rhythm=Hard;slot=Pressure
253,251-300,1,2,1,,0.632,186.0,0.58,0.52,0.86,0.88,0.16,普通,shape_space,Shape,Novelty,111,10.0,0.588,10.207,0.557,0.405,0.072,0.108,6.667,7.0,Green,0,None,shape_main_space_saturn_icon_tall,r2_outer_strong_005_r2_006_a401_procmask_supp_01_onion_maskfinalsupplement_30x42-mainspacesaturnicontall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_01_onion_maskfinalsupplement_30x42-mainspacesaturnicontall_20260611_124212.asset,bottleneck_high;grind_high;slot=Shape;shape_visible_level
254,251-300,1,2,1,,0.56,227.0,0.8,0.18,0.14,0.76,0.88,普通,section,Normal,Normal,101,3.0,0.25,8.703,0.48,0.267,0.02,0.069,7.327,6.0,Green,0,None,,direct_normal_topup_38_direct_normal_topup_rect_stair_push_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_38_direct_normal_topup_rect_stair_push_g10_v05.asset,validation_difficulty_top25;few_good_openers
255,251-300,1,1,0,,0.394,150.0,0.34,0.48,0.66,0.46,0.16,普通,dense,Recovery,Recovery,110,10.0,0.435,8.173,0.511,0.364,0.027,0.082,7.627,3.0,Green,0,None,,direct_normal_151_direct_normal_rect_outer_shell_g3_v16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_151_direct_normal_rect_outer_shell_g3_v16.asset,slot=Recovery
256,251-300,3,3,0,,0.798,272.0,0.9,0.88,0.38,0.78,0.82,普通,section,Peak,VeryHard,159,4.0,0.308,7.094,0.485,0.308,0.013,0.126,6.201,4.0,Green,0,None,,direct_polish_hard_07_direct_polish_hard_rect_quasi_symmetry_g4_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishHardCandidates/direct_polish_hard_07_direct_polish_hard_rect_quasi_symmetry_g4_v01.asset,validation_difficulty_top10;chain_top25;few_good_openers;rhythm=VeryHard;slot=Peak
257,251-300,1,1,0,,0.358,142.0,0.26,0.38,0.2,0.66,0.26,普通,lock,Normal,Normal,107,9.0,0.45,7.626,0.638,0.271,0.047,0.065,7.561,5.0,Green,0,None,,direct_normal_153_direct_normal_rect_lock_buckle_g3_v16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_153_direct_normal_rect_lock_buckle_g3_v16.asset,stage_relative_quota
258,251-300,1,1,0,,0.507,169.0,0.42,0.48,0.9,0.88,0.26,普通,shape_ocean,Shape,Novelty,110,9.0,0.529,8.291,0.411,0.409,0.009,0.136,6.909,5.0,Green,0,None,shape_main_ocean_seaweed_tall,r2_outer_strong_005_r2_006_a401_procmask_64_onion_maskproceduralvertical_28x44-mainoceanseaweedtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_64_onion_maskproceduralvertical_28x44-mainoceanseaweedtall_20260611_111225.asset,bottleneck_high;grind_high;slot=Shape;shape_visible_level
259,251-300,1,1,0,,0.233,108.0,0.1,0.82,0.02,0.24,0.08,普通,sweep,Recovery,Recovery,126,13.0,0.65,10.437,0.622,0.159,0.016,0.024,6.167,3.0,Green,0,None,,direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09.asset,chain_top25;slot=Recovery
260,251-300,1,1,0,,0.241,139.0,0.22,0.18,0.1,0.52,0.44,普通,section,Normal,Normal,101,7.0,0.467,7.396,0.549,0.248,0.01,0.089,7.0,4.0,Green,0,None,,direct_normal_78_direct_normal_rect_stair_push_g1_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_78_direct_normal_rect_stair_push_g1_v08.asset,stage_relative_quota
261,251-300,1,2,1,ValidationYellow:StartFakeWide,0.628,227.0,0.8,0.78,0.42,0.24,0.82,普通,sweep,Recovery,Recovery,120,4.0,0.2,7.758,0.524,0.317,0.025,0.05,7.508,3.0,Yellow,16,StartFakeWide,,direct_normal_75_direct_normal_rect_sweep_g1_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_75_direct_normal_rect_sweep_g1_v08.asset,validation_difficulty_top25;chain_top25;few_good_openers;slot=Recovery
262,251-300,1,1,0,,0.3,112.0,0.12,0.18,0.5,0.74,0.08,普通,dense,Normal,Normal,101,13.0,0.765,7.812,0.53,0.327,0.05,0.119,7.525,5.0,Green,0,None,,direct_pure_topup_05_20_direct_normal_pure_rect_dense_weave_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_20_direct_normal_pure_rect_dense_weave_g11_v06.asset,stage_relative_quota
263,251-300,1,2,1,,0.677,214.0,0.72,0.66,0.82,0.96,0.44,普通,shape_toolui,Shape,Novelty,115,7.0,0.412,12.157,0.406,0.4,0.009,0.157,8.478,8.0,Green,0,None,shape_main_ui_camera_tall,r2_outer_strong_005_r2_006_a401_procmask_supp_13_long_maskfinalsupplement_30x42-mainuicameratall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_13_long_maskfinalsupplement_30x42-mainuicameratall_20260611_124359.asset,grind_high;slot=Shape;shape_visible_level
264,251-300,2,3,1,,0.705,216.0,0.74,0.86,0.84,0.5,0.26,普通,lock,Pressure,Hard,157,9.0,0.6,10.229,0.474,0.401,0.013,0.057,6.229,4.0,Green,0,None,,direct_pure_topup_10_12_direct_polish_hard_pure_rect_core_burst_g11_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_12_direct_polish_hard_pure_rect_core_burst_g11_v09.asset,chain_top25;rhythm=Hard;slot=Pressure
265,251-300,1,1,0,,0.153,108.0,0.1,0.2,0.22,0.1,0.16,普通,maze,Recovery,Recovery,104,10.0,0.476,7.337,0.718,0.279,0.029,0.019,7.375,2.0,Green,0,None,,direct_normal_70_direct_normal_rect_maze_long_chain_g0_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_70_direct_normal_rect_maze_long_chain_g0_v07.asset,slot=Recovery
266,251-300,1,1,0,,0.404,183.0,0.54,0.12,0.4,0.24,0.88,普通,section,Normal,Normal,97,3.0,0.3,6.515,0.471,0.309,0.01,0.062,7.763,2.0,Green,0,None,,direct_pure_topup_04_10_direct_normal_pure_rect_section_unlock_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_10_direct_normal_pure_rect_section_unlock_g7_v02.asset,few_good_openers
267,251-300,2,1,-1,,0.507,179.0,0.5,0.1,0.98,0.96,0.64,hole,hole_rescue,HoleRescue,Mechanic,82,6.0,0.429,13.695,0.389,0.439,0.012,0.159,9.866,8.0,Green,14,BottleneckHeavy,,hole_highchain_extra_001_hc2_32x28_dual_b,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_001_hc2_32x28_dual_b.asset,bottleneck_high;grind_high;slot=HoleRescue;hole_stage_relative
268,251-300,1,3,2,ShapeOrNoveltyAsHard,0.713,238.0,0.86,0.72,0.72,0.76,0.64,普通,shape_magic,Shape,Novelty,118,6.0,0.261,14.686,0.427,0.373,0.008,0.085,7.322,6.0,Green,0,None,shape_transition_magic_broom_tall,r2_outer_strong_005_r2_006_a401_procmask_87_onion_maskproceduralvertical_34x50-transitionmagicbroomtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_87_onion_maskproceduralvertical_34x50-transitionmagicbroomtall_20260611_111404.asset,validation_difficulty_top25;slot=Shape;shape_visible_level
269,251-300,4,4,0,ValidationYellow:GrindyLowClear,0.893,324.0,1.0,0.96,0.68,1.0,0.26,普通,lock,Peak,RelativeExtreme,203,9.0,0.429,13.532,0.464,0.365,0.005,0.069,6.256,10.0,Yellow,18,GrindyLowClear,,direct_advanced_17_direct_advanced_veryhard_rect_lock_buckle_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_17_direct_advanced_veryhard_rect_lock_buckle_g2_v03.asset,validation_difficulty_top10;chain_top10;grind_high;rhythm=RelativeExtreme;slot=Peak
270,251-300,1,1,0,,0.309,135.0,0.2,0.62,0.24,0.36,0.26,普通,section,Normal,Normal,114,9.0,0.429,8.982,0.472,0.281,0.009,0.07,7.395,3.0,Green,0,None,,direct_normal_147_direct_normal_rect_dual_zone_g2_v15,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_147_direct_normal_rect_dual_zone_g2_v15.asset,stage_relative_quota
271,251-300,1,1,0,,0.497,178.0,0.48,0.62,0.36,0.96,0.14,普通,maze,Recovery,Recovery,114,11.0,0.611,9.518,0.522,0.307,0.044,0.114,6.079,8.0,Green,0,None,,direct_pure_topup_05_16_direct_normal_pure_rect_maze_long_chain_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_16_direct_normal_pure_rect_maze_long_chain_g10_v05.asset,grind_high;slot=Recovery
272,251-300,1,1,0,,0.204,79.0,0.02,0.52,0.18,0.5,0.0,普通,lock,Normal,Normal,111,17.0,0.81,7.162,0.599,0.27,0.009,0.045,7.919,4.0,Green,0,None,,direct_normal_96_direct_normal_rect_core_burst_g3_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_96_direct_normal_rect_core_burst_g3_v10.asset,stage_relative_quota
273,251-300,1,1,0,,0.471,177.0,0.44,0.62,0.56,0.44,0.44,普通,shape_toolui,Shape,Novelty,114,7.0,0.412,12.895,0.427,0.342,0.009,0.079,7.263,3.0,Green,0,None,shape_main_ui_chat_bubble_tall,r2_outer_strong_005_r2_006_a401_procmask_supp_14_onion_maskfinalsupplement_30x42-mainuichatbubbletall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_14_onion_maskfinalsupplement_30x42-mainuichatbubbletall_20260611_124400.asset,slot=Shape;shape_visible_level
274,251-300,2,1,-1,,0.316,102.0,0.06,0.48,0.58,0.38,0.12,普通,section,Pressure,Hard,110,12.0,0.75,6.664,0.555,0.345,0.036,0.073,7.291,3.0,Green,12,PeakTooFlat,,direct_normal_19_direct_normal_rect_quasi_symmetry_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_19_direct_normal_rect_quasi_symmetry_g1_v02.asset,rhythm=Hard;slot=Pressure
275,251-300,1,1,0,,0.431,167.0,0.4,0.26,0.54,0.5,0.44,普通,dense,Normal,Normal,106,7.0,0.389,8.189,0.588,0.33,0.038,0.057,7.321,4.0,Green,0,None,,direct_normal_04_direct_normal_rect_dense_weave_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_04_direct_normal_rect_dense_weave_g0_v01.asset,stage_relative_quota
276,251-300,4,4,0,,0.882,319.0,0.96,0.94,0.52,0.96,0.44,普通,section,Peak,RelativeExtreme,201,7.0,0.412,8.98,0.498,0.328,0.01,0.1,5.905,8.0,Green,0,None,,direct_advanced_20_direct_advanced_veryhard_rect_dual_zone_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_20_direct_advanced_veryhard_rect_dual_zone_g2_v03.asset,validation_difficulty_top10;chain_top10;grind_high;rhythm=RelativeExtreme;slot=Peak
277,251-300,2,1,-1,,0.536,186.0,0.58,0.04,0.92,0.82,0.96,hole,hole_rescue,HoleRescue,Mechanic,61,2.0,0.5,11.246,0.444,0.41,0.016,0.131,9.607,6.0,Green,0,None,,hole_topup_030_topup_std_26x26_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_030_topup_std_26x26_dual.asset,bottleneck_high;few_good_openers;slot=HoleRescue;hole_stage_relative
278,251-300,1,2,1,,0.566,192.0,0.64,0.76,0.28,0.86,0.44,普通,shape_ocean,Shape,Novelty,119,7.0,0.35,13.361,0.518,0.294,0.008,0.134,7.832,5.0,Green,0,None,shape_main_distinct_octopus_tall,r2_outer_strong_005_r2_006_a401_procmask_98_long_maskproceduralvertical_32x44-maindistinctoctopustall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_98_long_maskproceduralvertical_32x44-maindistinctoctopustall_20260611_111458.asset,chain_top25;grind_high;slot=Shape;shape_visible_level
279,251-300,1,1,0,,0.374,141.0,0.24,0.38,0.66,0.16,0.26,普通,section,Normal,Normal,107,9.0,0.474,6.897,0.559,0.364,0.065,0.056,7.159,2.0,Green,0,None,,direct_normal_topup_14_direct_normal_topup_rect_stair_push_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_14_direct_normal_topup_rect_stair_push_g7_v02.asset,stage_relative_quota
280,251-300,1,1,0,,0.477,180.0,0.52,0.38,0.6,0.5,0.64,普通,lock,Normal,Normal,107,6.0,0.353,7.43,0.549,0.346,0.009,0.075,7.393,4.0,Green,0,None,,direct_normal_113_direct_normal_rect_lock_buckle_g5_v12,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_113_direct_normal_rect_lock_buckle_g5_v12.asset,stage_relative_quota
281,251-300,1,1,0,,0.226,133.0,0.16,0.38,0.12,0.88,0.16,普通,sweep,Recovery,Recovery,107,10.0,0.625,9.393,0.543,0.262,0.009,0.084,7.093,7.0,Green,0,None,,direct_normal_95_direct_normal_rect_sweep_g3_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_95_direct_normal_rect_sweep_g3_v10.asset,grind_high;slot=Recovery
282,251-300,1,1,0,,0.418,158.0,0.38,0.38,0.26,0.88,0.4,普通,dense,Normal,Normal,107,8.0,0.471,8.879,0.521,0.29,0.019,0.065,7.327,7.0,Green,0,None,,direct_normal_114_direct_normal_rect_dense_weave_g5_v12,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_114_direct_normal_rect_dense_weave_g5_v12.asset,grind_high
283,251-300,1,2,1,,0.702,209.0,0.7,0.72,0.8,0.74,0.76,普通,shape_toolui,Shape,Novelty,118,5.0,0.357,9.042,0.482,0.398,0.025,0.119,8.169,4.0,Green,0,None,shape_main_tool_battery_tall,r2_outer_strong_005_r2_006_a401_procmask_supp_10_long_maskfinalsupplement_28x42-maintoolbatterytall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_10_long_maskfinalsupplement_28x42-maintoolbatterytall_20260611_124334.asset,few_good_openers;slot=Shape;shape_visible_level
284,251-300,2,1,-1,,0.433,149.0,0.3,0.92,0.16,0.24,0.04,普通,lock,Pressure,Hard,167,15.0,0.75,9.713,0.594,0.269,0.03,0.054,5.982,3.0,Green,0,None,,direct_pure_topup_07_24_direct_polish_hard_pure_rect_core_burst_g11_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_24_direct_polish_hard_pure_rect_core_burst_g11_v03.asset,chain_top10;rhythm=Hard;slot=Pressure
285,251-300,2,1,-1,,0.271,101.0,0.04,0.08,0.7,0.9,0.64,hole,hole_rescue,HoleRescue,Mechanic,62,6.0,0.5,9.532,0.468,0.371,0.016,0.145,9.468,4.0,Green,0,None,,hole_topup_025_topup_std_24x28_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_025_topup_std_24x28_maze.asset,grind_high;slot=HoleRescue;hole_stage_relative
286,251-300,1,1,0,,0.463,178.0,0.48,0.38,0.5,0.1,0.76,普通,section,Normal,Normal,107,5.0,0.294,7.299,0.53,0.327,0.037,0.037,7.692,2.0,Green,0,None,,direct_normal_topup_39_direct_normal_topup_rect_quasi_symmetry_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_39_direct_normal_topup_rect_quasi_symmetry_g10_v05.asset,few_good_openers
287,251-300,4,4,0,,0.861,301.0,0.94,0.98,0.74,0.88,0.02,普通,lock,Peak,RelativeExtreme,280,16.0,0.615,11.432,0.423,0.375,0.007,0.093,6.082,7.0,Green,0,None,,direct_advanced_57_direct_advanced_extreme_rect_lock_buckle_g5_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_57_direct_advanced_extreme_rect_lock_buckle_g5_v02.asset,validation_difficulty_top10;chain_top10;grind_high;rhythm=RelativeExtreme;slot=Peak
288,251-300,1,2,1,,0.643,187.0,0.62,0.72,0.76,0.8,0.44,普通,shape_ocean,Shape,Novelty,118,7.0,0.5,10.212,0.473,0.381,0.017,0.127,7.085,5.0,Green,0,None,shape_transition_ocean_diving_mask_tall,r2_outer_strong_005_r2_006_a401_procmask_69_onion_maskproceduralvertical_34x48-transitionoceandivingmasktall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_69_onion_maskproceduralvertical_34x48-transitionoceandivingmasktall_20260611_111253.asset,slot=Shape;shape_visible_level
289,251-300,2,1,-1,,0.487,148.0,0.28,0.66,0.78,0.6,0.26,普通,section,Pressure,Hard,115,9.0,0.563,7.739,0.529,0.383,0.026,0.096,7.13,4.0,Green,12,PeakTooFlat,,direct_normal_38_direct_normal_rect_stair_push_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_38_direct_normal_rect_stair_push_g3_v04.asset,rhythm=Hard;slot=Pressure
290,251-300,1,1,0,,0.353,150.0,0.34,0.62,0.3,0.5,0.4,普通,section,Recovery,Recovery,114,8.0,0.471,12.0,0.469,0.298,0.009,0.061,7.36,4.0,Green,0,None,,direct_normal_82_direct_normal_rect_section_unlock_g2_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_82_direct_normal_rect_section_unlock_g2_v09.asset,slot=Recovery
291,251-300,1,1,0,,0.479,187.0,0.62,0.26,0.62,0.84,0.44,普通,dense,Recovery,Recovery,106,7.0,0.333,9.736,0.475,0.358,0.009,0.132,7.217,4.0,Green,0,None,,direct_normal_topup_43_direct_normal_topup_rect_dense_weave_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_43_direct_normal_topup_rect_dense_weave_g11_v06.asset,slot=Recovery
292,251-300,2,2,0,ValidationYellow:StartFakeWide|BottleneckHeavy,0.672,230.0,0.82,0.08,1.0,0.98,0.96,hole,hole_rescue,HoleRescue,Mechanic,62,2.0,0.182,9.548,0.497,0.484,0.016,0.161,9.581,5.0,Yellow,30,StartFakeWide|BottleneckHeavy,,hole_candidate_040_std_26x26_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_040_std_26x26_section.asset,validation_difficulty_top25;bottleneck_high;grind_high;few_good_openers;slot=HoleRescue;hole_stage_relative
293,251-300,1,3,2,ShapeOrNoveltyAsHard,0.838,255.0,0.88,0.76,0.94,0.78,0.88,普通,shape_landmark,Shape,Novelty,119,3.0,0.25,6.891,0.473,0.412,0.05,0.126,7.412,4.0,Green,0,None,shape_transition_wide_landmark01_tall,r2_outer_strong_005_r2_006_a401_procmask_125_onion_maskproceduralvertical_34x50-transitionwidelandmark01tall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_125_onion_maskproceduralvertical_34x50-transitionwidelandmark01tall_20260611_111830.asset,validation_difficulty_top25;chain_top25;bottleneck_high;few_good_openers;slot=Shape;shape_visible_level
294,251-300,1,2,1,,0.557,203.0,0.68,0.48,0.5,0.76,0.64,普通,sweep,Recovery,Recovery,110,6.0,0.375,9.118,0.426,0.327,0.018,0.091,7.4,6.0,Green,0,None,,direct_normal_155_direct_normal_rect_sweep_g3_v16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_155_direct_normal_rect_sweep_g3_v16.asset,slot=Recovery
295,251-300,1,1,0,,0.321,155.0,0.36,0.22,0.1,0.1,0.76,普通,section,Normal,Normal,105,5.0,0.333,6.933,0.584,0.248,0.029,0.038,7.667,2.0,Green,0,None,,direct_normal_topup_53_direct_normal_topup_rect_dual_zone_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_53_direct_normal_topup_rect_dual_zone_g6_v07.asset,few_good_openers
296,251-300,2,2,0,,0.659,225.0,0.76,0.9,0.04,0.76,0.44,普通,lock,Pressure,Hard,163,7.0,0.538,7.926,0.519,0.233,0.018,0.11,6.117,6.0,Green,0,None,,direct_pure_topup_10_02_direct_polish_hard_pure_rect_core_burst_g10_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_02_direct_polish_hard_pure_rect_core_burst_g10_v08.asset,validation_difficulty_top25;chain_top10;rhythm=Hard;slot=Pressure
297,251-300,1,1,0,,0.297,131.0,0.14,0.62,0.06,0.88,0.16,普通,section,Normal,Normal,114,10.0,0.625,8.974,0.584,0.246,0.009,0.07,7.14,7.0,Green,0,None,,direct_normal_128_direct_normal_rect_stair_push_g0_v13,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_128_direct_normal_rect_stair_push_g0_v13.asset,grind_high
298,251-300,1,3,2,ShapeOrNoveltyAsHard,0.814,279.0,0.92,0.8,0.96,1.0,0.88,普通,shape_magic,Shape,Novelty,122,3.0,0.25,10.016,0.408,0.434,0.008,0.189,7.975,7.0,Green,14,BottleneckHeavy,shape_main_treasure_chest_tall,r2_outer_strong_005_r2_006_a401_procmask_43_long_maskproceduralvertical_30x42-maintreasurechesttall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_43_long_maskproceduralvertical_30x42-maintreasurechesttall_20260611_110904.asset,validation_difficulty_top10;chain_top25;bottleneck_high;grind_high;few_good_openers;slot=Shape;shape_visible_level
299,251-300,4,4,0,ValidationYellow:GrindyLowClear,0.891,321.0,0.98,1.0,0.44,0.98,0.06,普通,lock,Peak,RelativeExtreme,318,14.0,0.636,13.538,0.5,0.321,0.016,0.094,5.943,9.0,Yellow,18,GrindyLowClear,,direct_advanced_51_direct_advanced_extreme_rect_core_burst_g4_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_51_direct_advanced_extreme_rect_core_burst_g4_v01.asset,validation_difficulty_top10;chain_top10;grind_high;rhythm=RelativeExtreme;slot=Peak
300,251-300,1,1,0,,0.517,199.0,0.66,0.48,0.32,0.66,0.64,普通,maze,Recovery,Recovery,110,6.0,0.316,8.691,0.474,0.3,0.018,0.1,7.327,5.0,Green,0,None,,direct_normal_110_direct_normal_rect_maze_long_chain_g4_v11,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_110_direct_normal_rect_maze_long_chain_g4_v11.asset,slot=Recovery
301,301-350,3,2,-1,ValidationYellow:BottleneckHeavy|GrindyLowClear,0.681,250.0,0.82,0.08,0.94,0.96,0.96,hole,hole_rescue,HoleRescue,Mechanic,87,3.0,0.429,10.966,0.404,0.46,0.023,0.149,9.874,11.0,Yellow,32,BottleneckHeavy|GrindyLowClear,,hole_highchain_014_hc_34x28_shell_a,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_014_hc_34x28_shell_a.asset,validation_difficulty_top25;bottleneck_high;grind_high;few_good_openers;slot=HoleRescue;hole_stage_relative
302,301-350,1,1,0,,0.289,130.0,0.2,0.14,0.52,0.12,0.48,普通,dense,Normal,Normal,102,7.0,0.438,7.137,0.548,0.333,0.029,0.039,7.578,2.0,Green,0,None,,direct_normal_topup_51_direct_normal_topup_rect_dense_weave_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_51_direct_normal_topup_rect_dense_weave_g6_v07.asset,stage_relative_quota
303,301-350,1,2,1,,0.657,228.0,0.68,0.52,1.0,0.86,0.62,普通,shape_landmark,Shape,Novelty,120,6.0,0.545,8.875,0.448,0.467,0.008,0.108,6.742,7.0,Green,14,BottleneckHeavy,shape_main_leaning_tower_tall,r2_outer_strong_005_r2_006_a401_procmask_31_onion_maskproceduralvertical_30x44-mainleaningtowertall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_31_onion_maskproceduralvertical_30x44-mainleaningtowertall_20260611_110752.asset,bottleneck_high;grind_high;slot=Shape;shape_visible_level
