"order","section10","mainMissionId","levelName","category","difficultyNameZh","experienceRole","roleInSection","finalStatus","finalLevelId","finalAssetPath","originalLevelId","originalAssetPath","replacementSourceKind","productionLane","productionChainLanguage","productionDifficultyBand","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax","assemblyAction","assemblySourcePool","assemblySourceRoot","assemblyGateClass","assemblySelectionReason","assemblyCopyRequired","assemblyCandidateLevelId","assemblyCandidateAssetPath","assemblyCandidateStyle","assemblyCandidateChainLanguage","assemblyCandidateRole","assemblyManualReview","assemblyRemainingGap","assemblyGapReason","assemblyCandidateWidth","assemblyCandidateHeight","assemblyCandidateChains","assemblyCandidateAvgChoices","assemblyCandidateMaxChain","assemblyCandidateAvgChain","assemblyCandidateStraightness","assemblyCandidateProfile"
"227","23","327","Main/Level_Main_227","normal","极难","Peak","Peak","ReplacedHardGate0910","c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain.asset","direct_polish_hard_02_direct_polish_hard_rect_lock_buckle_g4_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L227_direct_polish_hard_02_direct_polish_hard_rect_lock.asset","strict152","PressurePeak","mixed_chain","Peak","0.982","10","4","3","0.884","0.139","8","4","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain.asset","","mixed_chain","","False","False","","","","","","","","",""
"228","23","328","Main/Level_Main_228","shape","困难","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_no_b_r4_08_L228_icecreamcone_r4sym","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNoBR4/campaign500_shape_psg_no_b_r4_08_L228_icecreamcone_r4sym.asset","r2_outer_strong_005_r2_006_a401_maskonlyb02_05_large_icecreamcone","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L228_r2_outer_strong_005_r2_006_a401_maskonlyb02_05_lar.asset","shape_psg_inventory","","","","0.988","10","10","2","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_no_b_r4_08_L228_icecreamcone_r4sym","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNoBR4/campaign500_shape_psg_no_b_r4_08_L228_icecreamcone_r4sym.asset","QuasiSymmetry","","TraceKeeper","False","False","","","","117","5.5","","","","QuasiSymmetry"
"230","23","330","Main/Level_Main_230","normal","普通/恢复","Recovery","NormalA_FlowOrNeutral","ReplacedHardGate0910","campaign500_normal_early_plus_v1_topup_fastlane1_33_nutation_flow_rail_v1_rect_s23_o230_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_33_nutation_flow_rail_v1_rect_s23_o230_v02_flowrail_rail_chain.asset","direct_pure_topup_04_05_direct_normal_pure_rect_sweep_g6_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L230_direct_pure_topup_04_05_direct_normal_pure_rect_sw.asset","strict152","FlowRail","rail_chain","NormalFlow","0.996","10","4","2","0.915","0.141","6","6","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","campaign500_normal_early_plus_v1_topup_fastlane1_33_nutation_flow_rail_v1_rect_s23_o230_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_33_nutation_flow_rail_v1_rect_s23_o230_v02_flowrail_rail_chain.asset","","rail_chain","","False","False","","","","","","","","",""
"233","24","333","Main/Level_Main_233","shape","困难","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_next10d_03_L233_trafficcone","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10D/campaign500_shape_psg_next10d_03_L233_trafficcone.asset","r2_outer_strong_005_r2_006_a401_maskonlyb04_20_large_trafficcone","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L233_r2_outer_strong_005_r2_006_a401_maskonlyb04_20_lar.asset","shape_psg_inventory","","","","0.988","12","10","2","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","NeedsFinalManualReview","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_next10d_03_L233_trafficcone","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10D/campaign500_shape_psg_next10d_03_L233_trafficcone.asset","SectionUnlock","","ReviewCandidate","True","False","","","","112","5.64","","","","SectionUnlock"
"234","24","334","Main/Level_Main_234","normal","普通/恢复","Recovery","NormalA_FlowOrNeutral","ReplacedHardGate0910","campaign500_normal_early_plus_v1_topup_fastlane1_36_nutation_flow_rail_v1_rect_s24_o234_v02_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_36_nutation_flow_rail_v1_rect_s24_o234_v02_flowrail_patch_chain.asset","nomask_style_expansion_16_zig_river_a","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L234_nomask_style_expansion_16_zig_river_a.asset","strict152","FlowPatch","patch_chain","NormalFlow","0.995","10","4","2","0.89","0.187","7","7","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","campaign500_normal_early_plus_v1_topup_fastlane1_36_nutation_flow_rail_v1_rect_s24_o234_v02_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_36_nutation_flow_rail_v1_rect_s24_o234_v02_flowrail_patch_chain.asset","","patch_chain","","False","False","","","","","","","","",""
"236","24","336","Main/Level_Main_236","normal","困难","Pressure","Hard","ReplacedHardGate0910","c5nep_w10smh_17_nutation_strict_mixed_hard_v1_rect_s24_o236_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_17_nutation_strict_mixed_hard_v1_rect_s24_o236_v00_strictmixedhard_mixed_chain.asset","direct_normal_topup_47_direct_normal_topup_rect_quasi_symmetry_g11_v06","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L236_direct_normal_topup_47_direct_normal_topup_rect_qu.asset","strict152","PeelMid","rail_chain","Hard","0.989","10","6","3","0.846","0.211","8","6","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","c5nep_w10smh_17_nutation_strict_mixed_hard_v1_rect_s24_o236_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_17_nutation_strict_mixed_hard_v1_rect_s24_o236_v00_strictmixedhard_mixed_chain.asset","","rail_chain","","False","False","","","","","","","","",""
"238","24","338","Main/Level_Main_238","shape","普通/恢复","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_next10d_04_L238_cactus","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10D/campaign500_shape_psg_next10d_04_L238_cactus.asset","r2_outer_strong_005_r2_006_a401_maskonlyb04_07_main_cactus","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L238_r2_outer_strong_005_r2_006_a401_maskonlyb04_07_mai.asset","shape_psg_inventory","","","","0.986","10","8","4","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_next10d_04_L238_cactus","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10D/campaign500_shape_psg_next10d_04_L238_cactus.asset","CoreBurst","","TraceKeeper","False","False","","","","106","6.93","","","","CoreBurst"
"239","24","339","Main/Level_Main_239","normal","极难","Peak","Peak","ExternalCandidatePlanned","nutation_longchain_candidate80_holefix_v1_17_nutation_longchain_curve_v1_rect_c80hf_05_d1_section_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_17_nutation_longchain_curve_v1_rect_c80hf_05_d1_section_curve.asset","direct_polish_hard_19_direct_polish_hard_rect_section_unlock_g6_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L239_direct_polish_hard_19_direct_polish_hard_rect_sect.asset","nutation_longchain_strict60_campaign_gate","PressurePeak","mixed_chain","Peak","0.947","8","5","3","0.899","0.073","4","4","ActiveReplace","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","Generic LongChain strict candidate matched to missing Peak slot by stage difficulty, canvas, and chain-language fit.","True","nutation_longchain_candidate80_holefix_v1_17_nutation_longchain_curve_v1_rect_c80hf_05_d1_section_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_17_nutation_longchain_curve_v1_rect_c80hf_05_d1_section_curve.asset","maze_long_chain","curve_chain","LongChainHardPeak","False","False","","25","34","66","5.47","23","12.2","0.333","holefix"
"243","25","343","Main/Level_Main_243","shape","困难","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_next10d_05_L243_house","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10D/campaign500_shape_psg_next10d_05_L243_house.asset","r2_outer_strong_005_r2_006_a401_maskonlyb03_01_main_house","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L243_r2_outer_strong_005_r2_006_a401_maskonlyb03_01_mai.asset","shape_psg_inventory","","","","0.991","9","8","5","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_next10d_05_L243_house","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10D/campaign500_shape_psg_next10d_05_L243_house.asset","LockBuckle","","TraceKeeper","False","False","","","","115","5.83","","","","LockBuckle"
"245","25","345","Main/Level_Main_245","normal","特别困难","Pressure","Peak","ReplacedHardGate0910","c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain.asset","direct_polish_clean_22_direct_polish_normal_rect_core_burst_g2_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L245_direct_polish_clean_22_direct_polish_normal_rect_c.asset","strict152","PressurePeak","mixed_chain","Peak","0.992","9","6","6","0.853","0.177","5","5","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain.asset","","mixed_chain","","False","False","","","","","","","","",""
"247","25","347","Main/Level_Main_247","shape","普通/恢复","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_remaining_drop_top3_17_L247_lollipop_r2section","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_17_L247_lollipop_r2section.asset","r2_outer_strong_005_r2_006_a401_maskonlyb02_18_large_lollipop","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L247_r2_outer_strong_005_r2_006_a401_maskonlyb02_18_lar.asset","shape_psg_inventory","","","","0.991","12","13","2","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","NeedsFinalManualReview","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_remaining_drop_top3_17_L247_lollipop_r2section","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_17_L247_lollipop_r2section.asset","SectionUnlock","","ReviewCandidate","True","False","","","","113","6.43","","","","SectionUnlock"
"249","25","349","Main/Level_Main_249","normal","特别困难","Pressure","Hard","ReplacedHardGate0910","c5nep_w11d_14_nutation_strict_mixed_hard_v1_rect_s25_o249_v03_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_14_nutation_strict_mixed_hard_v1_rect_s25_o249_v03_strictmixedhard_mixed_chain.asset","direct_polish_clean_20_direct_polish_normal_rect_lock_buckle_g2_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L249_direct_polish_clean_20_direct_polish_normal_rect_l.asset","strict152","PeelMid","rail_chain","Hard","0.99","10","6","6","0.843","0.223","6","6","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","c5nep_w11d_14_nutation_strict_mixed_hard_v1_rect_s25_o249_v03_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_14_nutation_strict_mixed_hard_v1_rect_s25_o249_v03_strictmixedhard_mixed_chain.asset","","rail_chain","","False","False","","","","","","","","",""
"250","25","350","Main/Level_Main_250","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","ReplacedHardGate0910","campaign500_normal_full_v1_s14_s26_137_nutation_mixed_neutral_v1_rect_s25_o250_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_137_nutation_mixed_neutral_v1_rect_s25_o250_v01_neutralmixed_mixed_chain.asset","direct_normal_134_direct_normal_rect_dense_weave_g1_v14","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L250_direct_normal_134_direct_normal_rect_dense_weave_g.asset","strict152","NeutralMixed","mixed_chain","NormalNeutral","0.986","8","5","3","0.85","0.214","8","5","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","campaign500_normal_full_v1_s14_s26_137_nutation_mixed_neutral_v1_rect_s25_o250_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_137_nutation_mixed_neutral_v1_rect_s25_o250_v01_neutralmixed_mixed_chain.asset","","mixed_chain","","False","False","","","","","","","","",""
"252","26","352","Main/Level_Main_252","normal","特别困难","Pressure","Hard","ExternalCandidatePlanned","nutation_longchain_candidate80_holefix_v1_18_nutation_longchain_rail_v1_rect_c80hf_05_d1_section_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_18_nutation_longchain_rail_v1_rect_c80hf_05_d1_section_rail.asset","direct_pure_topup_09_06_direct_polish_hard_pure_rect_core_burst_g14_v06","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L252_direct_pure_topup_09_06_direct_polish_hard_pure_re.asset","nutation_longchain_strict60_campaign_gate","PeelMid","rail_chain","Hard","0.953","10","7","2","0.892","0.124","5","5","ActiveReplace","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","Generic LongChain strict candidate matched to missing Hard slot by stage difficulty, canvas, and chain-language fit.","True","nutation_longchain_candidate80_holefix_v1_18_nutation_longchain_rail_v1_rect_c80hf_05_d1_section_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_18_nutation_longchain_rail_v1_rect_c80hf_05_d1_section_rail.asset","maze_long_chain","rail_chain","LongChainHardPeak","False","False","","25","34","68","5.66","22","11.91","0.438","holefix"
"253","26","353","Main/Level_Main_253","shape","困难","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_review_top3_rescue_70_L253_gear_dense","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_70_L253_gear_dense.asset","r2_outer_strong_005_r2_006_a401_maskonlyb04_12_main_gear","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L253_r2_outer_strong_005_r2_006_a401_maskonlyb04_12_mai.asset","shape_psg_inventory","","","","0.988","10","6","3","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_review_top3_rescue_70_L253_gear_dense","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_70_L253_gear_dense.asset","DenseWeave","","TraceKeeper","False","False","","","","108","5.2","","","","DenseWeave"
"256","26","356","Main/Level_Main_256","normal","极难","Peak","Peak","ReplacedHardGate0910","c5nep_w12a_14_nutation_strict_mixed_hard_v1_rect_s26_o256_v05_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_14_nutation_strict_mixed_hard_v1_rect_s26_o256_v05_strictmixedhard_mixed_chain.asset","direct_polish_hard_07_direct_polish_hard_rect_quasi_symmetry_g4_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L256_direct_polish_hard_07_direct_polish_hard_rect_quas.asset","strict152","PressurePeak","mixed_chain","Peak","0.978","8","4","3","0.859","0.198","6","5","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","c5nep_w12a_14_nutation_strict_mixed_hard_v1_rect_s26_o256_v05_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_14_nutation_strict_mixed_hard_v1_rect_s26_o256_v05_strictmixedhard_mixed_chain.asset","","mixed_chain","","False","False","","","","","","","","",""
"258","26","358","Main/Level_Main_258","shape","普通/恢复","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_next10d_08_L258_questionmarkvarianta","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10D/campaign500_shape_psg_next10d_08_L258_questionmarkvarianta.asset","r2_outer_strong_005_r2_006_a401_maskonlyb09_02_main_questionmarkvarianta","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L258_r2_outer_strong_005_r2_006_a401_maskonlyb09_02_mai.asset","shape_psg_inventory","","","","0.989","10","10","3","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_next10d_08_L258_questionmarkvarianta","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10D/campaign500_shape_psg_next10d_08_L258_questionmarkvarianta.asset","Sweep","","TraceKeeper","False","False","","","","107","5.33","","","","Sweep"
"260","26","360","Main/Level_Main_260","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","ReplacedHardGate0910","campaign500_normal_full_v1_s14_s26_150_nutation_mixed_neutral_v1_rect_s26_o260_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_150_nutation_mixed_neutral_v1_rect_s26_o260_v02_neutralmixed_mixed_chain.asset","direct_normal_78_direct_normal_rect_stair_push_g1_v08","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L260_direct_normal_78_direct_normal_rect_stair_push_g1_.asset","strict152","NeutralMixed","mixed_chain","NormalNeutral","0.977","8","6","5","0.83","0.236","7","7","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","campaign500_normal_full_v1_s14_s26_150_nutation_mixed_neutral_v1_rect_s26_o260_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_150_nutation_mixed_neutral_v1_rect_s26_o260_v02_neutralmixed_mixed_chain.asset","","mixed_chain","","False","False","","","","","","","","",""
"262","27","362","Main/Level_Main_262","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","ReplacedHardGate0910","campaign500_normal_full_v1_s27_s38_06_nutation_mixed_neutral_v1_rect_s27_o262_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_06_nutation_mixed_neutral_v1_rect_s27_o262_v02_neutralmixed_mixed_chain.asset","direct_normal_44_direct_normal_rect_dense_weave_g4_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L262_direct_normal_44_direct_normal_rect_dense_weave_g4.asset","raw_rescue","","","NormalNeutral","0.985","10","7","6","0.862","0.225","7","7","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","campaign500_normal_full_v1_s27_s38_06_nutation_mixed_neutral_v1_rect_s27_o262_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_06_nutation_mixed_neutral_v1_rect_s27_o262_v02_neutralmixed_mixed_chain.asset","","","","False","False","","","","","","","","",""
"263","27","363","Main/Level_Main_263","shape","普通/恢复","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_remaining_hard_r3_06_L263_cherries_r3section","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingHardR3/campaign500_shape_psg_remaining_hard_r3_06_L263_cherries_r3section.asset","r2_outer_strong_005_r2_006_a401_maskonlyb05_04_main_cherries","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L263_r2_outer_strong_005_r2_006_a401_maskonlyb05_04_mai.asset","shape_psg_inventory","","","","0.985","9","9","2","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_remaining_hard_r3_06_L263_cherries_r3section","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingHardR3/campaign500_shape_psg_remaining_hard_r3_06_L263_cherries_r3section.asset","SectionUnlock","","TraceKeeper","False","False","","","","94","5.39","","","","SectionUnlock"
"264","27","364","Main/Level_Main_264","normal","特别困难","Pressure","Hard","ExternalCandidatePlanned","nutation_longchain_candidate80_holefix_v1_26_nutation_longchain_rail_v1_rect_c80hf_07_d2_maze_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_26_nutation_longchain_rail_v1_rect_c80hf_07_d2_maze_rail.asset","direct_pure_topup_10_12_direct_polish_hard_pure_rect_core_burst_g11_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L264_direct_pure_topup_10_12_direct_polish_hard_pure_re.asset","nutation_longchain_strict60_campaign_gate","PeelMid","rail_chain","Hard","0.955","8","4","2","0.895","0.187","7","7","ActiveReplace","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","Generic LongChain strict candidate matched to missing Hard slot by stage difficulty, canvas, and chain-language fit.","True","nutation_longchain_candidate80_holefix_v1_26_nutation_longchain_rail_v1_rect_c80hf_07_d2_maze_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_26_nutation_longchain_rail_v1_rect_c80hf_07_d2_maze_rail.asset","maze_long_chain","rail_chain","LongChainHardPeak","False","False","","27","36","78","4.94","22","11.9","0.42","holefix"
"266","27","366","Main/Level_Main_266","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","ReplacedHardGate0910","campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain.asset","direct_pure_topup_04_10_direct_normal_pure_rect_section_unlock_g7_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L266_direct_pure_topup_04_10_direct_normal_pure_rect_se.asset","strict152","FlowPatch","patch_chain","NormalFlow","0.992","10","4","4","0.926","0.056","5","4","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain.asset","","patch_chain","","False","False","","","","","","","","",""
"268","27","368","Main/Level_Main_268","shape","困难","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_review_top3_rescue_77_L268_boot_sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_77_L268_boot_sweep.asset","r2_outer_strong_005_r2_006_a401_maskonlyb05_02_main_boot","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L268_r2_outer_strong_005_r2_006_a401_maskonlyb05_02_mai.asset","shape_psg_inventory","","","","0.986","10","10","2","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_review_top3_rescue_77_L268_boot_sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_77_L268_boot_sweep.asset","Sweep","","TraceKeeper","False","False","","","","95","4.47","","","","Sweep"
