"order","section10","category","roleInSection","productionLane","productionChainLanguage","productionDifficultyBand","assemblySourcePool","assemblySourceRoot","assemblyGateClass","finalLevelId","finalAssetPath","assemblyCandidateWidth","assemblyCandidateHeight","assemblyCandidateChains","assemblyCandidateMaxChain","assemblyCandidateAvgChoices","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","assemblySelectionReason"
"432","44","normal","Hard","PeelMid","rail_chain","Hard","HubMixedStrict30Refill",".worktrees/nutation-hub-maze-mixed","StyleLocal9ManualAllowed","nutation_hub_mixed_v1_strict30_refill_06_s02_r02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_06_s02_r02.asset","23","31","99","15","4.76","0.951","9","9","4","0.842","0.241","User allowed a small number of Hub local9 rows; placed only on late Hard slots for style variety, not broad filler."
"433","44","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","ManualAcceptedProposed","campaign500_shape_psg_no_b_r5_14_L433_filmroll_r5coreA","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNoBR5/campaign500_shape_psg_no_b_r5_14_L433_filmroll_r5coreA.asset","","","162","","4.83","0.989","10","12","4","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"436","44","normal","Peak","LongChainProbe","curve_chain","PeakReview","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_v1_23_nutation_longchain_patch_v1_rect_c80_06_d2_lock_patch","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_23_nutation_longchain_patch_v1_rect_c80_06_d2_lock_patch.asset","26","35","84","21","6.58","0.933","10","4","4","0.851","0.267","Generic LongChain strict candidate matched to missing Peak slot by stage difficulty, canvas, and chain-language fit."
"438","44","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","NeedsFinalManualReview","campaign500_shape_psg_remaining_hard_r3_37_L438_giftbox_r3lock","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingHardR3/campaign500_shape_psg_remaining_hard_r3_37_L438_giftbox_r3lock.asset","","","172","","6.36","0.987","12","10","4","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"443","45","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_next10h_05_L443_ufo","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10H/campaign500_shape_psg_next10h_05_L443_ufo.asset","","","86","","4.47","0.986","9","15","4","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"447","45","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_next10h_06_L447_magicbook","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10H/campaign500_shape_psg_next10h_06_L447_magicbook.asset","","","95","","3.94","0.991","7","9","4","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"449","45","normal","Peak","LongChainProbe","rail_chain","PeakReview","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_s3_v1_26_nutation_longchain_rail_v1_rect_c80hf3_07_d2_maze_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_26_nutation_longchain_rail_v1_rect_c80hf3_07_d2_maze_rail.asset","27","36","86","22","6.34","0.955","11","4","3","0.913","0.155","Generic LongChain strict candidate matched to missing Peak slot by stage difficulty, canvas, and chain-language fit."
"453","46","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_next10h_07_L453_fish","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10H/campaign500_shape_psg_next10h_07_L453_fish.asset","","","111","","4.53","0.988","9","8","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"456","46","normal","Peak","LongChainProbe","patch_chain","PeakReview","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_v1_37_nutation_longchain_curve_v1_rect_c80hf_10_d2_section_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_37_nutation_longchain_curve_v1_rect_c80hf_10_d2_section_curve.asset","29","38","92","23","5.39","0.948","9","5","5","0.828","0.265","Generic LongChain strict candidate matched to missing Peak slot by stage difficulty, canvas, and chain-language fit."
"458","46","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_next10h_08_L458_star","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10H/campaign500_shape_psg_next10h_08_L458_star.asset","","","95","","4.87","0.982","10","11","1","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"463","47","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_172_L463_castletower_section","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_172_L463_castletower_section.asset","","","89","","4.18","0.986","7","11","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"465","47","normal","Peak","LongChainProbe","curve_chain","PeakReview","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_s2_v1_39_nutation_longchain_patch_v1_rect_c80hf2_10_d2_section_patch","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_39_nutation_longchain_patch_v1_rect_c80hf2_10_d2_section_patch.asset","29","38","104","21","5.26","0.947","9","6","6","0.867","0.22","Generic LongChain strict candidate matched to missing Peak slot by stage difficulty, canvas, and chain-language fit."
"468","47","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_176_L468_boombox_sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_176_L468_boombox_sweep.asset","","","81","","5.68","0.988","9","7","4","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"469","47","normal","Hard","PeelMid","curve_chain","Hard","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_v1_29_nutation_longchain_curve_v1_rect_c80hf_08_d2_weave_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_29_nutation_longchain_curve_v1_rect_c80hf_08_d2_weave_curve.asset","28","36","89","23","6.33","0.948","11","6","5","0.845","0.217","Generic LongChain strict candidate matched to missing Hard slot by stage difficulty, canvas, and chain-language fit."
"473","48","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_final6_01_L473_mug","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFinal6/campaign500_shape_psg_final6_01_L473_mug.asset","","","78","","4.63","0.981","9","5","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"475","48","normal","Hard","PeelMid","rail_chain","Hard","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_s3_v1_28_nutation_longchain_spine_v1_rect_c80hf3_07_d2_maze_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_28_nutation_longchain_spine_v1_rect_c80hf3_07_d2_maze_spine.asset","27","36","73","26","5.53","0.949","10","3","3","0.842","0.251","Generic LongChain strict candidate matched to missing Hard slot by stage difficulty, canvas, and chain-language fit."
"478","48","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_178_L478_flag_section","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_178_L478_flag_section.asset","","","96","","5.64","0.986","9","8","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"479","48","normal","Peak","LongChainProbe","rail_chain","PeakReview","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_v1_33_nutation_longchain_curve_v1_rect_c80hf_09_d2_core_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_33_nutation_longchain_curve_v1_rect_c80hf_09_d2_core_curve.asset","28","38","93","22","6.26","0.946","11","5","3","0.92","0.144","Generic LongChain strict candidate matched to missing Peak slot by stage difficulty, canvas, and chain-language fit."
"483","49","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_182_L483_heart_sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_182_L483_heart_sweep.asset","","","81","","3.94","0.989","6","13","1","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"485","49","normal","Peak","LongChainProbe","patch_chain","PeakReview","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_s2_v1_47_nutation_longchain_patch_v1_rect_c80hf2_12_d3_maze_patch","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_47_nutation_longchain_patch_v1_rect_c80hf2_12_d3_maze_patch.asset","31","39","121","21","6.77","0.955","11","6","4","0.859","0.183","Generic LongChain strict candidate matched to missing Peak slot by stage difficulty, canvas, and chain-language fit."
"487","49","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_186_L487_sun_dense","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_186_L487_sun_dense.asset","","","97","","5.64","0.985","11","7","1","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"489","49","normal","Hard","PeelMid","rail_chain","Hard","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_v1_11_nutation_longchain_patch_v1_rect_c80_03_d1_weave_patch","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_11_nutation_longchain_patch_v1_rect_c80_03_d1_weave_patch.asset","24","32","76","21","6.83","0.938","11","4","4","0.871","0.168","Generic LongChain strict candidate matched to missing Hard slot by stage difficulty, canvas, and chain-language fit."
"493","50","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_final6_05_L493_dragonhead","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFinal6/campaign500_shape_psg_final6_05_L493_dragonhead.asset","","","90","","5.61","0.990","9","8","1","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"498","50","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_188_L498_banana_core","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_188_L498_banana_core.asset","","","69","","3.9","0.986","7","6","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"500","50","normal","Peak","LongChainProbe","curve_chain","PeakReview","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_s3_v1_45_nutation_longchain_curve_v1_rect_c80hf3_12_d3_maze_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_45_nutation_longchain_curve_v1_rect_c80hf3_12_d3_maze_curve.asset","31","39","108","23","4.71","0.955","8","7","3","0.84","0.235","Generic LongChain strict candidate matched to missing Peak slot by stage difficulty, canvas, and chain-language fit."
