rank,id,path,source,transform,reversePattern,reversed,trimmedOuterExit,trimmedOuterShort,fillMode,outerProfile,addedChains,width,height,chains,coverage,outer1,outer2,maxOuterEmptyRun,visualPenalty,edgeLong,cornerLong,edgeShort,maxEdgeRun,greedy,details
1,composite_play_cand_001_composite_portrait150_001_composite_greedy_ab_00_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_001_composite_portrait150_001_composite_greedy_ab_00_identity_keep_edge120.asset,composite_portrait150_001_composite_greedy_ab_001_r1_029_a456_a845_h2_rot90,identity,keep,0,4,0,edge120,strict,14,30,47,139,0.972,0.980,0.973,2,68,7,4,13,18,True,localEmpty=0.109; fast greedy budget=450
108,composite_play_cand_108_composite_portrait150_116_composite_greedy_ab_12_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_108_composite_portrait150_116_composite_greedy_ab_12_identity_keep_edge120.asset,composite_portrait150_116_composite_greedy_ab_128_r2_012_a419_a716_h0_rot90,identity,keep,0,3,0,edge120,balanced,16,29,38,141,0.961,0.977,0.976,1,64,6,3,18,18,True,localEmpty=0.188; fast greedy budget=450
109,composite_play_cand_109_composite_portrait150_124_composite_greedy_ab_13_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_109_composite_portrait150_124_composite_greedy_ab_13_identity_keep_edge120.asset,composite_portrait150_124_composite_greedy_ab_136_r1_235_a852_a677_h0_rot90,identity,keep,0,2,0,edge120,balanced,5,30,44,124,0.917,0.979,0.979,1,52,4,2,20,18,True,localEmpty=0.438; fast greedy budget=450
110,composite_play_cand_110_composite_portrait150_132_composite_greedy_ab_14_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_110_composite_portrait150_132_composite_greedy_ab_14_identity_keep_edge120.asset,composite_portrait150_132_composite_greedy_ab_146_r1_221_a818_r2_041_a473__rot90,identity,keep,0,2,0,edge120,balanced,11,28,41,127,0.944,0.978,0.954,2,57,5,2,20,18,True,localEmpty=0.234; fast greedy budget=450
111,composite_play_cand_111_composite_portrait150_134_composite_greedy_ab_14_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_111_composite_portrait150_134_composite_greedy_ab_14_identity_keep_edge120.asset,composite_portrait150_134_composite_greedy_ab_149_r1_236_a855_a809_h0_rot90,identity,keep,0,4,0,edge120,balanced,12,28,44,131,0.955,0.964,0.971,3,59,5,4,15,17,True,localEmpty=0.219; fast greedy budget=450
112,composite_play_cand_112_composite_portrait150_009_composite_greedy_ab_00_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_112_composite_portrait150_009_composite_greedy_ab_00_hflip_keep_edge120.asset,composite_portrait150_009_composite_greedy_ab_009_a876_a845_h2_rot90,hflip,keep,0,5,0,edge120,balanced,21,30,44,137,0.964,0.965,0.971,1,58,6,2,15,19,True,localEmpty=0.125; fast greedy budget=450
113,composite_play_cand_113_composite_portrait150_010_composite_greedy_ab_01_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_113_composite_portrait150_010_composite_greedy_ab_01_hflip_keep_edge120.asset,composite_portrait150_010_composite_greedy_ab_010_r1_097_a581_a845_h2_rot90,hflip,keep,0,2,0,edge120,balanced,12,32,46,151,0.957,0.974,0.966,2,50,3,2,23,18,True,localEmpty=0.203; fast greedy budget=453
114,composite_play_cand_114_composite_portrait150_016_composite_greedy_ab_01_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_114_composite_portrait150_016_composite_greedy_ab_01_hflip_keep_edge120.asset,composite_portrait150_016_composite_greedy_ab_017_r2_237_a857_r1_271_a943__rot90,hflip,keep,0,2,0,edge120,balanced,14,28,46,133,0.959,0.972,0.971,2,57,5,3,12,22,True,localEmpty=0.281; fast greedy budget=450
115,composite_play_cand_115_composite_portrait150_021_composite_greedy_ab_02_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_115_composite_portrait150_021_composite_greedy_ab_02_hflip_keep_edge120.asset,composite_portrait150_021_composite_greedy_ab_024_r2_237_a857_a946_h0_rot90,hflip,keep,0,5,0,edge120,balanced,12,32,41,142,0.966,0.972,0.971,1,65,6,6,7,18,True,localEmpty=0.219; fast greedy budget=450
116,composite_play_cand_116_composite_portrait150_022_composite_greedy_ab_02_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_116_composite_portrait150_022_composite_greedy_ab_02_hflip_keep_edge120.asset,composite_portrait150_022_composite_greedy_ab_025_r1_236_a855_r1_282_a966__rot90,hflip,keep,0,5,0,edge120,balanced,9,28,38,141,0.953,0.977,0.976,3,90,10,6,13,17,True,localEmpty=0.172; fast greedy budget=450
117,composite_play_cand_117_composite_portrait150_023_composite_greedy_ab_02_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_117_composite_portrait150_023_composite_greedy_ab_02_hflip_keep_edge120.asset,composite_portrait150_023_composite_greedy_ab_026_r2_237_a857_r2_113_a616__rot270,hflip,keep,0,4,0,edge120,balanced,14,28,42,124,0.940,0.971,0.958,3,48,4,2,16,18,True,localEmpty=0.250; fast greedy budget=450
118,composite_play_cand_118_composite_portrait150_032_composite_greedy_ab_03_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_118_composite_portrait150_032_composite_greedy_ab_03_hflip_keep_edge120.asset,composite_portrait150_032_composite_greedy_ab_035_r2_237_a857_r1_215_a805__rot90,hflip,keep,0,4,0,edge120,balanced,15,28,42,132,0.969,0.978,0.981,1,53,4,4,13,18,True,localEmpty=0.203; fast greedy budget=450
119,composite_play_cand_119_composite_portrait150_051_composite_greedy_ab_05_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_119_composite_portrait150_051_composite_greedy_ab_05_hflip_keep_edge120.asset,composite_portrait150_051_composite_greedy_ab_056_z166_a883_h0_rot90,hflip,keep,0,6,0,edge120,balanced,15,31,49,145,0.949,0.974,0.977,2,83,9,4,16,20,True,localEmpty=0.297; fast greedy budget=450
120,composite_play_cand_120_composite_portrait150_065_composite_greedy_ab_07_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_120_composite_portrait150_065_composite_greedy_ab_07_hflip_keep_edge120.asset,composite_portrait150_065_composite_greedy_ab_071_r2_278_a955_a883_h0_rot90,hflip,keep,0,4,0,edge120,balanced,18,31,47,158,0.955,0.974,0.976,2,70,6,4,20,18,True,localEmpty=0.313; fast greedy budget=474
121,composite_play_cand_121_composite_portrait150_066_composite_greedy_ab_07_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_121_composite_portrait150_066_composite_greedy_ab_07_hflip_keep_edge120.asset,composite_portrait150_066_composite_greedy_ab_072_r1_110_a607_a761_h0_rot90,hflip,keep,0,3,0,edge120,balanced,9,32,43,125,0.979,0.973,0.979,3,65,7,3,14,18,True,localEmpty=0.094; fast greedy budget=450
122,composite_play_cand_122_composite_portrait150_068_composite_greedy_ab_07_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_122_composite_portrait150_068_composite_greedy_ab_07_hflip_keep_edge120.asset,composite_portrait150_068_composite_greedy_ab_074_r1_071_a528_a811_h0_rot90,hflip,keep,0,4,0,edge120,balanced,13,30,45,129,0.961,0.973,0.975,2,79,8,3,22,19,True,localEmpty=0.156; fast greedy budget=450
123,composite_play_cand_123_composite_portrait150_073_composite_greedy_ab_08_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_123_composite_portrait150_073_composite_greedy_ab_08_hflip_keep_edge120.asset,composite_portrait150_073_composite_greedy_ab_080_r1_249_a879_a716_h0_rot90,hflip,keep,0,3,0,edge120,balanced,14,29,39,132,0.970,0.970,0.980,1,64,6,3,18,18,True,localEmpty=0.078; fast greedy budget=450
124,composite_play_cand_124_composite_portrait150_077_composite_greedy_ab_08_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_124_composite_portrait150_077_composite_greedy_ab_08_hflip_keep_edge120.asset,composite_portrait150_077_composite_greedy_ab_084_r1_249_a879_r2_040_a472__rot90,hflip,keep,0,4,0,edge120,balanced,11,29,40,127,0.969,0.978,0.988,1,74,9,4,9,18,True,localEmpty=0.078; fast greedy budget=450
125,composite_play_cand_125_composite_portrait150_079_composite_greedy_ab_08_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_125_composite_portrait150_079_composite_greedy_ab_08_hflip_keep_edge120.asset,composite_portrait150_079_composite_greedy_ab_086_r2_237_a857_a883_h0_rot90,hflip,keep,0,3,0,edge120,balanced,12,31,47,152,0.941,0.961,0.966,2,56,5,3,15,18,True,localEmpty=0.313; fast greedy budget=456
126,composite_play_cand_126_composite_portrait150_086_composite_greedy_ab_09_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_126_composite_portrait150_086_composite_greedy_ab_09_hflip_keep_edge120.asset,composite_portrait150_086_composite_greedy_ab_095_r2_070_a527_a811_h0_rot90,hflip,keep,0,2,4,edge120,balanced,13,29,41,127,0.929,0.963,0.955,2,44,3,2,17,18,True,localEmpty=0.328; fast greedy budget=450
127,composite_play_cand_127_composite_portrait150_098_composite_greedy_ab_10_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_127_composite_portrait150_098_composite_greedy_ab_10_hflip_keep_edge120.asset,composite_portrait150_098_composite_greedy_ab_109_r2_179_a717_r2_041_a473__rot90,hflip,keep,0,3,2,edge120,balanced,11,29,46,137,0.934,0.966,0.940,2,77,8,3,21,18,True,localEmpty=0.281; fast greedy budget=450
128,composite_play_cand_128_composite_portrait150_110_composite_greedy_ab_12_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_128_composite_portrait150_110_composite_greedy_ab_12_hflip_keep_edge120.asset,composite_portrait150_110_composite_greedy_ab_121_r1_290_a987_a632_h0_rot90,hflip,keep,0,0,2,edge120,balanced,13,32,42,139,0.949,0.972,0.961,2,45,4,2,16,15,True,localEmpty=0.188; fast greedy budget=450
129,composite_play_cand_129_composite_portrait150_112_composite_greedy_ab_12_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_129_composite_portrait150_112_composite_greedy_ab_12_hflip_keep_edge120.asset,composite_portrait150_112_composite_greedy_ab_123_r1_165_a691_a869_h0_rot90,hflip,keep,0,5,0,edge120,balanced,19,36,45,168,0.954,0.968,0.971,2,56,3,2,30,17,True,localEmpty=0.250; fast greedy budget=504
130,composite_play_cand_130_composite_portrait150_116_composite_greedy_ab_12_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_130_composite_portrait150_116_composite_greedy_ab_12_hflip_keep_edge120.asset,composite_portrait150_116_composite_greedy_ab_128_r2_012_a419_a716_h0_rot90,hflip,keep,0,3,0,edge120,balanced,16,29,38,141,0.961,0.977,0.976,1,58,5,3,17,18,True,localEmpty=0.156; fast greedy budget=450
131,composite_play_cand_131_composite_portrait150_124_composite_greedy_ab_13_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_131_composite_portrait150_124_composite_greedy_ab_13_hflip_keep_edge120.asset,composite_portrait150_124_composite_greedy_ab_136_r1_235_a852_a677_h0_rot90,hflip,keep,0,2,0,edge120,balanced,5,30,44,124,0.917,0.979,0.979,1,52,4,2,20,18,True,localEmpty=0.406; fast greedy budget=450
132,composite_play_cand_132_composite_portrait150_129_composite_greedy_ab_14_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_132_composite_portrait150_129_composite_greedy_ab_14_hflip_keep_edge120.asset,composite_portrait150_129_composite_greedy_ab_141_r2_010_a417_r1_067_a524__rot90,hflip,keep,0,3,0,edge120,balanced,17,32,50,171,0.933,0.963,0.929,3,107,11,4,21,29,True,localEmpty=0.234; fast greedy budget=513
133,composite_play_cand_133_composite_portrait150_134_composite_greedy_ab_14_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_133_composite_portrait150_134_composite_greedy_ab_14_hflip_keep_edge120.asset,composite_portrait150_134_composite_greedy_ab_149_r1_236_a855_a809_h0_rot90,hflip,keep,0,4,0,edge120,balanced,12,28,44,131,0.955,0.964,0.971,3,59,5,4,15,17,True,localEmpty=0.219; fast greedy budget=450
134,composite_play_cand_134_composite_portrait150_021_composite_greedy_ab_02_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_134_composite_portrait150_021_composite_greedy_ab_02_vflip_keep_edge120.asset,composite_portrait150_021_composite_greedy_ab_024_r2_237_a857_a946_h0_rot90,vflip,keep,0,5,0,edge120,balanced,12,32,41,142,0.966,0.979,0.971,1,65,6,6,7,18,True,localEmpty=0.219; fast greedy budget=450
135,composite_play_cand_135_composite_portrait150_022_composite_greedy_ab_02_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_135_composite_portrait150_022_composite_greedy_ab_02_vflip_keep_edge120.asset,composite_portrait150_022_composite_greedy_ab_025_r1_236_a855_r1_282_a966__rot90,vflip,keep,0,5,0,edge120,balanced,9,28,38,141,0.953,0.977,0.976,3,90,10,6,13,17,True,localEmpty=0.172; fast greedy budget=450
136,composite_play_cand_136_composite_portrait150_029_composite_greedy_ab_03_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_136_composite_portrait150_029_composite_greedy_ab_03_vflip_keep_edge120.asset,composite_portrait150_029_composite_greedy_ab_032_r2_154_a665_r1_156_a672__rot90,vflip,keep,0,5,0,edge120,balanced,14,33,49,153,0.938,0.975,0.974,1,83,7,4,28,18,True,localEmpty=0.313; fast greedy budget=459
137,composite_play_cand_137_composite_portrait150_032_composite_greedy_ab_03_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_137_composite_portrait150_032_composite_greedy_ab_03_vflip_keep_edge120.asset,composite_portrait150_032_composite_greedy_ab_035_r2_237_a857_r1_215_a805__rot90,vflip,keep,0,4,0,edge120,balanced,16,28,42,133,0.973,0.971,0.977,2,54,4,4,14,18,True,localEmpty=0.125; fast greedy budget=450
138,composite_play_cand_138_composite_portrait150_036_composite_greedy_ab_03_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_138_composite_portrait150_036_composite_greedy_ab_03_vflip_keep_edge120.asset,composite_portrait150_036_composite_greedy_ab_039_r1_273_a948_a946_h0_rot90,vflip,keep,0,5,0,edge120,balanced,7,32,43,129,0.940,0.979,0.968,1,78,8,6,4,24,True,localEmpty=0.281; fast greedy budget=450
139,composite_play_cand_139_composite_portrait150_051_composite_greedy_ab_05_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_139_composite_portrait150_051_composite_greedy_ab_05_vflip_keep_edge120.asset,composite_portrait150_051_composite_greedy_ab_056_z166_a883_h0_rot90,vflip,keep,0,6,0,edge120,balanced,15,31,49,145,0.949,0.974,0.977,2,83,9,4,16,20,True,localEmpty=0.313; fast greedy budget=450
140,composite_play_cand_140_composite_portrait150_062_composite_greedy_ab_06_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_140_composite_portrait150_062_composite_greedy_ab_06_vflip_keep_edge120.asset,composite_portrait150_062_composite_greedy_ab_068_r1_195_a754_r1_198_a757__rot90,vflip,keep,0,3,0,edge120,balanced,11,32,46,150,0.955,0.961,0.956,2,48,5,1,12,21,True,localEmpty=0.234; fast greedy budget=450
141,composite_play_cand_141_composite_portrait150_065_composite_greedy_ab_07_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_141_composite_portrait150_065_composite_greedy_ab_07_vflip_keep_edge120.asset,composite_portrait150_065_composite_greedy_ab_071_r2_278_a955_a883_h0_rot90,vflip,keep,0,4,0,edge120,balanced,18,31,47,158,0.955,0.974,0.976,2,70,6,4,20,18,True,localEmpty=0.313; fast greedy budget=474
142,composite_play_cand_142_composite_portrait150_066_composite_greedy_ab_07_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_142_composite_portrait150_066_composite_greedy_ab_07_vflip_keep_edge120.asset,composite_portrait150_066_composite_greedy_ab_072_r1_110_a607_a761_h0_rot90,vflip,keep,0,3,0,edge120,balanced,9,32,43,125,0.979,0.973,0.979,3,65,7,3,14,18,True,localEmpty=0.094; fast greedy budget=450
143,composite_play_cand_143_composite_portrait150_068_composite_greedy_ab_07_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_143_composite_portrait150_068_composite_greedy_ab_07_vflip_keep_edge120.asset,composite_portrait150_068_composite_greedy_ab_074_r1_071_a528_a811_h0_rot90,vflip,keep,0,4,0,edge120,balanced,14,30,45,130,0.961,0.979,0.979,1,80,8,3,23,19,True,localEmpty=0.141; fast greedy budget=450
144,composite_play_cand_144_composite_portrait150_073_composite_greedy_ab_08_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_144_composite_portrait150_073_composite_greedy_ab_08_vflip_keep_edge120.asset,composite_portrait150_073_composite_greedy_ab_080_r1_249_a879_a716_h0_rot90,vflip,keep,0,3,0,edge120,balanced,14,29,39,132,0.970,0.970,0.980,1,70,7,3,19,18,True,localEmpty=0.094; fast greedy budget=450
145,composite_play_cand_145_composite_portrait150_077_composite_greedy_ab_08_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_145_composite_portrait150_077_composite_greedy_ab_08_vflip_keep_edge120.asset,composite_portrait150_077_composite_greedy_ab_084_r1_249_a879_r2_040_a472__rot90,vflip,keep,0,4,0,edge120,balanced,11,29,40,127,0.969,0.978,0.988,1,74,9,4,9,18,True,localEmpty=0.078; fast greedy budget=450
146,composite_play_cand_146_composite_portrait150_079_composite_greedy_ab_08_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_146_composite_portrait150_079_composite_greedy_ab_08_vflip_keep_edge120.asset,composite_portrait150_079_composite_greedy_ab_086_r2_237_a857_a883_h0_rot90,vflip,keep,0,3,0,edge120,balanced,12,31,47,152,0.941,0.961,0.966,2,56,5,3,15,18,True,localEmpty=0.313; fast greedy budget=456
147,composite_play_cand_147_composite_portrait150_080_composite_greedy_ab_08_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_147_composite_portrait150_080_composite_greedy_ab_08_vflip_keep_edge120.asset,composite_portrait150_080_composite_greedy_ab_087_r1_235_a852_a811_h0_rot90,vflip,keep,0,3,0,edge120,balanced,12,30,47,140,0.948,0.967,0.955,1,64,5,3,23,18,True,localEmpty=0.172; fast greedy budget=450
148,composite_play_cand_148_composite_portrait150_094_composite_greedy_ab_10_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_148_composite_portrait150_094_composite_greedy_ab_10_vflip_keep_edge120.asset,composite_portrait150_094_composite_greedy_ab_103_r1_235_a852_a761_h0_rot90,vflip,keep,0,1,0,edge120,balanced,6,30,46,124,0.964,0.966,0.969,3,64,6,2,22,18,True,localEmpty=0.234; fast greedy budget=450
149,composite_play_cand_149_composite_portrait150_098_composite_greedy_ab_10_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_149_composite_portrait150_098_composite_greedy_ab_10_vflip_keep_edge120.asset,composite_portrait150_098_composite_greedy_ab_109_r2_179_a717_r2_041_a473__rot90,vflip,keep,0,3,2,edge120,balanced,11,29,46,137,0.934,0.966,0.940,2,77,8,3,21,18,True,localEmpty=0.297; fast greedy budget=450
150,composite_play_cand_150_composite_portrait150_105_composite_greedy_ab_11_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_150_composite_portrait150_105_composite_greedy_ab_11_vflip_keep_edge120.asset,composite_portrait150_105_composite_greedy_ab_116_r1_097_a581_r2_139_a632__rot90,vflip,keep,0,3,0,edge120,balanced,17,35,44,177,0.941,0.968,0.970,2,54,3,2,27,18,True,localEmpty=0.313; fast greedy budget=531
151,composite_play_cand_151_composite_portrait150_116_composite_greedy_ab_12_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_151_composite_portrait150_116_composite_greedy_ab_12_vflip_keep_edge120.asset,composite_portrait150_116_composite_greedy_ab_128_r2_012_a419_a716_h0_rot90,vflip,keep,0,3,0,edge120,balanced,16,29,38,141,0.961,0.977,0.976,1,64,6,3,18,18,True,localEmpty=0.188; fast greedy budget=450
152,composite_play_cand_152_composite_portrait150_124_composite_greedy_ab_13_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_152_composite_portrait150_124_composite_greedy_ab_13_vflip_keep_edge120.asset,composite_portrait150_124_composite_greedy_ab_136_r1_235_a852_a677_h0_rot90,vflip,keep,0,2,0,edge120,balanced,5,30,44,124,0.917,0.979,0.979,1,52,4,2,20,18,True,localEmpty=0.438; fast greedy budget=450
153,composite_play_cand_153_composite_portrait150_125_composite_greedy_ab_13_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_153_composite_portrait150_125_composite_greedy_ab_13_vflip_keep_edge120.asset,composite_portrait150_125_composite_greedy_ab_137_r2_048_a491_a957_h0_rot90,vflip,keep,0,6,0,edge120,balanced,18,32,45,137,0.937,0.967,0.962,2,76,9,3,14,19,True,localEmpty=0.281; fast greedy budget=450
154,composite_play_cand_154_composite_portrait150_134_composite_greedy_ab_14_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_154_composite_portrait150_134_composite_greedy_ab_14_vflip_keep_edge120.asset,composite_portrait150_134_composite_greedy_ab_149_r1_236_a855_a809_h0_rot90,vflip,keep,0,4,0,edge120,balanced,12,28,44,131,0.955,0.964,0.971,3,60,5,4,16,17,True,localEmpty=0.219; fast greedy budget=450
155,composite_play_cand_155_composite_portrait150_009_composite_greedy_ab_00_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_155_composite_portrait150_009_composite_greedy_ab_00_rot180_keep_edge120.asset,composite_portrait150_009_composite_greedy_ab_009_a876_a845_h2_rot90,rot180,keep,0,5,0,edge120,balanced,21,30,44,137,0.964,0.965,0.971,1,58,6,2,15,19,True,localEmpty=0.125; fast greedy budget=450
156,composite_play_cand_156_composite_portrait150_067_composite_greedy_ab_07_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_156_composite_portrait150_067_composite_greedy_ab_07_rot180_keep_edge120.asset,composite_portrait150_067_composite_greedy_ab_073_r2_040_a472_r1_271_a943__rot90,rot180,keep,0,4,0,edge120,balanced,13,29,46,139,0.961,0.966,0.975,2,78,8,5,10,22,True,localEmpty=0.203; fast greedy budget=450
157,composite_play_cand_157_composite_portrait150_076_composite_greedy_ab_08_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_157_composite_portrait150_076_composite_greedy_ab_08_rot180_keep_edge120.asset,composite_portrait150_076_composite_greedy_ab_083_r1_029_a456_r2_055_a501__rot90,rot180,keep,0,4,0,edge120,balanced,12,30,46,136,0.946,0.980,0.955,1,73,8,4,13,18,True,localEmpty=0.234; fast greedy budget=450
158,composite_play_cand_158_composite_portrait150_080_composite_greedy_ab_08_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_158_composite_portrait150_080_composite_greedy_ab_08_rot180_keep_edge120.asset,composite_portrait150_080_composite_greedy_ab_087_r1_235_a852_a811_h0_rot90,rot180,keep,0,3,0,edge120,balanced,12,30,47,140,0.948,0.967,0.955,1,64,5,3,23,18,True,localEmpty=0.156; fast greedy budget=450
159,composite_play_cand_159_composite_portrait150_094_composite_greedy_ab_10_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_159_composite_portrait150_094_composite_greedy_ab_10_rot180_keep_edge120.asset,composite_portrait150_094_composite_greedy_ab_103_r1_235_a852_a761_h0_rot90,rot180,keep,0,1,0,edge120,balanced,6,30,46,124,0.964,0.966,0.969,3,64,6,2,22,18,True,localEmpty=0.219; fast greedy budget=450
160,composite_play_cand_160_composite_portrait150_110_composite_greedy_ab_12_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_160_composite_portrait150_110_composite_greedy_ab_12_rot180_keep_edge120.asset,composite_portrait150_110_composite_greedy_ab_121_r1_290_a987_a632_h0_rot90,rot180,keep,0,0,2,edge120,balanced,13,32,42,139,0.949,0.972,0.961,2,45,4,2,16,15,True,localEmpty=0.219; fast greedy budget=450
