rank,id,path,type,score,width,height,chains,coverage,outer1,outer2,maxOuterEmptyRun,holeScore,localEmpty8,localEmpty6,centerEmpty,openers,avgChoices,minChoices,maxChoices,lowChoiceSteps,highChoiceSteps,unlockBursts,maxUnlockBurst,keyLockSteps,firstOuter,lastOuter,endingShort,avgChain,maxChain,regionSwitches,dependencyBlocks,dependencyCycles,dependencyLayerStuck,visualPenalty,edgeShort,maxEdgeRun,families,details
1,composite_play_cand_076_composite_portrait150_082_composite_greedy_ab_08_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_076_composite_portrait150_082_composite_greedy_ab_08_vflip_keep_edge120.asset,section,81.9,29,41,126,0.960,0.993,0.992,1,41.5,0.219,0.389,0.051,16,6.02,1,16,9,28,25,4,5,0.750,0.156,0.308,9.06,42,59,110,0,0,61,15,18,composite_play_cand_076_composite_portrait150_082_composite_greedy_ab_08_vflip_keep_edge120,type=section; score=81.9; deps=110/0/0
90,composite_play_cand_189_composite_portrait150_073_composite_greedy_ab_08_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_189_composite_portrait150_073_composite_greedy_ab_08_rot180_keep_edge120.asset,section,70.3,29,39,132,0.970,0.970,0.980,1,17.5,0.094,0.111,0.033,22,7.83,1,23,5,46,27,4,5,0.758,0.152,0.370,8.31,42,67,110,0,0,64,18,18,composite_play_cand_189_composite_portrait150_073_composite_greedy_ab_08_rot180_keep_edge120,type=section; score=70.3; deps=110/0/0
91,composite_play_cand_049_composite_portrait150_078_composite_greedy_ab_08_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_049_composite_portrait150_078_composite_greedy_ab_08_hflip_keep_edge120.asset,lock,70.2,29,40,133,0.948,0.985,0.965,1,52.9,0.313,0.444,0.059,17,7.11,1,20,7,54,32,4,10,0.618,0.000,0.296,8.27,43,76,116,0,0,65,19,18,composite_play_cand_049_composite_portrait150_078_composite_greedy_ab_08_hflip_keep_edge120,type=lock; score=70.2; deps=116/0/0
92,composite_play_cand_190_composite_portrait150_076_composite_greedy_ab_08_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_190_composite_portrait150_076_composite_greedy_ab_08_rot180_keep_edge120.asset,sweep,70.1,30,46,136,0.946,0.980,0.955,1,43.2,0.234,0.333,0.076,18,10.49,1,20,4,82,31,3,10,0.647,0.176,0.357,9.60,52,61,118,0,0,73,13,18,composite_play_cand_190_composite_portrait150_076_composite_greedy_ab_08_rot180_keep_edge120,type=sweep; score=70.1; deps=118/0/0
93,composite_play_cand_163_composite_portrait150_051_composite_greedy_ab_05_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_163_composite_portrait150_051_composite_greedy_ab_05_vflip_keep_edge120.asset,sweep,70.0,31,49,145,0.949,0.974,0.977,2,54.8,0.313,0.444,0.095,26,9.66,1,26,2,79,29,4,8,0.757,0.135,0.345,9.94,54,68,119,0,0,83,16,20,composite_play_cand_163_composite_portrait150_051_composite_greedy_ab_05_vflip_keep_edge120,type=sweep; score=70.0; deps=119/0/0
94,composite_play_cand_047_composite_portrait150_067_composite_greedy_ab_07_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_047_composite_portrait150_067_composite_greedy_ab_07_hflip_keep_edge120.asset,section,70.0,29,46,137,0.964,0.993,0.989,1,35.0,0.203,0.278,0.054,19,8.87,1,19,2,67,28,4,9,0.600,0.143,0.429,9.39,34,69,118,0,0,76,8,22,composite_play_cand_047_composite_portrait150_067_composite_greedy_ab_07_hflip_keep_edge120,type=section; score=70.0; deps=118/0/0
95,composite_play_cand_021_composite_portrait150_078_composite_greedy_ab_08_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_021_composite_portrait150_078_composite_greedy_ab_08_identity_keep_edge120.asset,lock,70.0,29,40,133,0.948,0.985,0.965,1,53.0,0.297,0.472,0.059,17,7.11,1,20,5,54,33,4,13,0.618,0.000,0.333,8.27,43,75,116,0,0,65,19,18,composite_play_cand_021_composite_portrait150_078_composite_greedy_ab_08_identity_keep_edge120,type=lock; score=70.0; deps=116/0/0
96,composite_play_cand_159_composite_portrait150_022_composite_greedy_ab_02_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_159_composite_portrait150_022_composite_greedy_ab_02_vflip_keep_edge120.asset,lock,69.8,28,38,141,0.953,0.977,0.976,3,33.7,0.172,0.250,0.071,15,9.41,1,21,1,70,28,6,9,0.667,0.000,0.310,7.19,43,75,126,0,0,90,13,17,composite_play_cand_159_composite_portrait150_022_composite_greedy_ab_02_vflip_keep_edge120,type=lock; score=69.8; deps=126/0/0
97,composite_play_cand_181_composite_portrait150_022_composite_greedy_ab_02_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_181_composite_portrait150_022_composite_greedy_ab_02_rot180_keep_edge120.asset,lock,69.8,28,38,141,0.953,0.977,0.976,3,36.2,0.172,0.306,0.071,15,9.43,1,20,1,74,28,6,9,0.667,0.000,0.310,7.19,43,75,126,0,0,90,13,17,composite_play_cand_181_composite_portrait150_022_composite_greedy_ab_02_rot180_keep_edge120,type=lock; score=69.8; deps=126/0/0
98,composite_play_cand_151_composite_portrait150_110_composite_greedy_ab_12_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_151_composite_portrait150_110_composite_greedy_ab_12_hflip_keep_edge120.asset,sweep,69.4,32,42,139,0.949,0.972,0.961,2,38.3,0.188,0.306,0.081,23,10.12,1,24,7,60,33,3,4,0.800,0.229,0.250,9.18,61,71,116,0,0,45,16,15,composite_play_cand_151_composite_portrait150_110_composite_greedy_ab_12_hflip_keep_edge120,type=sweep; score=69.4; deps=116/0/0
99,composite_play_cand_112_composite_portrait150_016_composite_greedy_ab_01_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_112_composite_portrait150_016_composite_greedy_ab_01_identity_keep_edge120.asset,sweep,69.4,28,46,133,0.959,0.972,0.971,2,48.7,0.281,0.444,0.049,24,11.31,1,24,2,87,27,4,10,0.706,0.088,0.481,9.29,59,66,109,0,0,57,12,22,composite_play_cand_112_composite_portrait150_016_composite_greedy_ab_01_identity_keep_edge120,type=sweep; score=69.4; deps=109/0/0
100,composite_play_cand_129_composite_portrait150_110_composite_greedy_ab_12_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_129_composite_portrait150_110_composite_greedy_ab_12_identity_keep_edge120.asset,sweep,69.4,32,42,140,0.949,0.972,0.961,2,36.6,0.188,0.278,0.072,24,10.57,1,25,7,61,32,3,4,0.800,0.229,0.250,9.11,61,69,116,0,0,46,17,15,composite_play_cand_129_composite_portrait150_110_composite_greedy_ab_12_identity_keep_edge120,type=sweep; score=69.4; deps=116/0/0
101,composite_play_cand_122_composite_portrait150_073_composite_greedy_ab_08_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_122_composite_portrait150_073_composite_greedy_ab_08_identity_keep_edge120.asset,section,69.4,29,39,132,0.970,0.970,0.980,1,16.3,0.078,0.111,0.033,23,9.33,1,23,3,57,29,4,4,0.818,0.273,0.407,8.31,42,60,109,0,0,70,19,18,composite_play_cand_122_composite_portrait150_073_composite_greedy_ab_08_identity_keep_edge120,type=section; score=69.4; deps=109/0/0
102,composite_play_cand_137_composite_portrait150_016_composite_greedy_ab_01_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_137_composite_portrait150_016_composite_greedy_ab_01_hflip_keep_edge120.asset,sweep,69.3,28,46,133,0.959,0.972,0.971,2,51.2,0.281,0.500,0.049,24,11.32,1,24,2,87,27,4,10,0.706,0.088,0.481,9.29,59,67,109,0,0,57,12,22,composite_play_cand_137_composite_portrait150_016_composite_greedy_ab_01_hflip_keep_edge120,type=sweep; score=69.3; deps=109/0/0
103,composite_play_cand_196_composite_portrait150_110_composite_greedy_ab_12_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_196_composite_portrait150_110_composite_greedy_ab_12_rot180_keep_edge120.asset,sweep,69.2,32,42,139,0.949,0.972,0.961,2,40.7,0.219,0.306,0.081,23,10.48,1,24,1,70,32,3,4,0.771,0.200,0.321,9.18,61,67,116,0,0,45,16,15,composite_play_cand_196_composite_portrait150_110_composite_greedy_ab_12_rot180_keep_edge120,type=sweep; score=69.2; deps=116/0/0
104,composite_play_cand_179_composite_portrait150_009_composite_greedy_ab_00_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_179_composite_portrait150_009_composite_greedy_ab_00_rot180_keep_edge120.asset,sweep,69.1,30,44,137,0.964,0.965,0.971,1,23.3,0.125,0.167,0.038,26,9.58,1,26,8,79,24,4,5,0.714,0.200,0.464,9.29,36,60,111,0,0,58,15,19,composite_play_cand_179_composite_portrait150_009_composite_greedy_ab_00_rot180_keep_edge120,type=sweep; score=69.1; deps=111/0/0
105,composite_play_cand_006_composite_portrait150_007_composite_greedy_ab_00_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_006_composite_portrait150_007_composite_greedy_ab_00_identity_keep_edge120.asset,lock,68.9,30,42,135,0.969,0.986,0.971,2,24.3,0.125,0.222,0.022,16,8.30,1,16,13,75,29,4,9,0.735,0.147,0.370,9.04,51,69,119,0,0,53,17,18,composite_play_cand_006_composite_portrait150_007_composite_greedy_ab_00_identity_keep_edge120,type=lock; score=68.9; deps=119/0/0
106,composite_play_cand_029_composite_portrait150_001_composite_greedy_ab_00_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_029_composite_portrait150_001_composite_greedy_ab_00_hflip_keep_edge120.asset,sweep,68.9,30,47,138,0.974,0.993,0.979,1,17.7,0.094,0.139,0.024,17,9.90,1,20,3,83,31,3,9,0.629,0.171,0.393,9.95,47,73,121,0,0,67,12,18,composite_play_cand_029_composite_portrait150_001_composite_greedy_ab_00_hflip_keep_edge120,type=sweep; score=68.9; deps=121/0/0
107,composite_play_cand_042_composite_portrait150_031_composite_greedy_ab_03_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_042_composite_portrait150_031_composite_greedy_ab_03_hflip_keep_edge120.asset,sweep,68.9,32,47,138,0.957,0.994,0.993,1,47.4,0.297,0.389,0.045,28,11.12,1,30,8,87,25,5,5,0.743,0.286,0.357,10.43,75,68,110,0,0,82,15,19,composite_play_cand_042_composite_portrait150_031_composite_greedy_ab_03_hflip_keep_edge120,type=sweep; score=68.9; deps=110/0/0
108,composite_play_cand_178_composite_portrait150_134_composite_greedy_ab_14_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_178_composite_portrait150_134_composite_greedy_ab_14_vflip_keep_edge120.asset,lock,68.8,28,44,131,0.955,0.964,0.971,3,37.1,0.219,0.278,0.050,19,8.91,1,23,1,50,26,6,6,0.697,0.030,0.407,8.98,46,63,112,0,0,60,16,17,composite_play_cand_178_composite_portrait150_134_composite_greedy_ab_14_vflip_keep_edge120,type=lock; score=68.8; deps=112/0/0
109,composite_play_cand_200_composite_portrait150_134_composite_greedy_ab_14_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_200_composite_portrait150_134_composite_greedy_ab_14_rot180_keep_edge120.asset,lock,68.6,28,44,131,0.955,0.964,0.971,3,38.4,0.219,0.306,0.050,19,8.69,1,22,1,46,26,6,6,0.697,0.030,0.407,8.98,46,65,112,0,0,60,16,17,composite_play_cand_200_composite_portrait150_134_composite_greedy_ab_14_rot180_keep_edge120,type=lock; score=68.6; deps=112/0/0
110,composite_play_cand_166_composite_portrait150_066_composite_greedy_ab_07_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_166_composite_portrait150_066_composite_greedy_ab_07_vflip_keep_edge120.asset,maze,68.6,32,43,125,0.979,0.973,0.979,3,14.2,0.094,0.083,0.017,15,6.58,1,16,9,40,27,4,7,0.563,0.094,0.280,10.78,77,69,110,0,0,65,14,18,composite_play_cand_166_composite_portrait150_066_composite_greedy_ab_07_vflip_keep_edge120,type=maze; score=68.6; deps=110/0/0
111,composite_play_cand_034_composite_portrait150_007_composite_greedy_ab_00_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_034_composite_portrait150_007_composite_greedy_ab_00_hflip_keep_edge120.asset,lock,68.6,30,42,135,0.969,0.986,0.971,2,25.1,0.125,0.222,0.037,16,8.64,1,16,6,74,29,4,10,0.735,0.147,0.407,9.04,51,69,119,0,0,53,17,18,composite_play_cand_034_composite_portrait150_007_composite_greedy_ab_00_hflip_keep_edge120,type=lock; score=68.6; deps=119/0/0
112,composite_play_cand_167_composite_portrait150_068_composite_greedy_ab_07_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_167_composite_portrait150_068_composite_greedy_ab_07_vflip_keep_edge120.asset,maze,68.5,30,45,130,0.961,0.979,0.979,1,26.0,0.141,0.194,0.038,19,8.46,1,20,7,61,22,5,7,0.697,0.212,0.269,9.98,63,63,111,0,0,80,23,19,composite_play_cand_167_composite_portrait150_068_composite_greedy_ab_07_vflip_keep_edge120,type=maze; score=68.5; deps=111/0/0
113,composite_play_cand_188_composite_portrait150_068_composite_greedy_ab_07_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_188_composite_portrait150_068_composite_greedy_ab_07_rot180_keep_edge120.asset,maze,68.5,30,45,130,0.961,0.979,0.979,1,25.9,0.141,0.194,0.036,19,8.38,1,20,7,58,22,5,8,0.697,0.212,0.269,9.98,63,63,111,0,0,80,23,19,composite_play_cand_188_composite_portrait150_068_composite_greedy_ab_07_rot180_keep_edge120,type=maze; score=68.5; deps=111/0/0
114,composite_play_cand_145_composite_portrait150_068_composite_greedy_ab_07_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_145_composite_portrait150_068_composite_greedy_ab_07_hflip_keep_edge120.asset,maze,68.4,30,45,129,0.961,0.973,0.975,2,27.2,0.156,0.194,0.036,18,8.52,1,19,7,61,22,6,9,0.727,0.091,0.385,10.05,63,65,111,0,0,79,22,19,composite_play_cand_145_composite_portrait150_068_composite_greedy_ab_07_hflip_keep_edge120,type=maze; score=68.4; deps=111/0/0
115,composite_play_cand_186_composite_portrait150_066_composite_greedy_ab_07_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_186_composite_portrait150_066_composite_greedy_ab_07_rot180_keep_edge120.asset,maze,68.4,32,43,125,0.979,0.973,0.979,3,16.6,0.094,0.139,0.015,15,6.57,1,16,9,40,27,4,7,0.563,0.094,0.280,10.78,77,71,110,0,0,65,14,18,composite_play_cand_186_composite_portrait150_066_composite_greedy_ab_07_rot180_keep_edge120,type=maze; score=68.4; deps=110/0/0
116,composite_play_cand_120_composite_portrait150_066_composite_greedy_ab_07_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_120_composite_portrait150_066_composite_greedy_ab_07_identity_keep_edge120.asset,maze,68.3,32,43,125,0.979,0.973,0.979,3,14.2,0.094,0.083,0.017,15,7.18,1,16,5,47,25,4,7,0.594,0.063,0.200,10.78,77,70,110,0,0,65,14,18,composite_play_cand_120_composite_portrait150_066_composite_greedy_ab_07_identity_keep_edge120,type=maze; score=68.3; deps=110/0/0
117,composite_play_cand_121_composite_portrait150_068_composite_greedy_ab_07_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_121_composite_portrait150_068_composite_greedy_ab_07_identity_keep_edge120.asset,maze,68.1,30,45,129,0.961,0.973,0.975,2,26.1,0.141,0.194,0.038,18,8.48,1,19,7,61,22,6,8,0.697,0.091,0.385,10.05,63,63,111,0,0,79,22,19,composite_play_cand_121_composite_portrait150_068_composite_greedy_ab_07_identity_keep_edge120,type=maze; score=68.1; deps=111/0/0
118,composite_play_cand_144_composite_portrait150_066_composite_greedy_ab_07_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_144_composite_portrait150_066_composite_greedy_ab_07_hflip_keep_edge120.asset,maze,68.1,32,43,125,0.979,0.973,0.979,3,16.6,0.094,0.139,0.015,15,7.15,1,16,5,47,25,4,7,0.594,0.063,0.200,10.78,77,72,110,0,0,65,14,18,composite_play_cand_144_composite_portrait150_066_composite_greedy_ab_07_hflip_keep_edge120,type=maze; score=68.1; deps=110/0/0
119,composite_play_cand_033_composite_portrait150_006_composite_greedy_ab_00_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_033_composite_portrait150_006_composite_greedy_ab_00_hflip_keep_edge120.asset,maze,67.7,30,47,137,0.970,0.987,0.986,1,33.0,0.172,0.333,0.028,19,8.74,1,20,3,67,31,4,6,0.629,0.143,0.500,9.99,75,69,118,0,0,61,16,18,composite_play_cand_033_composite_portrait150_006_composite_greedy_ab_00_hflip_keep_edge120,type=maze; score=67.7; deps=118/0/0
120,composite_play_cand_005_composite_portrait150_006_composite_greedy_ab_00_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_005_composite_portrait150_006_composite_greedy_ab_00_identity_keep_edge120.asset,maze,67.5,30,47,137,0.971,0.993,0.990,1,34.1,0.188,0.333,0.028,20,8.86,1,20,9,68,30,4,6,0.600,0.143,0.464,9.99,75,70,117,0,0,61,16,18,composite_play_cand_005_composite_portrait150_006_composite_greedy_ab_00_identity_keep_edge120,type=maze; score=67.5; deps=117/0/0
