"order","section10","mainMissionId","levelName","category","difficultyNameZh","experienceRole","roleInSection","finalStatus","finalLevelId","finalAssetPath","originalLevelId","originalAssetPath","replacementSourceKind","productionLane","productionChainLanguage","productionDifficultyBand","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax","assemblyAction","assemblySourcePool","assemblySourceRoot","assemblyGateClass","assemblySelectionReason","assemblyCopyRequired","assemblyCandidateLevelId","assemblyCandidateAssetPath","assemblyCandidateStyle","assemblyCandidateChainLanguage","assemblyCandidateRole","assemblyManualReview","assemblyRemainingGap","assemblyGapReason","assemblyCandidateWidth","assemblyCandidateHeight","assemblyCandidateChains","assemblyCandidateAvgChoices","assemblyCandidateMaxChain","assemblyCandidateAvgChain","assemblyCandidateStraightness","assemblyCandidateProfile","templateTargetChains","templateTargetChainsMin","templateTargetChainsMax","templateTargetWidth","templateTargetHeight","actualChains","actualArrowTiles","actualMaxChain","actualAvgChain","effectiveChainLoad","sectionWaveRole","rhythmStageBand","rhythmPlacementReason","rhythmStyleGroup","rhythmChainDelta","rhythmEffectiveDelta","rhythmCandidateDifficultyScore"
"343","35","443","Main/Level_Main_343","shape","困难","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_review_top3_rescue_115_L343_skeletonskull_lock","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_115_L343_skeletonskull_lock.asset","r2_outer_strong_005_r2_006_a401_maskonlyb07_07_main_skeletonskull","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L343_r2_outer_strong_005_r2_006_a401_maskonlyb07_07_mai.asset","shape_psg_inventory","","","","0.981","10","7","3","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_review_top3_rescue_115_L343_skeletonskull_lock","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_115_L343_skeletonskull_lock.asset","LockBuckle","","TraceKeeper","False","False","","","","121","5.21","","","","LockBuckle","135","121","149","38","42","121","967","17","7.99","","Shape","S04_after300_deferred","unchanged_from_v3_or_non_normal","","","",""
"344","35","444","Main/Level_Main_344","normal","特别困难","Pressure","","OriginalNonTarget","direct_diff120_146_direct_diff_veryhard_room_gate_four_pockets_g1_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L344_direct_diff120_146_direct_diff_veryhard_room_gate_.asset","direct_diff120_146_direct_diff_veryhard_room_gate_four_pockets_g1_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L344_direct_diff120_146_direct_diff_veryhard_room_gate_.asset","","","","","","","","","","","","","KeepCurrent","","main","","","False","","","","","","False","False","","","","","","","","","","170","153","187","27","48","","","","","","Hard","S04_after300_deferred","unchanged_from_v3_or_non_normal","","","",""
"345","35","445","Main/Level_Main_345","normal","普通/恢复","Recovery","NormalB_NeutralOrPeelLight","ReplacedRhythmV4FinalStrictComplete","c5nep_w11c_26_nutation_strict_mixed_hard_v1_rect_s35_o345_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_26_nutation_strict_mixed_hard_v1_rect_s35_o345_v00_strictmixedhard_mixed_chain.asset","direct_normal_105_direct_normal_rect_sweep_g4_v11","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L345_direct_normal_105_direct_normal_rect_sweep_g4_v11.asset","NutationStrictAfter300Deferred","NeutralMixed","mixed_chain","NormalNeutral","0.991","10","4","4","0.886","0.217","7","7","ActiveReplace","Campaign500HardGateUntil0910After300Reclaimed","main","CampaignHardGateStrict","strict_complete_promotes_after300_deferred_candidate_to_active_replace","False","c5nep_w11c_26_nutation_strict_mixed_hard_v1_rect_s35_o345_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_26_nutation_strict_mixed_hard_v1_rect_s35_o345_v00_strictmixedhard_mixed_chain.asset","NeutralMixed","mixed_chain","Recovery","False","False","","22","40","69","","21","9.478","","","115","103","127","22","40","69","654","21","9.478","69","Recovery","S04_after300_deferred","strict_complete_explicit_replacement","neutral","","",""
"346","35","446","Main/Level_Main_346","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","ReplacedRhythmV4FinalStrictComplete","campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain.asset","direct_normal_24_direct_normal_rect_dense_weave_g2_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L346_direct_normal_24_direct_normal_rect_dense_weave_g2.asset","NutationStrictAfter300Deferred","FlowRail","rail_chain","NormalFlow","0.994","10","4","2","0.926","0.127","7","5","ActiveReplace","Campaign500HardGateUntil0910After300Reclaimed","main","CampaignHardGateStrict","strict_complete_promotes_after300_deferred_candidate_to_active_replace","False","campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain.asset","FlowRail","rail_chain","Normal","False","False","","20","40","54","","22","11.741","","","112","101","123","20","40","54","634","22","11.741","54","Normal","S04_after300_deferred","strict_complete_explicit_replacement","flow","","",""
"347","35","447","Main/Level_Main_347","normal","极难","Peak","Peak","ExternalCandidatePlanned","nutation_longchain_candidate80_holefix_s3_v1_24_nutation_longchain_spine_v1_rect_c80hf3_06_d2_lock_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_24_nutation_longchain_spine_v1_rect_c80hf3_06_d2_lock_spine.asset","direct_polish_hard_22_direct_polish_hard_rect_core_burst_g6_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L347_direct_polish_hard_22_direct_polish_hard_rect_core.asset","nutation_longchain_strict60_campaign_gate","PressurePeak","mixed_chain","Peak","0.946","9","7","3","0.889","0.102","4","4","ActiveReplace","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","Generic LongChain strict candidate matched to missing Peak slot by stage difficulty, canvas, and chain-language fit.","True","nutation_longchain_candidate80_holefix_s3_v1_24_nutation_longchain_spine_v1_rect_c80hf3_06_d2_lock_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_24_nutation_longchain_spine_v1_rect_c80hf3_06_d2_lock_spine.asset","maze_long_chain","spine_chain","LongChainHardPeak","False","False","","26","35","71","4.41","26","12.13","0.565","holefix","189","170","208","27","45","71","861","26","12.13","","PeakExtreme","S04_after300_deferred","unchanged_from_v3_or_non_normal","","","",""
"348","35","448","Main/Level_Main_348","shape","困难","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_remaining_hard_r3_12_L348_donut_r3lock","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingHardR3/campaign500_shape_psg_remaining_hard_r3_12_L348_donut_r3lock.asset","r2_outer_strong_005_r2_006_a401_maskonlyb05_05_large_donut","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L348_r2_outer_strong_005_r2_006_a401_maskonlyb05_05_lar.asset","shape_psg_inventory","","","","0.985","9","13","5","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_remaining_hard_r3_12_L348_donut_r3lock","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingHardR3/campaign500_shape_psg_remaining_hard_r3_12_L348_donut_r3lock.asset","LockBuckle","","TraceKeeper","False","False","","","","145","4.63","","","","LockBuckle","133","120","146","43","43","145","1221","17","8.42","","Shape","S04_after300_deferred","unchanged_from_v3_or_non_normal","","","",""
"349","35","449","Main/Level_Main_349","normal","特别困难","Pressure","","OriginalNonTarget","direct_advanced_47_direct_advanced_veryhard_rect_sweep_g1_v06","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L349_direct_advanced_47_direct_advanced_veryhard_rect_s.asset","direct_advanced_47_direct_advanced_veryhard_rect_sweep_g1_v06","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L349_direct_advanced_47_direct_advanced_veryhard_rect_s.asset","","","","","","","","","","","","","KeepCurrent","","main","","","False","","","","","","False","False","","","","","","","","","","213","192","234","26","49","","","","","","Hard","S04_after300_deferred","unchanged_from_v3_or_non_normal","","","",""
"350","35","450","Main/Level_Main_350","normal","普通/恢复","Recovery","","OriginalNonTarget","direct_polish_clean_23_direct_polish_normal_rect_dual_zone_g2_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L350_direct_polish_clean_23_direct_polish_normal_rect_d.asset","direct_polish_clean_23_direct_polish_normal_rect_dual_zone_g2_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L350_direct_polish_clean_23_direct_polish_normal_rect_d.asset","","","","","","","","","","","","","KeepCurrent","","main","","","False","","","","","","False","False","","","","","","","","","","120","108","132","20","38","","","","","","Recovery","S04_after300_deferred","unchanged_from_v3_or_non_normal","","","",""
"351","36","451","Main/Level_Main_351_hole","hole","普通/恢复","HoleRescue","","OriginalNonTarget","hole_candidate_078_wide_30x26_lock","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L351_hole_candidate_078_wide_30x26_lock.asset","hole_candidate_078_wide_30x26_lock","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L351_hole_candidate_078_wide_30x26_lock.asset","","","","","","","","","","","","","KeepCurrent","","main","","","False","","","","","","False","False","","","","","","","","","","72","65","79","30","26","","","","","","HoleRescue","S04_after300_deferred","unchanged_from_v3_or_non_normal","","","",""
"352","36","452","Main/Level_Main_352","normal","特别困难","Pressure","Hard","ExternalCandidatePlanned","nutation_hub_mixed_v1_strict30_refill_04_s01_r04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_04_s01_r04.asset","direct_pure_topup_10_10_direct_polish_hard_pure_rect_lock_buckle_g11_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L352_direct_pure_topup_10_10_direct_polish_hard_pure_re.asset","hub_mixed_refill30_local9","PeelMid","rail_chain","Hard","0.962","9","9","4","0.847","0.236","8","5","ActiveReplace","HubMixedStrict30Refill",".worktrees/nutation-hub-maze-mixed","StyleLocal9ManualAllowed","User allowed a small number of Hub local9 rows; placed only on late Hard slots for style variety, not broad filler.","True","nutation_hub_mixed_v1_strict30_refill_04_s01_r04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_04_s01_r04.asset","hub_spoke","mixed_chain","HubHardStylePoint","True","False","","23","31","101","5.23","15","6.79","0.601","hub_spoke","154","139","169","23","43","101","686","15","6.79","","Hard","S04_after300_deferred","unchanged_from_v3_or_non_normal","","","",""
"353","36","453","Main/Level_Main_353","shape","困难","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_no_b_r4_15_L353_slimecrown_r4stair","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNoBR4/campaign500_shape_psg_no_b_r4_15_L353_slimecrown_r4stair.asset","r2_outer_strong_005_r2_006_a401_maskonlyb07_09_large_slimecrown","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L353_r2_outer_strong_005_r2_006_a401_maskonlyb07_09_lar.asset","shape_psg_inventory","","","","0.989","12","9","2","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","NeedsFinalManualReview","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_no_b_r4_15_L353_slimecrown_r4stair","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNoBR4/campaign500_shape_psg_no_b_r4_15_L353_slimecrown_r4stair.asset","StairPush","","ReviewCandidate","True","False","","","","125","6.84","","","","StairPush","128","115","141","44","43","125","1038","17","8.30","","Shape","S04_after300_deferred","unchanged_from_v3_or_non_normal","","","",""
"354","36","454","Main/Level_Main_354","normal","普通/恢复","Recovery","","OriginalNonTarget","direct_polish_clean_07_direct_polish_normal_rect_quasi_symmetry_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L354_direct_polish_clean_07_direct_polish_normal_rect_q.asset","direct_polish_clean_07_direct_polish_normal_rect_quasi_symmetry_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L354_direct_polish_clean_07_direct_polish_normal_rect_q.asset","","","","","","","","","","","","","KeepCurrent","","main","","","False","","","","","","False","False","","","","","","","","","","126","113","139","22","36","","","","","","Recovery","S04_after300_deferred","unchanged_from_v3_or_non_normal","","","",""
"355","36","455","Main/Level_Main_355","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","ReplacedRhythmV4FinalStrictComplete","campaign500_normal_full_v1_s27_s38_113_nutation_mixed_neutral_v1_rect_s36_o355_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_113_nutation_mixed_neutral_v1_rect_s36_o355_v01_neutralmixed_mixed_chain.asset","direct_normal_124_direct_normal_rect_dense_weave_g0_v13","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L355_direct_normal_124_direct_normal_rect_dense_weave_g.asset","NutationStrictAfter300Deferred","NeutralMixed","mixed_chain","NormalNeutral","0.983","9","5","4","0.898","0.13","6","6","ActiveReplace","Campaign500HardGateUntil0910After300Reclaimed","main","CampaignHardGateStrict","strict_complete_promotes_after300_deferred_candidate_to_active_replace","False","campaign500_normal_full_v1_s27_s38_113_nutation_mixed_neutral_v1_rect_s36_o355_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_113_nutation_mixed_neutral_v1_rect_s36_o355_v01_neutralmixed_mixed_chain.asset","NeutralMixed","mixed_chain","Normal","False","False","","22","40","69","","21","9.406","","","108","97","119","22","40","69","649","21","9.406","69","Normal","S04_after300_deferred","strict_complete_explicit_replacement","neutral","","",""
"356","36","456","Main/Level_Main_356","normal","特别困难","Pressure","","OriginalNonTarget","direct_pure_topup_10_09_direct_polish_hard_pure_rect_section_unlock_g11_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L356_direct_pure_topup_10_09_direct_polish_hard_pure_re.asset","direct_pure_topup_10_09_direct_polish_hard_pure_rect_section_unlock_g11_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L356_direct_pure_topup_10_09_direct_polish_hard_pure_re.asset","","","","","","","","","","","","","KeepCurrent","","main","","","False","","","","","","False","False","","","","","","","","","","148","133","163","22","41","","","","","","Hard","S04_after300_deferred","unchanged_from_v3_or_non_normal","","","",""
"357","36","457","Main/Level_Main_357","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","ReplacedRhythmV4FinalStrictComplete","campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain.asset","direct_normal_21_direct_normal_rect_outer_shell_g2_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L357_direct_normal_21_direct_normal_rect_outer_shell_g2.asset","NutationStrictAfter300Deferred","FlowPatch","patch_chain","NormalFlow","0.989","8","5","5","0.911","0.19","7","6","ActiveReplace","Campaign500HardGateUntil0910After300Reclaimed","main","CampaignHardGateStrict","strict_complete_promotes_after300_deferred_candidate_to_active_replace","False","campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain.asset","FlowPatch","patch_chain","Normal","False","False","","22","38","67","","21","9.746","","","103","93","113","22","38","67","653","21","9.746","67","Normal","S04_after300_deferred","strict_complete_explicit_replacement","flow","","",""
"358","36","458","Main/Level_Main_358","shape","困难","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_review_top3_rescue_125_L358_clover_sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_125_L358_clover_sweep.asset","r2_outer_strong_005_r2_006_a401_maskonlyb01_09_large_clover","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L358_r2_outer_strong_005_r2_006_a401_maskonlyb01_09_lar.asset","shape_psg_inventory","","","","0.989","11","11","2","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_review_top3_rescue_125_L358_clover_sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_125_L358_clover_sweep.asset","Sweep","","TraceKeeper","False","False","","","","143","6.2","","","","Sweep","131","118","144","40","47","143","1142","17","7.99","","Shape","S04_after300_deferred","unchanged_from_v3_or_non_normal","","","",""
"359","36","459","Main/Level_Main_359","normal","极难","Peak","Peak","ExternalCandidatePlanned","nutation_longchain_candidate80_holefix_v1_22_nutation_longchain_rail_v1_rect_c80hf_06_d2_lock_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_22_nutation_longchain_rail_v1_rect_c80hf_06_d2_lock_rail.asset","direct_diff120_126_direct_diff_veryhard_room_gate_key_door_g1_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L359_direct_diff120_126_direct_diff_veryhard_room_gate_.asset","nutation_longchain_strict60_campaign_gate","PressurePeak","mixed_chain","Peak","0.954","10","5","5","0.852","0.25","7","7","ActiveReplace","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","Generic LongChain strict candidate matched to missing Peak slot by stage difficulty, canvas, and chain-language fit.","True","nutation_longchain_candidate80_holefix_v1_22_nutation_longchain_rail_v1_rect_c80hf_06_d2_lock_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_22_nutation_longchain_rail_v1_rect_c80hf_06_d2_lock_rail.asset","maze_long_chain","rail_chain","LongChainHardPeak","False","False","","26","35","76","4.66","22","11.42","0.464","holefix","176","158","194","29","47","76","868","22","11.42","","PeakExtreme","S04_after300_deferred","unchanged_from_v3_or_non_normal","","","",""
"360","36","460","Main/Level_Main_360","normal","普通/恢复","Recovery","","OriginalNonTarget","direct_normal_140_direct_normal_rect_maze_long_chain_g1_v14","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L360_direct_normal_140_direct_normal_rect_maze_long_cha.asset","direct_normal_140_direct_normal_rect_maze_long_chain_g1_v14","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L360_direct_normal_140_direct_normal_rect_maze_long_cha.asset","","","","","","","","","","","","","KeepCurrent","","main","","","False","","","","","","False","False","","","","","","","","","","118","106","130","23","40","","","","","","Recovery","S04_after300_deferred","unchanged_from_v3_or_non_normal","","","",""
"361","37","461","Main/Level_Main_361","normal","普通/恢复","Recovery","","OriginalNonTarget","direct_polish_hard_17_direct_polish_hard_rect_sweep_g5_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L361_direct_polish_hard_17_direct_polish_hard_rect_swee.asset","direct_polish_hard_17_direct_polish_hard_rect_sweep_g5_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L361_direct_polish_hard_17_direct_polish_hard_rect_swee.asset","","","","","","","","","","","","","KeepCurrent","","main","","","False","","","","","","False","False","","","","","","","","","","177","159","195","23","47","","","","","","Recovery","S04_after300_deferred","unchanged_from_v3_or_non_normal","","","",""
"362","37","462","Main/Level_Main_362","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","ReplacedRhythmV4FinalStrictComplete","campaign500_normal_full_v1_s27_s38_121_nutation_mixed_neutral_v1_rect_s37_o362_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_121_nutation_mixed_neutral_v1_rect_s37_o362_v00_neutralmixed_mixed_chain.asset","direct_normal_topup_27_direct_normal_topup_rect_dense_weave_g9_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L362_direct_normal_topup_27_direct_normal_topup_rect_de.asset","NutationStrictAfter300Deferred","","","NormalNeutral","0.991","8","3","2","0.835","0.264","8","8","ActiveReplace","Campaign500HardGateUntil0910After300Reclaimed","main","CampaignHardGateStrict","strict_complete_promotes_after300_deferred_candidate_to_active_replace","False","campaign500_normal_full_v1_s27_s38_121_nutation_mixed_neutral_v1_rect_s37_o362_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_121_nutation_mixed_neutral_v1_rect_s37_o362_v00_neutralmixed_mixed_chain.asset","","","Normal","False","False","","23","35","72","","21","9.083","","","113","102","124","23","35","72","654","21","9.083","72","Normal","S04_after300_deferred","strict_complete_explicit_replacement","neutral","","",""
"363","37","463","Main/Level_Main_363","shape","普通/恢复","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_review_top3_rescue_129_L363_bell_core","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_129_L363_bell_core.asset","r2_outer_strong_005_r2_006_a401_maskonlyb09_26_large_bell","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L363_r2_outer_strong_005_r2_006_a401_maskonlyb09_26_lar.asset","shape_psg_inventory","","","","0.988","12","8","1","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","NeedsFinalManualReview","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_review_top3_rescue_129_L363_bell_core","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_129_L363_bell_core.asset","CoreBurst","","ReviewCandidate","True","False","","","","149","6.85","","","","CoreBurst","138","124","152","40","47","149","1193","17","8.01","","Shape","S04_after300_deferred","unchanged_from_v3_or_non_normal","","","",""
"364","37","464","Main/Level_Main_364","normal","普通/恢复","Normal","","OriginalNonTarget","direct_pure_topup_07_10_direct_polish_hard_pure_rect_outer_shell_g9_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L364_direct_pure_topup_07_10_direct_polish_hard_pure_re.asset","direct_pure_topup_07_10_direct_polish_hard_pure_rect_outer_shell_g9_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L364_direct_pure_topup_07_10_direct_polish_hard_pure_re.asset","","","","","","","","","","","","","KeepCurrent","","main","","","False","","","","","","False","False","","","","","","","","","","166","149","183","25","42","","","","","","Normal","S04_after300_deferred","unchanged_from_v3_or_non_normal","","","",""
"365","37","465","Main/Level_Main_365","normal","特别困难","Pressure","Peak","ReplacedRhythmV4FinalStrictComplete","c5nep_w11a_33_nutation_strict_mixed_hard_v1_rect_s37_o365_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_33_nutation_strict_mixed_hard_v1_rect_s37_o365_v02_strictmixedhard_mixed_chain.asset","direct_advanced_43_direct_advanced_veryhard_rect_core_burst_g1_v06","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L365_direct_advanced_43_direct_advanced_veryhard_rect_c.asset","NutationStrictAfter300Deferred","PressurePeak","mixed_chain","PeakExtreme","0.982","8","5","5","0.831","0.264","8","7","ActiveReplace","Campaign500HardGateUntil0910After300Reclaimed","main","CampaignHardGateStrict","strict_complete_promotes_after300_deferred_candidate_to_active_replace","False","c5nep_w11a_33_nutation_strict_mixed_hard_v1_rect_s37_o365_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_33_nutation_strict_mixed_hard_v1_rect_s37_o365_v02_strictmixedhard_mixed_chain.asset","PressurePeak","mixed_chain","Pressure","False","False","","28","45","85","","21","10.212","","","204","184","224","28","45","85","868","21","10.212","85","PeakExtreme","S04_after300_deferred","strict_complete_explicit_replacement","hardgate","","",""
"366","37","466","Main/Level_Main_366","normal","普通/恢复","Recovery","NormalB_NeutralOrPeelLight","ReplacedRhythmV4FinalStrictComplete","campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain.asset","direct_polish_clean_24_direct_polish_normal_rect_stair_push_g2_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L366_direct_polish_clean_24_direct_polish_normal_rect_s.asset","NutationStrictAfter300Deferred","NeutralMixed","mixed_chain","NormalNeutral","0.993","9","5","3","0.836","0.221","8","5","ActiveReplace","Campaign500HardGateUntil0910After300Reclaimed","main","CampaignHardGateStrict","strict_complete_promotes_after300_deferred_candidate_to_active_replace","False","campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain.asset","NeutralMixed","mixed_chain","Recovery","False","False","","21","41","78","","21","9.782","","","139","125","153","21","41","78","763","21","9.782","78","Recovery","S04_after300_deferred","strict_complete_explicit_replacement","neutral","","",""
"367","37","467","Main/Level_Main_367_hole","hole","普通/恢复","HoleRescue","","OriginalNonTarget","hole_highchain_010_hc_34x26_dual_a","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L367_hole_highchain_010_hc_34x26_dual_a.asset","hole_highchain_010_hc_34x26_dual_a","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L367_hole_highchain_010_hc_34x26_dual_a.asset","","","","","","","","","","","","","KeepCurrent","","main","","","False","","","","","","False","False","","","","","","","","","","85","77","93","34","26","","","","","","HoleRescue","S04_after300_deferred","unchanged_from_v3_or_non_normal","","","",""
