"order","category","replacementMark","finalStatus","width","height","area","aspect","chains","arrowTiles","coverage","isPatch","patchKind","productionLane","productionStyle","chainLanguage"
"439","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","24","32","768","0.75","79","759","0.988","True","NutationStrictAfter300Deferred","PeelLight","PeelLight","rail_chain"
"440","normal","KEPT_CURRENT","OriginalNonTarget","23","44","1012","0.523","161","988","0.976","False","","","",""
"441","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","36","792","0.611","83","782","0.987","True","NutationStrictGapfill","StrictMixedLocalBreak","StrictMixedLocalBreak","mixed_chain"
"442","hole","KEPT_CURRENT","OriginalNonTarget","34","28","952","1.214","81","853","0.896","False","","","",""
"443","shape","REPLACED","ShapeCandidatePlanned","39","31","1209","1.258","86","714","0.591","False","","","Sweep",""
"444","normal","KEPT_CURRENT","OriginalNonTarget","23","43","989","0.535","159","970","0.981","False","","","",""
"445","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","26","35","910","0.743","87","893","0.981","True","NutationStrictAfter300Deferred","PeelMid","PeelMid","rail_chain"
"446","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","30","660","0.733","75","650","0.985","True","NutationStrictGapfill","PeelLight","PeelLight","curve_chain"
"447","shape","REPLACED","ShapeCandidatePlanned","31","36","1116","0.861","95","791","0.709","False","","","LockBuckle",""
"448","normal","KEPT_CURRENT","OriginalNonTarget","24","48","1152","0.5","196","1128","0.979","False","","","",""
"449","normal","REPLACED","ExternalCandidatePlanned","27","36","972","0.75","86","928","0.955","False","","LongChainProbe","maze_long_chain","rail_chain"
"450","normal","KEPT_CURRENT","OriginalNonTarget","24","44","1056","0.545","165","1037","0.982","False","","","",""
"451","hole","KEPT_CURRENT","OriginalNonTarget","32","30","960","1.067","90","866","0.902","False","","","",""
"452","normal","KEPT_CURRENT","OriginalNonTarget","23","42","966","0.548","154","943","0.976","False","","","",""
"453","shape","REPLACED","ShapeCandidatePlanned","44","38","1672","1.158","111","917","0.548","False","","","Sweep",""
"454","normal","KEPT_CURRENT","OriginalNonTarget","34","48","1632","0.708","156","1609","0.986","False","","","",""
"455","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","24","32","768","0.75","82","757","0.986","True","NutationStrictAfter300Deferred","PeelLight","PeelLight","rail_chain"
"456","normal","REPLACED","ExternalCandidatePlanned","29","38","1102","0.763","92","1045","0.948","False","","LongChainProbe","maze_long_chain","patch_chain"
"457","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","30","660","0.733","74","648","0.982","True","NutationStrictAfter300Deferred","NeutralMixed","NeutralMixed","mixed_chain"
"458","shape","REPLACED","ShapeCandidatePlanned","38","38","1444","1","95","766","0.53","False","","","CoreBurst",""
"459","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","25","33","825","0.758","81","814","0.987","True","NutationStrictAfter300Deferred","PeelMid","PeelMid","curve_chain"
"460","normal","KEPT_CURRENT","OriginalNonTarget","25","39","975","0.641","156","953","0.977","False","","","",""
"461","normal","KEPT_CURRENT","OriginalNonTarget","25","41","1025","0.61","168","1010","0.985","False","","","",""
"462","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","21","40","840","0.525","83","829","0.987","True","NutationStrictGapfill","StrictMixedLocalBreak","StrictMixedLocalBreak","mixed_chain"
"463","shape","REPLACED","ShapeCandidatePlanned","29","38","1102","0.763","89","721","0.654","False","","","SectionUnlock",""
"464","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","30","660","0.733","65","648","0.982","True","NutationStrictAfter300Deferred","NeutralMixed","NeutralMixed","mixed_chain"
"465","normal","REPLACED","ExternalCandidatePlanned","29","38","1102","0.763","104","1044","0.947","False","","LongChainProbe","maze_long_chain","curve_chain"
"466","normal","KEPT_CURRENT","OriginalNonTarget","26","40","1040","0.65","166","1015","0.976","False","","","",""
"467","hole","KEPT_CURRENT","OriginalNonTarget","26","26","676","1","63","591","0.874","False","","","",""
"468","shape","REPLACED","ShapeCandidatePlanned","37","29","1073","1.276","81","732","0.682","False","","","Sweep",""
"469","normal","REPLACED","ExternalCandidatePlanned","28","36","1008","0.778","89","956","0.948","False","","PeelMid","maze_long_chain","curve_chain"
"470","normal","KEPT_CURRENT","OriginalNonTarget","25","38","950","0.658","149","920","0.968","False","","","",""
"471","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","20","27","540","0.741","46","536","0.993","True","NutationStrictAfter300Deferred","FlowCurve","FlowCurve","curve_chain"
"472","normal","KEPT_CURRENT","OriginalNonTarget","28","51","1428","0.549","231","1395","0.977","False","","","",""
"473","shape","REPLACED","ShapeCandidatePlanned","33","29","957","1.138","78","657","0.687","False","","","CoreBurst",""
"474","normal","KEPT_CURRENT","OriginalNonTarget","26","44","1144","0.591","178","1124","0.983","False","","","",""
"475","normal","REPLACED","ExternalCandidatePlanned","27","36","972","0.75","73","922","0.949","False","","PeelMid","maze_long_chain","rail_chain"
"476","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","30","660","0.733","77","650","0.985","True","NutationStrictAfter300Deferred","PeelLight","PeelLight","rail_chain"
"477","hole","KEPT_CURRENT","OriginalNonTarget","24","28","672","0.857","60","588","0.875","False","","","",""
"478","shape","REPLACED","ShapeCandidatePlanned","38","42","1596","0.905","96","780","0.489","False","","","SectionUnlock",""
"479","normal","REPLACED","ExternalCandidatePlanned","28","38","1064","0.737","93","1007","0.946","False","","LongChainProbe","maze_long_chain","rail_chain"
"480","normal","KEPT_CURRENT","OriginalNonTarget","21","43","903","0.488","141","884","0.979","False","","","",""
"481","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","30","660","0.733","71","656","0.994","True","NutationStrictAfter300Deferred","NeutralMixed","NeutralMixed","mixed_chain"
"482","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","24","32","768","0.75","79","759","0.988","True","NutationStrictAfter300Deferred","PeelLight","PeelLight","curve_chain"
"483","shape","REPLACED","ShapeCandidatePlanned","33","31","1023","1.065","81","643","0.629","False","","","Sweep",""
"484","hole","KEPT_CURRENT","OriginalNonTarget","24","28","672","0.857","62","554","0.824","False","","","",""
"485","normal","REPLACED","ExternalCandidatePlanned","31","39","1209","0.795","121","1155","0.955","False","","LongChainProbe","maze_long_chain","patch_chain"
"486","normal","KEPT_CURRENT","OriginalNonTarget","26","50","1300","0.52","213","1262","0.971","False","","","",""
"487","shape","REPLACED","ShapeCandidatePlanned","38","38","1444","1","97","798","0.553","False","","","DenseWeave",""
"488","normal","KEPT_CURRENT","OriginalNonTarget","25","49","1225","0.51","195","1202","0.981","False","","","",""
"489","normal","REPLACED","ExternalCandidatePlanned","24","32","768","0.75","76","720","0.938","False","","PeelMid","maze_long_chain","rail_chain"
"490","normal","KEPT_CURRENT","OriginalNonTarget","25","49","1225","0.51","199","1198","0.978","False","","","",""
"491","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","26","35","910","0.743","86","888","0.976","True","NutationStrictAfter300Deferred","PeelMid","PeelMid","curve_chain"
"492","hole","KEPT_CURRENT","OriginalNonTarget","32","30","960","1.067","91","872","0.908","False","","","",""
"493","shape","REPLACED","ShapeCandidatePlanned","36","38","1368","0.947","90","759","0.555","False","","","CoreBurst",""
"494","normal","KEPT_CURRENT","OriginalNonTarget","26","45","1170","0.578","192","1138","0.973","False","","","",""
"495","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","30","660","0.733","71","653","0.989","True","NutationStrictAfter300Deferred","NeutralMixed","NeutralMixed","mixed_chain"
"496","normal","REPLACED","ReplacedRhythmV4FinalStrictComplete","22","30","660","0.733","71","649","0.983","True","NutationStrictAfter300Deferred","PeelLight","PeelLight","rail_chain"
"497","normal","KEPT_CURRENT","OriginalNonTarget","23","40","920","0.575","151","901","0.979","False","","","",""
"498","shape","REPLACED","ShapeCandidatePlanned","42","34","1428","1.235","69","578","0.405","False","","","CoreBurst",""
"499","normal","KEPT_CURRENT","OriginalNonTarget","25","48","1200","0.521","159","1167","0.972","False","","","",""
"500","normal","REPLACED","ExternalCandidatePlanned","31","39","1209","0.795","108","1155","0.955","False","","LongChainProbe","maze_long_chain","curve_chain"
