order,bucket,bucketRank,type,score,levelId,path,packs,width,height,chains,coverage,outer1,openers,avgChoices,unlockBursts,dependencyBlocks,families,qualityFlags,portableSolved,portableScore,portableQuality
255,normal,196,dense,147.5,direct_normal_151_direct_normal_rect_outer_shell_g3_v16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_151_direct_normal_rect_outer_shell_g3_v16.asset,direct_normal_candidates,23,37,110,0.986,1.000,23,8.17,23,525,asset:direct_normal_151_direct_normal_,ok,True,191.9,ok
256,hard,38,section,161.6,direct_polish_hard_07_direct_polish_hard_rect_quasi_symmetry_g4_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishHardCandidates/direct_polish_hard_07_direct_polish_hard_rect_quasi_symmetry_g4_v01.asset,direct_polish_hard_candidates,24,42,159,0.978,1.000,13,7.09,35,964,direct_polish:quasi_symmetry:g4,ok,True,197.1,ok
257,normal,120,lock,159.6,direct_normal_153_direct_normal_rect_lock_buckle_g3_v16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_153_direct_normal_rect_lock_buckle_g3_v16.asset,direct_normal_candidates,23,36,107,0.977,0.982,20,7.63,19,446,direct_normal:lock_buckle:g3,ok,True,190.0,ok
258,normal,64,shape_ocean,301,r2_outer_strong_005_r2_006_a401_procmask_64_onion_maskproceduralvertical_28x44-mainoceanseaweedtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_64_onion_maskproceduralvertical_28x44-mainoceanseaweedtall_20260611_111225.asset,shape_final_with_supplement,28,44,110,0.983,,15,12.9,,12.5,shape:Ocean:shoreline:object:procmask_64_onion_maskproceduralvertical_28x44-mainoceanseaweedtall_20260611_111225,rel:Novelty:ShapeVisual:Shape:Ocean:shoreline:object:main,True,301,Normal
259,hard,20,sweep,164.4,direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09.asset,direct_pure_topup_slice10_candidates,21,38,126,0.974,0.991,20,10.44,30,567,asset:direct_pure_topup_10_18_direct_p,ok,True,192.4,ok
260,normal,50,section,173.0,direct_normal_78_direct_normal_rect_stair_push_g1_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_78_direct_normal_rect_stair_push_g1_v08.asset,direct_normal_candidates,21,34,101,0.990,1.000,15,7.40,22,461,direct_normal:stair_push:g1,ok,True,191.2,ok
261,hard,22,sweep,163.8,direct_normal_75_direct_normal_rect_sweep_g1_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_75_direct_normal_rect_sweep_g1_v08.asset,direct_normal_candidates,23,40,120,0.979,0.975,20,7.76,27,573,direct_normal:sweep:g1,ok,True,191.4,ok
262,normal,132,dense,158.1,direct_pure_topup_05_20_direct_normal_pure_rect_dense_weave_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_20_direct_normal_pure_rect_dense_weave_g11_v06.asset,direct_pure_topup_slice05_candidates,21,37,101,0.978,1.000,17,7.81,17,462,direct_normal:dense_weave:g11,ok,True,190.2,ok
263,normal,146,shape_toolui,295,r2_outer_strong_005_r2_006_a401_procmask_supp_13_long_maskfinalsupplement_30x42-mainuicameratall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_13_long_maskfinalsupplement_30x42-mainuicameratall_20260611_124359.asset,shape_final_with_supplement,30,42,115,0.983,,16,13.76,,12.6,shape:ToolUI:digital-tools:object:procmask_supp_13_long_maskfinalsupplement_30x42-mainuicameratall_20260611_124359,rel:Normal:ShapeNormal:Shape:ToolUI:digital-tools:object:main,True,295,Normal
264,hard,35,lock,162.0,direct_pure_topup_10_12_direct_polish_hard_pure_rect_core_burst_g11_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_12_direct_polish_hard_pure_rect_core_burst_g11_v09.asset,direct_pure_topup_slice10_candidates,25,40,157,0.978,0.984,15,10.23,38,893,direct_polish:core_burst:g11,ok,True,196.1,ok
265,normal,108,maze,161.7,direct_normal_70_direct_normal_rect_maze_long_chain_g0_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_70_direct_normal_rect_maze_long_chain_g0_v07.asset,direct_normal_candidates,20,39,104,0.983,1.000,21,7.34,20,506,direct_normal:maze_long_chain:g0,ok,True,191.0,ok
266,refresh,71,section,165.5,direct_pure_topup_04_10_direct_normal_pure_rect_section_unlock_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_10_direct_normal_pure_rect_section_unlock_g7_v02.asset,direct_pure_topup_slice04_candidates,22,35,97,0.978,1.000,10,6.52,21,400,direct_normal:section_unlock:g7,ok,True,189.7,ok
267,normal,21,hole_rescue,253,hole_candidate_025_std_22x28_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_025_std_22x28_section.asset,hole_combined_20260613,22,28,61,0.98,0.984,7,0.115,11,0.19,hole_combined:SectionUnlock:std_22x28_section,hole10_v4:SectionUnlock:keep,True,253,hole10_v4_keep
268,shape,83,shape_magic,313,r2_outer_strong_005_r2_006_a401_procmask_87_onion_maskproceduralvertical_34x50-transitionmagicbroomtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_87_onion_maskproceduralvertical_34x50-transitionmagicbroomtall_20260611_111404.asset,shape_final_with_supplement,34,50,118,0.508,,17,14.62,,0.186,shape:Magic:SpecialShape,NoRisk|yellow_replacement:StartFakeWide|BottleneckHeavy,True,313,Normal
269,very_hard,37,lock,120.2,direct_advanced_17_direct_advanced_veryhard_rect_lock_buckle_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_17_direct_advanced_veryhard_rect_lock_buckle_g2_v03.asset,direct_advanced_candidates,26,50,203,0.977,0.986,21,13.53,42,1072,direct_advanced:lock_buckle:g2,ok,True,201.7,ok
270,normal,139,section,157.4,direct_normal_147_direct_normal_rect_dual_zone_g2_v15,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_147_direct_normal_rect_dual_zone_g2_v15.asset,direct_normal_candidates,22,39,114,0.983,0.992,21,8.98,26,539,direct_normal:dual_zone:g2,ok,True,191.7,ok
271,normal,195,maze,147.6,direct_pure_topup_05_16_direct_normal_pure_rect_maze_long_chain_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_16_direct_normal_pure_rect_maze_long_chain_g10_v05.asset,direct_pure_topup_slice05_candidates,22,32,114,0.984,0.990,18,9.52,25,418,direct_normal:maze_long_chain:g10,ok,True,191.8,ok
272,normal,94,lock,164.2,direct_normal_96_direct_normal_rect_core_burst_g3_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_96_direct_normal_rect_core_burst_g3_v10.asset,direct_normal_candidates,23,39,111,0.980,0.992,21,7.16,21,513,direct_normal:core_burst:g3,ok,True,191.1,ok
273,normal,147,shape_toolui,305,r2_outer_strong_005_r2_006_a401_procmask_supp_14_onion_maskfinalsupplement_30x42-mainuichatbubbletall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_14_onion_maskfinalsupplement_30x42-mainuichatbubbletall_20260611_124400.asset,shape_final_with_supplement,30,42,114,0.976,,16,13.76,,12.5,shape:ToolUI:digital-tools:object:procmask_supp_14_onion_maskfinalsupplement_30x42-mainuichatbubbletall_20260611_124400,rel:Novelty:ShapeVisual:Shape:ToolUI:digital-tools:object:main,True,305,Normal
274,normal,49,section,173.0,direct_normal_19_direct_normal_rect_quasi_symmetry_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_19_direct_normal_rect_quasi_symmetry_g1_v02.asset,direct_normal_candidates,21,39,110,0.979,0.974,16,6.66,25,632,direct_normal:quasi_symmetry:g1,ok,True,190.2,ok
275,normal,208,dense,142.4,direct_normal_04_direct_normal_rect_dense_weave_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_04_direct_normal_rect_dense_weave_g0_v01.asset,direct_normal_candidates,22,36,106,0.980,0.982,18,8.19,20,484,direct_normal:dense_weave:g0,ok,True,190.1,ok
276,very_hard,14,section,141.0,direct_advanced_20_direct_advanced_veryhard_rect_dual_zone_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_20_direct_advanced_veryhard_rect_dual_zone_g2_v03.asset,direct_advanced_candidates,27,45,201,0.977,0.986,17,8.98,37,1194,direct_advanced:dual_zone:g2,ok,True,201.4,ok
277,normal,89,hole_rescue,253,hole_topup_030_topup_std_26x26_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_030_topup_std_26x26_dual.asset,hole_combined_20260613,26,26,61,0.97,0.938,4,0.066,20,0.269,hole_combined:DualZone:topup_std_26x26_dual,hole10_v4:DualZone:keep,True,253,hole10_v4_keep
278,normal,96,shape_ocean,307,r2_outer_strong_005_r2_006_a401_procmask_98_long_maskproceduralvertical_32x44-maindistinctoctopustall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_98_long_maskproceduralvertical_32x44-maindistinctoctopustall_20260611_111458.asset,shape_final_with_supplement,32,44,119,0.989,,17,14.62,,12.6,shape:Ocean:sea-creature:creature:procmask_98_long_maskproceduralvertical_32x44-maindistinctoctopustall_20260611_111458,rel:VeryHard:ShapePeak:Shape:Ocean:sea-creature:creature:main,True,307,Normal
279,normal,162,section,154.1,direct_normal_topup_14_direct_normal_topup_rect_stair_push_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_14_direct_normal_topup_rect_stair_push_g7_v02.asset,direct_normal_topup_candidates,20,39,107,0.982,0.991,19,6.90,20,578,direct_normal:stair_push:g7,ok,True,190.8,ok
280,normal,130,lock,158.2,direct_normal_113_direct_normal_rect_lock_buckle_g5_v12,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_113_direct_normal_rect_lock_buckle_g5_v12.asset,direct_normal_candidates,23,35,107,0.983,0.973,17,7.43,21,459,direct_normal:lock_buckle:g5,ok,True,190.1,ok
281,normal,95,sweep,164.1,direct_normal_95_direct_normal_rect_sweep_g3_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_95_direct_normal_rect_sweep_g3_v10.asset,direct_normal_candidates,21,37,107,0.977,0.973,16,9.39,18,487,direct_normal:sweep:g3,ok,True,189.5,ok
282,normal,138,dense,157.5,direct_normal_114_direct_normal_rect_dense_weave_g5_v12,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_114_direct_normal_rect_dense_weave_g5_v12.asset,direct_normal_candidates,21,38,107,0.982,0.991,17,8.88,23,435,direct_normal:dense_weave:g5,ok,True,190.9,ok
283,normal,143,shape_toolui,303,r2_outer_strong_005_r2_006_a401_procmask_supp_10_long_maskfinalsupplement_28x42-maintoolbatterytall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_10_long_maskfinalsupplement_28x42-maintoolbatterytall_20260611_124334.asset,shape_final_with_supplement,28,42,118,0.984,,17,14.62,,12.4,shape:ToolUI:digital-tools:object:procmask_supp_10_long_maskfinalsupplement_28x42-maintoolbatterytall_20260611_124334,rel:Hard:ShapePressure:Shape:ToolUI:digital-tools:object:main,True,303,Normal
284,hard,37,lock,161.7,direct_pure_topup_07_24_direct_polish_hard_pure_rect_core_burst_g11_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_24_direct_polish_hard_pure_rect_core_burst_g11_v03.asset,direct_pure_topup_slice07_candidates,23,44,167,0.987,0.992,20,9.71,36,878,direct_polish:core_burst:g11,ok,True,198.5,ok
285,normal,87,hole_rescue,253,hole_topup_025_topup_std_24x28_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_025_topup_std_24x28_maze.asset,hole_combined_20260613,24,28,62,0.978,0.964,12,0.194,15,0.248,hole_combined:MazeLongChain:topup_std_24x28_maze,hole10_v4:MazeLongChain:keep,True,253,hole10_v4_keep
286,normal,90,section,165.2,direct_normal_topup_39_direct_normal_topup_rect_quasi_symmetry_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_39_direct_normal_topup_rect_quasi_symmetry_g10_v05.asset,direct_normal_topup_candidates,22,38,107,0.984,0.991,17,7.30,27,475,direct_normal:quasi_symmetry:g10,ok,True,191.1,ok
287,extreme,3,lock,115.4,direct_advanced_57_direct_advanced_extreme_rect_lock_buckle_g5_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_57_direct_advanced_extreme_rect_lock_buckle_g5_v02.asset,direct_advanced_candidates,31,56,280,0.981,0.982,26,11.43,51,2122,direct_advanced:lock_buckle:g5,ok,True,211.1,ok
288,normal,68,shape_ocean,314,r2_outer_strong_005_r2_006_a401_procmask_69_onion_maskproceduralvertical_34x48-transitionoceandivingmasktall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_69_onion_maskproceduralvertical_34x48-transitionoceandivingmasktall_20260611_111253.asset,shape_final_with_supplement,34,48,118,0.972,,17,14.62,,12.4,shape:Ocean:diving-gear:equipment:procmask_69_onion_maskproceduralvertical_34x48-transitionoceandivingmasktall_20260611_111253,rel:Normal:ShapeNormal:Shape:Ocean:diving-gear:equipment:transition,True,314,Normal
289,normal,125,section,159.2,direct_normal_38_direct_normal_rect_stair_push_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_38_direct_normal_rect_stair_push_g3_v04.asset,direct_normal_candidates,21,40,115,0.976,0.983,16,7.74,25,627,direct_normal:stair_push:g3,ok,True,190.9,ok
290,normal,0,section,141.4,direct_normal_82_direct_normal_rect_section_unlock_g2_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_82_direct_normal_rect_section_unlock_g2_v09.asset,direct_normal_candidates,22,39,114,0.978,0.983,17,12.00,22,493,direct_normal:section_unlock:g2,ok,True,190.9,ok
291,normal,160,dense,154.3,direct_normal_topup_43_direct_normal_topup_rect_dense_weave_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_43_direct_normal_topup_rect_dense_weave_g11_v06.asset,direct_normal_topup_candidates,21,37,106,0.985,0.982,21,9.74,20,498,direct_normal:dense_weave:g11,ok,True,190.5,ok
292,normal,33,hole_rescue,253,hole_candidate_040_std_26x26_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_040_std_26x26_section.asset,hole_combined_20260613,26,26,62,0.983,0.984,11,0.177,18,0.266,hole_combined:SectionUnlock:std_26x26_section,hole10_v4:SectionUnlock:keep,True,253,hole10_v4_keep
293,normal,118,shape_landmark,314,r2_outer_strong_005_r2_006_a401_procmask_125_onion_maskproceduralvertical_34x50-transitionwidelandmark01tall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_125_onion_maskproceduralvertical_34x50-transitionwidelandmark01tall_20260611_111830.asset,shape_final_with_supplement,34,50,119,0.976,,17,14.62,,12.6,shape:Landmark:architecture:landmark:procmask_125_onion_maskproceduralvertical_34x50-transitionwidelandmark01tall_20260611_111830,rel:Novelty:ShapeVisual:Shape:Landmark:architecture:landmark:transition,True,314,Normal
294,normal,191,sweep,149.3,direct_normal_155_direct_normal_rect_sweep_g3_v16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_155_direct_normal_rect_sweep_g3_v16.asset,direct_normal_candidates,23,36,110,0.983,0.982,16,9.12,22,504,direct_normal:sweep:g3,ok,True,190.9,ok
295,normal,59,section,170.5,direct_normal_topup_53_direct_normal_topup_rect_dual_zone_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_53_direct_normal_topup_rect_dual_zone_g6_v07.asset,direct_normal_topup_candidates,22,37,105,0.989,1.000,15,6.93,25,454,direct_normal:dual_zone:g6,ok,True,191.6,ok
296,hard,25,lock,163.3,direct_pure_topup_10_02_direct_polish_hard_pure_rect_core_burst_g10_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_02_direct_polish_hard_pure_rect_core_burst_g10_v08.asset,direct_pure_topup_slice10_candidates,23,44,163,0.985,1.000,13,7.93,35,896,direct_polish:core_burst:g10,ok,True,198.2,ok
297,normal,186,section,150.2,direct_normal_128_direct_normal_rect_stair_push_g0_v13,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_128_direct_normal_rect_stair_push_g0_v13.asset,direct_normal_candidates,22,38,114,0.974,0.966,16,8.97,27,441,direct_normal:stair_push:g0,ok,True,189.8,ok
298,shape,86,shape_magic,314,r2_outer_strong_005_r2_006_a401_procmask_43_long_maskproceduralvertical_30x42-maintreasurechesttall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_43_long_maskproceduralvertical_30x42-maintreasurechesttall_20260611_110904.asset,shape_final_with_supplement,30,42,122,0.772,,17,14.62,,0.194,shape:Magic:SpecialShape,NoRisk|yellow_replacement:BottleneckHeavy|GrindyLowClear,True,314,Normal
299,extreme,4,lock,112.2,direct_advanced_51_direct_advanced_extreme_rect_core_burst_g4_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_51_direct_advanced_extreme_rect_core_burst_g4_v01.asset,direct_advanced_candidates,32,60,318,0.984,1.000,22,13.54,71,2470,direct_advanced:core_burst:g4,ok,True,213.6,ok
300,normal,136,maze,157.8,direct_normal_110_direct_normal_rect_maze_long_chain_g4_v11,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_110_direct_normal_rect_maze_long_chain_g4_v11.asset,direct_normal_candidates,20,41,110,0.983,0.966,19,8.69,25,503,direct_normal:maze_long_chain:g4,ok,True,190.1,ok
301,normal,91,hole_rescue,256,hole_topup_033_topup_std_26x28_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_033_topup_std_26x28_dual.asset,hole_combined_20260613,26,28,65,0.979,0.97,11,0.169,15,0.225,hole_combined:DualZone:topup_std_26x28_dual,hole10_v4:DualZone:keep,True,256,hole10_v4_keep
302,normal,44,dense,174.3,direct_normal_topup_51_direct_normal_topup_rect_dense_weave_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_51_direct_normal_topup_rect_dense_weave_g6_v07.asset,direct_normal_topup_candidates,20,39,102,0.991,0.991,16,7.14,20,412,direct_normal:dense_weave:g6,ok,True,191.0,ok
303,shape,127,shape_landmark,325,r2_outer_strong_005_r2_006_a401_procmask_31_onion_maskproceduralvertical_30x44-mainleaningtowertall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_31_onion_maskproceduralvertical_30x44-mainleaningtowertall_20260611_110752.asset,shape_final_with_supplement,30,44,120,0.613,,17,14.62,,0.19,shape:Landmark:SpecialShape,NoRisk|yellow_replacement:GrindyLowClear,True,325,Normal
304,hard,51,section,160.0,direct_normal_138_direct_normal_rect_stair_push_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_138_direct_normal_rect_stair_push_g1_v14.asset,direct_normal_candidates,23,40,122,0.985,0.984,25,9.33,24,598,direct_normal:stair_push:g1,ok,True,192.5,ok
305,very_hard,13,lock,141.2,direct_advanced_19_direct_advanced_veryhard_rect_core_burst_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_19_direct_advanced_veryhard_rect_core_burst_g2_v03.asset,direct_advanced_candidates,25,44,181,0.980,0.993,17,9.82,39,1197,direct_advanced:core_burst:g2,ok,True,199.6,ok
306,normal,69,maze,167.9,direct_pure_normal_extra_01_24_direct_normal_pure_extra_rect_maze_long_chain_g17_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_24_direct_normal_pure_extra_rect_maze_long_chain_g17_v03.asset,direct_pure_normal_extra_slice01_candidates,21,36,108,0.988,0.991,20,7.52,26,535,direct_normal:maze_long_chain:g17,ok,True,191.5,ok
307,normal,71,shape_ocean,322,r2_outer_strong_005_r2_006_a401_procmask_72_onion_maskproceduralvertical_36x48-transitionoceanseaturtletall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_72_onion_maskproceduralvertical_36x48-transitionoceanseaturtletall_20260611_111302.asset,shape_final_with_supplement,36,48,122,0.976,,17,14.62,,13,shape:Ocean:sea-creature:creature:procmask_72_onion_maskproceduralvertical_36x48-transitionoceanseaturtletall_20260611_111302,rel:Novelty:ShapeVisual:Shape:Ocean:sea-creature:creature:transition,True,322,Normal
308,normal,64,section,168.5,direct_pure_topup_05_15_direct_normal_pure_rect_dual_zone_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_15_direct_normal_pure_rect_dual_zone_g10_v05.asset,direct_pure_topup_slice05_candidates,21,37,106,0.987,1.000,12,9.04,26,479,direct_normal:dual_zone:g10,ok,True,191.6,ok
309,very_hard,0,lock,112.3,direct_advanced_41_direct_advanced_veryhard_rect_lock_buckle_g1_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_41_direct_advanced_veryhard_rect_lock_buckle_g1_v06.asset,direct_advanced_candidates,24,51,200,0.981,1.000,21,15.39,49,1175,direct_advanced:lock_buckle:g1,ok,True,202.3,ok
310,normal,173,section,152.9,direct_normal_58_direct_normal_rect_stair_push_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_58_direct_normal_rect_stair_push_g5_v06.asset,direct_normal_candidates,23,37,111,0.985,0.983,19,6.87,23,604,direct_normal:stair_push:g5,ok,True,191.2,ok
311,normal,57,maze,170.9,direct_pure_topup_06_16_direct_normal_pure_rect_maze_long_chain_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_16_direct_normal_pure_rect_maze_long_chain_g7_v08.asset,direct_pure_topup_slice06_candidates,21,35,103,0.990,1.000,16,8.71,23,471,direct_normal:maze_long_chain:g7,ok,True,191.5,ok
312,hard,17,lock,165.4,direct_pure_topup_09_22_direct_polish_hard_pure_rect_outer_shell_g9_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_22_direct_polish_hard_pure_rect_outer_shell_g9_v07.asset,direct_pure_topup_slice09_candidates,22,39,134,0.976,0.983,20,9.34,26,678,asset:direct_pure_topup_09_22_direct_p,ok,True,193.1,ok
313,normal,139,shape_music,330,r2_outer_strong_005_r2_006_a401_procmask_supp_06_onion_maskfinalsupplement_30x42-mainmusicvinylrecordtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_06_onion_maskfinalsupplement_30x42-mainmusicvinylrecordtall_20260611_124312.asset,shape_final_with_supplement,30,42,121,0.979,,17,14.62,,12.8,shape:Music:stage:object:procmask_supp_06_onion_maskfinalsupplement_30x42-mainmusicvinylrecordtall_20260611_124312,rel:Hard:ShapePressure:Shape:Music:stage:object:main,True,330,Normal
314,normal,178,dense,152.2,direct_normal_101_direct_normal_rect_outer_shell_g4_v11,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_101_direct_normal_rect_outer_shell_g4_v11.asset,direct_normal_candidates,22,41,112,0.983,0.992,22,7.91,23,528,asset:direct_normal_101_direct_normal_,ok,True,191.6,ok
315,normal,194,sweep,147.7,direct_normal_topup_80_direct_normal_topup_rect_sweep_g9_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_80_direct_normal_topup_rect_sweep_g9_v10.asset,direct_normal_topup_candidates,22,41,116,0.983,0.984,17,8.53,22,675,direct_normal:sweep:g9,ok,True,191.7,ok
316,extreme,2,section,119.0,direct_advanced_60_direct_advanced_extreme_rect_dual_zone_g5_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_60_direct_advanced_extreme_rect_dual_zone_g5_v02.asset,direct_advanced_candidates,34,58,318,0.976,0.989,26,9.07,77,2770,direct_advanced:dual_zone:g5,ok,True,212.3,ok
317,normal,39,hole_rescue,256,hole_candidate_053_std_28x28_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_053_std_28x28_maze.asset,hole_combined_20260613,28,28,65,0.975,0.962,13,0.2,10,0.222,hole_combined:MazeLongChain:std_28x28_maze,hole10_v4:MazeLongChain:keep,True,256,hole10_v4_keep
318,normal,38,shape_character,333,r2_outer_strong_005_r2_006_a401_procmask_38_onion_maskproceduralvertical_30x42-mainbunnytall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_38_onion_maskproceduralvertical_30x42-mainbunnytall_20260611_110835.asset,shape_final_with_supplement,30,42,126,0.983,,18,15.48,,13,shape:Character:animals-mascots:character:procmask_38_onion_maskproceduralvertical_30x42-mainbunnytall_20260611_110835,rel:VeryHard:ShapePeak:Shape:Character:animals-mascots:character:main,True,333,Normal
319,normal,199,lock,145.7,direct_normal_143_direct_normal_rect_lock_buckle_g2_v15,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_143_direct_normal_rect_lock_buckle_g2_v15.asset,direct_normal_candidates,22,41,115,0.973,0.967,24,9.64,23,576,direct_normal:lock_buckle:g2,ok,True,189.9,ok
320,normal,104,section,162.4,direct_normal_18_direct_normal_rect_stair_push_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_18_direct_normal_rect_stair_push_g1_v02.asset,direct_normal_candidates,23,36,114,0.983,0.991,17,8.20,29,556,direct_normal:stair_push:g1,ok,True,191.8,ok
321,normal,106,maze,162.1,direct_normal_100_direct_normal_rect_maze_long_chain_g3_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_100_direct_normal_rect_maze_long_chain_g3_v10.asset,direct_normal_candidates,23,38,108,0.982,0.992,15,10.28,23,441,direct_normal:maze_long_chain:g3,ok,True,190.9,ok
322,normal,81,dense,166.0,direct_normal_51_direct_normal_rect_outer_shell_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_51_direct_normal_rect_outer_shell_g5_v06.asset,direct_normal_candidates,21,37,101,0.978,0.991,15,7.49,24,470,asset:direct_normal_51_direct_normal_r,ok,True,189.7,ok
