order,stage,currentDifficulty,proposedDifficulty,difficultyDelta,reviewWarnings,evidenceScore,chainPctInStage,dependencyPctInStage,openerPressure,choicePressure,levelType,type,slotRole,relativeDifficulty,chains,score,openers,avgChoices,dependencyBlocks,validationMatched,validationStatus,validationFlags,shapeId,levelId,proposalReason,sourceAsset
255,251-300,1,1,0,,0.386,0.48,0.7,0.0,0.56,普通,dense,Recovery,Recovery,110,147.5,23.0,8.17,525.0,1,Green,None,,direct_normal_151_direct_normal_rect_outer_shell_g3_v16,slot=Recovery,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_151_direct_normal_rect_outer_shell_g3_v16.asset
256,251-300,3,3,0,,0.954,0.88,0.92,0.92,0.78,普通,section,Peak,VeryHard,159,161.6,13.0,7.09,964.0,1,Green,None,,direct_polish_hard_07_direct_polish_hard_rect_quasi_symmetry_g4_v01,rhythm=VeryHard;slot=Peak;stage_chain_top25;dependency_top10;few_openers_relative;low_choice_pressure,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishHardCandidates/direct_polish_hard_07_direct_polish_hard_rect_quasi_symmetry_g4_v01.asset
257,251-300,1,1,0,,0.368,0.38,0.42,0.1,0.66,普通,lock,Normal,Normal,107,159.6,20.0,7.63,446.0,1,Green,None,,direct_normal_153_direct_normal_rect_lock_buckle_g3_v16,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_153_direct_normal_rect_lock_buckle_g3_v16.asset
258,251-300,1,1,0,,0.374,0.48,0.24,0.7,0.22,普通,shape_ocean,Shape,Novelty,110,301.0,15.0,12.9,12.5,1,Green,None,shape_main_ocean_seaweed_tall,r2_outer_strong_005_r2_006_a401_procmask_64_onion_maskproceduralvertical_28x44-mainoceanseaweedtall,slot=Shape;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_64_onion_maskproceduralvertical_28x44-mainoceanseaweedtall_20260611_111225.asset
259,251-300,1,2,1,,0.549,0.82,0.74,0.32,0.28,普通,sweep,Recovery,Recovery,126,164.4,20.0,10.44,567.0,1,Green,None,,direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09,slot=Recovery;stage_chain_top25,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09.asset
260,251-300,1,1,0,NeedRevalidate,0.323,0.18,0.48,0.4,0.7,普通,section,Normal,Normal,101,173.0,15.0,7.4,461.0,0,Missing,Missing,,direct_normal_78_direct_normal_rect_stair_push_g1_v08,needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_78_direct_normal_rect_stair_push_g1_v08.asset
261,251-300,1,2,1,NeedRevalidate,0.549,0.78,0.76,0.24,0.62,普通,sweep,Recovery,Recovery,120,163.8,20.0,7.76,573.0,0,Missing,Missing,,direct_normal_75_direct_normal_rect_sweep_g1_v08,slot=Recovery;stage_chain_top25;dependency_top25;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_75_direct_normal_rect_sweep_g1_v08.asset
262,251-300,1,1,0,,0.311,0.18,0.5,0.22,0.6,普通,dense,Normal,Normal,101,158.1,17.0,7.81,462.0,1,Green,None,,direct_pure_topup_05_20_direct_normal_pure_rect_dense_weave_g11_v06,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_20_direct_normal_pure_rect_dense_weave_g11_v06.asset
263,251-300,1,2,1,,0.458,0.66,0.3,0.66,0.12,普通,shape_toolui,Shape,Novelty,115,295.0,16.0,13.76,12.6,1,Green,None,shape_main_ui_camera_tall,r2_outer_strong_005_r2_006_a401_procmask_supp_13_long_maskfinalsupplement_30x42-mainuicameratall,slot=Shape;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_13_long_maskfinalsupplement_30x42-mainuicameratall_20260611_124359.asset
264,251-300,2,3,1,,0.794,0.86,0.88,0.86,0.3,普通,lock,Pressure,Hard,157,162.0,15.0,10.23,893.0,1,Green,None,,direct_pure_topup_10_12_direct_polish_hard_pure_rect_core_burst_g11_v09,rhythm=Hard;slot=Pressure;stage_chain_top25;dependency_top25;few_openers_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_12_direct_polish_hard_pure_rect_core_burst_g11_v09.asset
265,251-300,1,1,0,,0.267,0.2,0.66,0.02,0.72,普通,maze,Recovery,Recovery,104,161.7,21.0,7.34,506.0,1,Green,None,,direct_normal_70_direct_normal_rect_maze_long_chain_g0_v07,slot=Recovery,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_70_direct_normal_rect_maze_long_chain_g0_v07.asset
266,251-300,1,1,0,,0.293,0.12,0.32,0.84,0.88,普通,section,Normal,Normal,97,165.5,10.0,6.52,400.0,1,Green,None,,direct_pure_topup_04_10_direct_normal_pure_rect_section_unlock_g7_v02,few_openers_relative;low_choice_pressure,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_10_direct_normal_pure_rect_section_unlock_g7_v02.asset
267,251-300,2,1,-1,NeedRevalidate,0.191,0.06,0.04,0.8,0.96,hole,hole_rescue,HoleRescue,Mechanic,61,253.0,7.0,0.115,0.19,0,Missing,Missing,,hole_candidate_025_std_22x28_section,slot=HoleRescue;few_openers_relative;low_choice_pressure;hole_stage_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_025_std_22x28_section.asset
268,251-300,1,1,0,,0.387,0.72,0.02,0.48,0.0,普通,shape_magic,Shape,Novelty,118,313.0,17.0,14.62,0.186,1,Green,PeakTooFlat,shape_transition_magic_broom_tall,r2_outer_strong_005_r2_006_a401_procmask_87_onion_maskproceduralvertical_34x50-transitionmagicbroomtall,slot=Shape;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_87_onion_maskproceduralvertical_34x50-transitionmagicbroomtall_20260611_111404.asset
269,251-300,4,4,0,NeedRevalidate,1.014,0.96,0.94,0.82,0.2,普通,lock,Peak,RelativeExtreme,203,120.2,21.0,13.53,1072.0,0,Missing,Missing,,direct_advanced_17_direct_advanced_veryhard_rect_lock_buckle_g2_v03,rhythm=RelativeExtreme;slot=Peak;stage_chain_top10;dependency_top10;few_openers_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_17_direct_advanced_veryhard_rect_lock_buckle_g2_v03.asset
270,251-300,1,2,1,,0.542,0.62,0.72,0.12,0.42,普通,section,Normal,Normal,114,157.4,21.0,8.98,539.0,1,Green,None,,direct_normal_147_direct_normal_rect_dual_zone_g2_v15,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_147_direct_normal_rect_dual_zone_g2_v15.asset
271,251-300,1,1,0,,0.358,0.62,0.34,0.34,0.36,普通,maze,Recovery,Recovery,114,147.6,18.0,9.52,418.0,1,Green,None,,direct_pure_topup_05_16_direct_normal_pure_rect_maze_long_chain_g10_v05,slot=Recovery,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_16_direct_normal_pure_rect_maze_long_chain_g10_v05.asset
272,251-300,1,2,1,,0.503,0.52,0.68,0.08,0.76,普通,lock,Normal,Normal,111,164.2,21.0,7.16,513.0,1,Green,None,,direct_normal_96_direct_normal_rect_core_burst_g3_v10,low_choice_pressure,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_96_direct_normal_rect_core_burst_g3_v10.asset
273,251-300,1,1,0,,0.421,0.62,0.24,0.6,0.12,普通,shape_toolui,Shape,Novelty,114,305.0,16.0,13.76,12.5,1,Green,None,shape_main_ui_chat_bubble_tall,r2_outer_strong_005_r2_006_a401_procmask_supp_14_onion_maskfinalsupplement_30x42-mainuichatbubbletall,slot=Shape;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_14_onion_maskfinalsupplement_30x42-mainuichatbubbletall_20260611_124400.asset
274,251-300,2,2,0,,0.615,0.48,0.82,0.42,0.86,普通,section,Pressure,Hard,110,173.0,16.0,6.66,632.0,1,Green,None,,direct_normal_19_direct_normal_rect_quasi_symmetry_g1_v02,rhythm=Hard;slot=Pressure;dependency_top25;low_choice_pressure,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_19_direct_normal_rect_quasi_symmetry_g1_v02.asset
275,251-300,1,1,0,,0.352,0.26,0.54,0.2,0.54,普通,dense,Normal,Normal,106,142.4,18.0,8.19,484.0,1,Green,None,,direct_normal_04_direct_normal_rect_dense_weave_g0_v01,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_04_direct_normal_rect_dense_weave_g0_v01.asset
276,251-300,4,4,0,,1.028,0.94,0.96,0.9,0.42,普通,section,Peak,RelativeExtreme,201,141.0,17.0,8.98,1194.0,1,Green,None,,direct_advanced_20_direct_advanced_veryhard_rect_dual_zone_g2_v03,rhythm=RelativeExtreme;slot=Peak;stage_chain_top10;dependency_top10;few_openers_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_20_direct_advanced_veryhard_rect_dual_zone_g2_v03.asset
277,251-300,2,1,-1,NeedRevalidate,0.232,0.06,0.14,0.98,0.98,hole,hole_rescue,HoleRescue,Mechanic,61,253.0,4.0,0.066,0.269,0,Missing,Missing,,hole_topup_030_topup_std_26x26_dual,slot=HoleRescue;few_openers_relative;low_choice_pressure;hole_stage_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_030_topup_std_26x26_dual.asset
278,251-300,1,2,1,,0.486,0.76,0.3,0.54,0.0,普通,shape_ocean,Shape,Novelty,119,307.0,17.0,14.62,12.6,1,Green,PeakTooFlat,shape_main_distinct_octopus_tall,r2_outer_strong_005_r2_006_a401_procmask_98_long_maskproceduralvertical_32x44-maindistinctoctopustall,slot=Shape;stage_chain_top25;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_98_long_maskproceduralvertical_32x44-maindistinctoctopustall_20260611_111458.asset
279,251-300,1,2,1,,0.479,0.38,0.78,0.14,0.82,普通,section,Normal,Normal,107,154.1,19.0,6.9,578.0,1,Green,None,,direct_normal_topup_14_direct_normal_topup_rect_stair_push_g7_v02,dependency_top25;low_choice_pressure,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_14_direct_normal_topup_rect_stair_push_g7_v02.asset
280,251-300,1,1,0,,0.391,0.38,0.46,0.26,0.68,普通,lock,Normal,Normal,107,158.2,17.0,7.43,459.0,1,Green,None,,direct_normal_113_direct_normal_rect_lock_buckle_g5_v12,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_113_direct_normal_rect_lock_buckle_g5_v12.asset
281,251-300,1,1,0,,0.321,0.38,0.56,0.36,0.38,普通,sweep,Recovery,Recovery,107,164.1,16.0,9.39,487.0,1,Green,None,,direct_normal_95_direct_normal_rect_sweep_g3_v10,slot=Recovery,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_95_direct_normal_rect_sweep_g3_v10.asset
282,251-300,1,1,0,,0.359,0.38,0.38,0.26,0.48,普通,dense,Normal,Normal,107,157.5,17.0,8.88,435.0,1,Green,None,,direct_normal_114_direct_normal_rect_dense_weave_g5_v12,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_114_direct_normal_rect_dense_weave_g5_v12.asset
283,251-300,1,1,0,,0.437,0.72,0.2,0.48,0.0,普通,shape_toolui,Shape,Novelty,118,303.0,17.0,14.62,12.4,1,Green,PeakTooFlat,shape_main_tool_battery_tall,r2_outer_strong_005_r2_006_a401_procmask_supp_10_long_maskfinalsupplement_28x42-maintoolbatterytall,slot=Shape;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_10_long_maskfinalsupplement_28x42-maintoolbatterytall_20260611_124334.asset
284,251-300,2,3,1,,0.809,0.92,0.86,0.76,0.34,普通,lock,Pressure,Hard,167,161.7,20.0,9.71,878.0,1,Green,None,,direct_pure_topup_07_24_direct_polish_hard_pure_rect_core_burst_g11_v03,rhythm=Hard;slot=Pressure;stage_chain_top10;dependency_top25;few_openers_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_24_direct_polish_hard_pure_rect_core_burst_g11_v03.asset
285,251-300,2,1,-1,NeedRevalidate,0.164,0.1,0.08,0.06,0.9,hole,hole_rescue,HoleRescue,Mechanic,62,253.0,12.0,0.194,0.248,0,Missing,Missing,,hole_topup_025_topup_std_24x28_maze,slot=HoleRescue;low_choice_pressure;hole_stage_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_025_topup_std_24x28_maze.asset
286,251-300,1,1,0,,0.411,0.38,0.52,0.26,0.74,普通,section,Normal,Normal,107,165.2,17.0,7.3,475.0,1,Green,None,,direct_normal_topup_39_direct_normal_topup_rect_quasi_symmetry_g10_v05,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_39_direct_normal_topup_rect_quasi_symmetry_g10_v05.asset
287,251-300,4,4,0,NeedRevalidate,1.041,0.98,0.98,0.88,0.26,普通,lock,Peak,RelativeExtreme,280,115.4,26.0,11.43,2122.0,0,Missing,Missing,,direct_advanced_57_direct_advanced_extreme_rect_lock_buckle_g5_v02,rhythm=RelativeExtreme;slot=Peak;stage_chain_top10;dependency_top10;few_openers_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_57_direct_advanced_extreme_rect_lock_buckle_g5_v02.asset
288,251-300,1,1,0,,0.437,0.72,0.2,0.48,0.0,普通,shape_ocean,Shape,Novelty,118,314.0,17.0,14.62,12.4,1,Green,None,shape_transition_ocean_diving_mask_tall,r2_outer_strong_005_r2_006_a401_procmask_69_onion_maskproceduralvertical_34x48-transitionoceandivingmasktall,slot=Shape;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_69_onion_maskproceduralvertical_34x48-transitionoceandivingmasktall_20260611_111253.asset
289,251-300,2,3,1,,0.691,0.66,0.8,0.66,0.64,普通,section,Pressure,Hard,115,159.2,16.0,7.74,627.0,1,Green,None,,direct_normal_38_direct_normal_rect_stair_push_g3_v04,rhythm=Hard;slot=Pressure;dependency_top25,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_38_direct_normal_rect_stair_push_g3_v04.asset
290,251-300,1,1,0,,0.422,0.62,0.58,0.38,0.24,普通,section,Recovery,Recovery,114,141.4,17.0,12.0,493.0,1,Green,PeakTooFlat,,direct_normal_82_direct_normal_rect_section_unlock_g2_v09,slot=Recovery,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_82_direct_normal_rect_section_unlock_g2_v09.asset
291,251-300,1,1,0,,0.257,0.26,0.6,0.04,0.32,普通,dense,Recovery,Recovery,106,154.3,21.0,9.74,498.0,1,Green,None,,direct_normal_topup_43_direct_normal_topup_rect_dense_weave_g11_v06,slot=Recovery,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_43_direct_normal_topup_rect_dense_weave_g11_v06.asset
292,251-300,2,1,-1,NeedRevalidate,0.183,0.1,0.12,0.16,0.92,hole,hole_rescue,HoleRescue,Mechanic,62,253.0,11.0,0.177,0.266,0,Missing,Missing,,hole_candidate_040_std_26x26_section,slot=HoleRescue;low_choice_pressure;hole_stage_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_040_std_26x26_section.asset
293,251-300,1,2,1,,0.486,0.76,0.3,0.54,0.0,普通,shape_landmark,Shape,Novelty,119,314.0,17.0,14.62,12.6,1,Green,None,shape_transition_wide_landmark01_tall,r2_outer_strong_005_r2_006_a401_procmask_125_onion_maskproceduralvertical_34x50-transitionwidelandmark01tall,slot=Shape;stage_chain_top25;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_125_onion_maskproceduralvertical_34x50-transitionwidelandmark01tall_20260611_111830.asset
294,251-300,1,1,0,,0.391,0.48,0.64,0.42,0.4,普通,sweep,Recovery,Recovery,110,149.3,16.0,9.12,504.0,1,Green,PeakTooFlat,,direct_normal_155_direct_normal_rect_sweep_g3_v16,slot=Recovery,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_155_direct_normal_rect_sweep_g3_v16.asset
295,251-300,1,1,0,NeedRevalidate,0.344,0.22,0.44,0.54,0.8,普通,section,Normal,Normal,105,170.5,15.0,6.93,454.0,0,Missing,Missing,,direct_normal_topup_53_direct_normal_topup_rect_dual_zone_g6_v07,low_choice_pressure;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_53_direct_normal_topup_rect_dual_zone_g6_v07.asset
296,251-300,2,3,1,,0.836,0.9,0.9,0.94,0.58,普通,lock,Pressure,Hard,163,163.3,13.0,7.93,896.0,1,Green,None,,direct_pure_topup_10_02_direct_polish_hard_pure_rect_core_burst_g10_v08,rhythm=Hard;slot=Pressure;stage_chain_top10;dependency_top10;few_openers_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_02_direct_polish_hard_pure_rect_core_burst_g10_v08.asset
297,251-300,1,2,1,,0.488,0.62,0.4,0.6,0.46,普通,section,Normal,Normal,114,150.2,16.0,8.97,441.0,1,Green,None,,direct_normal_128_direct_normal_rect_stair_push_g0_v13,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_128_direct_normal_rect_stair_push_g0_v13.asset
298,251-300,1,1,0,,0.443,0.8,0.06,0.64,0.0,普通,shape_magic,Shape,Novelty,122,314.0,17.0,14.62,0.194,1,Green,BottleneckHeavy,shape_main_treasure_chest_tall,r2_outer_strong_005_r2_006_a401_procmask_43_long_maskproceduralvertical_30x42-maintreasurechesttall,slot=Shape;stage_chain_top25;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_43_long_maskproceduralvertical_30x42-maintreasurechesttall_20260611_110904.asset
299,251-300,4,4,0,NeedRevalidate,1.056,1.0,1.0,0.96,0.18,普通,lock,Peak,RelativeExtreme,318,112.2,22.0,13.54,2470.0,0,Missing,Missing,,direct_advanced_51_direct_advanced_extreme_rect_core_burst_g4_v01,rhythm=RelativeExtreme;slot=Peak;stage_chain_top10;dependency_top10;few_openers_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_51_direct_advanced_extreme_rect_core_burst_g4_v01.asset
300,251-300,1,1,0,,0.375,0.48,0.62,0.18,0.52,普通,maze,Recovery,Recovery,110,157.8,19.0,8.69,503.0,1,Green,None,,direct_normal_110_direct_normal_rect_maze_long_chain_g4_v11,slot=Recovery,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_110_direct_normal_rect_maze_long_chain_g4_v11.asset
301,301-350,3,1,-2,NeedRevalidate,0.147,0.04,0.08,0.16,0.92,hole,hole_rescue,HoleRescue,Mechanic,65,256.0,11.0,0.169,0.225,0,Missing,Missing,,hole_topup_033_topup_std_26x28_dual,slot=HoleRescue;low_choice_pressure;hole_stage_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_033_topup_std_26x28_dual.asset
302,301-350,1,1,0,,0.251,0.14,0.32,0.18,0.8,普通,dense,Normal,Normal,102,174.3,16.0,7.14,412.0,1,Green,None,,direct_normal_topup_51_direct_normal_topup_rect_dense_weave_g6_v07,low_choice_pressure,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_51_direct_normal_topup_rect_dense_weave_g6_v07.asset
303,301-350,1,1,0,,0.31,0.52,0.02,0.48,0.14,普通,shape_landmark,Shape,Novelty,120,325.0,17.0,14.62,0.19,1,Green,BottleneckHeavy,shape_main_leaning_tower_tall,r2_outer_strong_005_r2_006_a401_procmask_31_onion_maskproceduralvertical_30x44-mainleaningtowertall,slot=Shape;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_31_onion_maskproceduralvertical_30x44-mainleaningtowertall_20260611_110752.asset
304,301-350,1,2,1,,0.504,0.58,0.66,0.02,0.48,普通,section,Normal,Normal,122,160.0,25.0,9.33,598.0,1,Green,None,,direct_normal_138_direct_normal_rect_stair_push_g1_v14,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_138_direct_normal_rect_stair_push_g1_v14.asset
305,301-350,2,3,1,NeedRevalidate,0.773,0.82,0.86,0.82,0.38,普通,lock,Pressure,Hard,181,141.2,17.0,9.82,1197.0,0,Missing,Missing,,direct_advanced_19_direct_advanced_veryhard_rect_core_burst_g2_v03,rhythm=Hard;slot=Pressure;stage_chain_top25;dependency_top25;few_openers_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_19_direct_advanced_veryhard_rect_core_burst_g2_v03.asset
306,301-350,1,1,0,NeedRevalidate,0.263,0.26,0.54,0.08,0.72,普通,maze,Recovery,Recovery,108,167.9,20.0,7.52,535.0,0,Missing,Missing,,direct_pure_normal_extra_01_24_direct_normal_pure_extra_rect_maze_long_chain_g17_v03,slot=Recovery;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_24_direct_normal_pure_extra_rect_maze_long_chain_g17_v03.asset
307,301-350,1,1,0,,0.384,0.58,0.18,0.54,0.14,普通,shape_ocean,Shape,Novelty,122,322.0,17.0,14.62,13.0,1,Green,None,shape_transition_ocean_sea_turtle_tall,r2_outer_strong_005_r2_006_a401_procmask_72_onion_maskproceduralvertical_36x48-transitionoceanseaturtletall,slot=Shape;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_72_onion_maskproceduralvertical_36x48-transitionoceanseaturtletall_20260611_111302.asset
308,301-350,1,1,0,,0.349,0.22,0.46,0.72,0.54,普通,section,Normal,Normal,106,168.5,12.0,9.04,479.0,1,Green,None,,direct_pure_topup_05_15_direct_normal_pure_rect_dual_zone_g10_v05,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_15_direct_normal_pure_rect_dual_zone_g10_v05.asset
309,301-350,2,3,1,NeedRevalidate,0.769,0.88,0.82,0.74,0.12,普通,lock,Pressure,Hard,200,112.3,21.0,15.39,1175.0,0,Missing,Missing,,direct_advanced_41_direct_advanced_veryhard_rect_lock_buckle_g1_v06,rhythm=Hard;slot=Pressure;stage_chain_top25;dependency_top25;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_41_direct_advanced_veryhard_rect_lock_buckle_g1_v06.asset
310,301-350,1,1,0,,0.426,0.32,0.68,0.14,0.82,普通,section,Normal,Normal,111,152.9,19.0,6.87,604.0,1,Green,None,,direct_normal_58_direct_normal_rect_stair_push_g5_v06,low_choice_pressure,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_58_direct_normal_rect_stair_push_g5_v06.asset
311,301-350,1,1,0,,0.295,0.18,0.44,0.24,0.58,普通,maze,Normal,Normal,103,170.9,16.0,8.71,471.0,1,Green,None,,direct_pure_topup_06_16_direct_normal_pure_rect_maze_long_chain_g7_v08,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_16_direct_normal_pure_rect_maze_long_chain_g7_v08.asset
312,301-350,2,2,0,,0.665,0.72,0.74,0.3,0.46,普通,lock,Pressure,Hard,134,165.4,20.0,9.34,678.0,1,Green,None,,direct_pure_topup_09_22_direct_polish_hard_pure_rect_outer_shell_g9_v07,rhythm=Hard;slot=Pressure,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_22_direct_polish_hard_pure_rect_outer_shell_g9_v07.asset
313,301-350,1,1,0,,0.354,0.54,0.14,0.52,0.14,普通,shape_music,Shape,Novelty,121,330.0,17.0,14.62,12.8,1,Green,BottleneckHeavy,shape_main_music_vinyl_record_tall,r2_outer_strong_005_r2_006_a401_procmask_supp_06_onion_maskfinalsupplement_30x42-mainmusicvinylrecordtall,slot=Shape;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_06_onion_maskfinalsupplement_30x42-mainmusicvinylrecordtall_20260611_124312.asset
314,301-350,1,1,0,,0.38,0.36,0.5,0.06,0.68,普通,dense,Normal,Normal,112,152.2,22.0,7.91,528.0,1,Green,None,,direct_normal_101_direct_normal_rect_outer_shell_g4_v11,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_101_direct_normal_rect_outer_shell_g4_v11.asset
315,301-350,1,1,0,,0.412,0.46,0.72,0.38,0.6,普通,sweep,Recovery,Recovery,116,147.7,17.0,8.53,675.0,1,Green,None,,direct_normal_topup_80_direct_normal_topup_rect_sweep_g9_v10,slot=Recovery,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_80_direct_normal_topup_rect_sweep_g9_v10.asset
316,301-350,4,4,0,,1.053,0.98,0.98,0.88,0.5,普通,section,Peak,RelativeExtreme,318,119.0,26.0,9.07,2770.0,1,Green,None,,direct_advanced_60_direct_advanced_extreme_rect_dual_zone_g5_v02,rhythm=RelativeExtreme;slot=Peak;stage_chain_top10;dependency_top10;few_openers_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_60_direct_advanced_extreme_rect_dual_zone_g5_v02.asset
317,301-350,3,1,-2,NeedRevalidate,0.132,0.04,0.06,0.04,0.9,hole,hole_rescue,HoleRescue,Mechanic,65,256.0,13.0,0.2,0.222,0,Missing,Missing,,hole_candidate_053_std_28x28_maze,slot=HoleRescue;low_choice_pressure;hole_stage_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_053_std_28x28_maze.asset
