order,slotRole,relativeDifficulty,template,bucket,type,styleKey,chains,score,openers,avgChoices,dependencyBlocks,levelId,path,families,qualityFlags,portableQuality
256,Recovery,Recovery,D_visual_middle,normal,sweep,sweep,105,160.3,15,7.85,528,direct_normal_topup_40_direct_normal_topup_rect_sweep_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_40_direct_normal_topup_rect_sweep_g10_v05.asset,direct_normal:sweep:g10,ok;rel:Normal:Normal,ok
257,Shape,Novelty,D_visual_middle,normal,shape_space,Space,111,307,16,13.76,12,r2_outer_strong_005_r2_006_a401_procmask_supp_01_onion_maskfinalsupplement_30x42-mainspacesaturnicontall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_01_onion_maskfinalsupplement_30x42-mainspacesaturnicontall_20260611_124212.asset,shape:Space:sci-fi:vehicle:procmask_supp_01_onion_maskfinalsupplement_30x42-mainspacesaturnicontall_20260611_124212,rel:Hard:ShapePressure:Shape:Space:sci-fi:vehicle:main,Normal
258,Normal,Normal,D_visual_middle,normal,section,section_unlock,110,160.1,13,7.35,590,direct_normal_132_direct_normal_rect_section_unlock_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_132_direct_normal_rect_section_unlock_g1_v14.asset,direct_normal:section_unlock:g1,ok;rel:Recovery:Recovery,ok
259,Pressure,Hard,D_visual_middle,hard,lock,lock_buckle,154,159.9,17,11.38,559,direct_pure_topup_10_10_direct_polish_hard_pure_rect_lock_buckle_g11_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_10_direct_polish_hard_pure_rect_lock_buckle_g11_v09.asset,direct_polish:lock_buckle:g11,ok;rel:Normal:Normal,ok
260,Normal,Normal,D_visual_middle,hard,section,stair_push,133,150.8,22,13.05,537,direct_polish_clean_06_direct_polish_normal_rect_stair_push_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_06_direct_polish_normal_rect_stair_push_g0_v01.asset,direct_polish:stair_push:g0,ok;rel:Hard:Pressure,ok
261,Normal,Normal,E_early_peak,normal,dense,dense_weave,118,141.8,17,11.45,441,direct_polish_clean_12_direct_polish_normal_rect_dense_weave_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_12_direct_polish_normal_rect_dense_weave_g1_v02.asset,direct_polish:dense_weave:g1,ok;rel:Normal:Normal,ok
262,Pressure,Hard,E_early_peak,hard,lock,core_burst,150,150.5,23,13.53,611,direct_pure_topup_10_22_direct_polish_hard_pure_rect_core_burst_g12_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_22_direct_polish_hard_pure_rect_core_burst_g12_v10.asset,direct_polish:core_burst:g12,ok;rel:Normal:Normal,ok
263,Shape,Novelty,E_early_peak,normal,shape_ocean,Ocean,110,301,15,12.9,12.5,r2_outer_strong_005_r2_006_a401_procmask_64_onion_maskproceduralvertical_28x44-mainoceanseaweedtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_64_onion_maskproceduralvertical_28x44-mainoceanseaweedtall_20260611_111225.asset,shape:Ocean:shoreline:object:procmask_64_onion_maskproceduralvertical_28x44-mainoceanseaweedtall_20260611_111225,rel:Novelty:ShapeVisual:Shape:Ocean:shoreline:object:main,Normal
264,Normal,Normal,E_early_peak,normal,section,dual_zone,114,165.4,11,9.70,500,direct_normal_37_direct_normal_rect_dual_zone_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_37_direct_normal_rect_dual_zone_g3_v04.asset,direct_normal:dual_zone:g3,ok;rel:Recovery:Recovery,ok
265,Recovery,Recovery,E_early_peak,normal,sweep,sweep,104,156.3,12,8.62,405,direct_normal_05_direct_normal_rect_sweep_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_05_direct_normal_rect_sweep_g0_v01.asset,direct_normal:sweep:g0,ok;rel:Normal:Normal,ok
266,Peak,VeryHard,E_early_peak,hard,section,stair_push,165,171.1,16,7.25,1201,direct_polish_hard_24_direct_polish_hard_rect_stair_push_g6_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishHardCandidates/direct_polish_hard_24_direct_polish_hard_rect_stair_push_g6_v03.asset,direct_polish:stair_push:g6,ok;rel:VeryHard:Peak,ok
267,HoleRescue,Mechanic,E_early_peak,normal,hole_rescue,standard_24x30_mid,82,259,76,76,39.9,hole_proc_standard_24x30_mid_922505_24x30_c82,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x30_mid_922505_24x30_c82.asset,hole_procedural:standard_24x30_mid,procedural_hole_standard,procedural_hole_standard
268,Shape,Novelty,E_early_peak,normal,shape_toolui,ToolUI,115,295,16,13.76,12.6,r2_outer_strong_005_r2_006_a401_procmask_supp_13_long_maskfinalsupplement_30x42-mainuicameratall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_13_long_maskfinalsupplement_30x42-mainuicameratall_20260611_124359.asset,shape:ToolUI:digital-tools:object:procmask_supp_13_long_maskfinalsupplement_30x42-mainuicameratall_20260611_124359,rel:Normal:ShapeNormal:Shape:ToolUI:digital-tools:object:main,Normal
269,Recovery,Recovery,E_early_peak,normal,lock,lock_buckle,115,145.7,24,9.64,576,direct_normal_143_direct_normal_rect_lock_buckle_g2_v15,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_143_direct_normal_rect_lock_buckle_g2_v15.asset,direct_normal:lock_buckle:g2,ok;rel:Normal:Normal,ok
270,Normal,Normal,E_early_peak,normal,section,quasi_symmetry,117,156.1,17,6.76,601,direct_normal_159_direct_normal_rect_quasi_symmetry_g3_v16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_159_direct_normal_rect_quasi_symmetry_g3_v16.asset,direct_normal:quasi_symmetry:g3,ok,ok
271,Recovery,Recovery,A_peak9,normal,sweep,sweep,108,166.0,13,7.91,450,direct_normal_topup_32_direct_normal_topup_rect_sweep_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_32_direct_normal_topup_rect_sweep_g9_v04.asset,direct_normal:sweep:g9,ok;rel:Normal:Normal,ok
272,Normal,Normal,A_peak9,hard,section,dual_zone,139,146.1,23,15.39,708,direct_pure_topup_10_13_direct_polish_hard_pure_rect_dual_zone_g11_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_13_direct_polish_hard_pure_rect_dual_zone_g11_v09.asset,direct_polish:dual_zone:g11,ok,ok
273,Shape,Novelty,A_peak9,shape,shape_magic,Magic,118,313,17,14.62,0.186,r2_outer_strong_005_r2_006_a401_procmask_87_onion_maskproceduralvertical_34x50-transitionmagicbroomtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_87_onion_maskproceduralvertical_34x50-transitionmagicbroomtall_20260611_111404.asset,shape:Magic:SpecialShape,NoRisk|yellow_replacement:StartFakeWide|BottleneckHeavy,Normal
274,Pressure,Hard,A_peak9,hard,lock,core_burst,156,159.1,24,12.12,703,direct_pure_topup_08_10_direct_polish_hard_pure_rect_core_burst_g12_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_10_direct_polish_hard_pure_rect_core_burst_g12_v04.asset,direct_polish:core_burst:g12,ok;rel:Normal:Normal,ok
275,Recovery,Recovery,A_peak9,normal,maze,maze_long_chain,108,159.5,17,7.37,581,direct_normal_130_direct_normal_rect_maze_long_chain_g0_v13,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_130_direct_normal_rect_maze_long_chain_g0_v13.asset,direct_normal:maze_long_chain:g0,ok;rel:Normal:Normal,ok
276,Normal,Normal,A_peak9,normal,dense,dense_weave,112,144.3,17,8.81,505,direct_normal_24_direct_normal_rect_dense_weave_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_24_direct_normal_rect_dense_weave_g2_v03.asset,direct_normal:dense_weave:g2,ok;rel:Normal:Normal,ok
277,Shape,Novelty,A_peak9,normal,shape_toolui,ToolUI,114,305,16,13.76,12.5,r2_outer_strong_005_r2_006_a401_procmask_supp_14_onion_maskfinalsupplement_30x42-mainuichatbubbletall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_14_onion_maskfinalsupplement_30x42-mainuichatbubbletall_20260611_124400.asset,shape:ToolUI:digital-tools:object:procmask_supp_14_onion_maskfinalsupplement_30x42-mainuichatbubbletall_20260611_124400,rel:Novelty:ShapeVisual:Shape:ToolUI:digital-tools:object:main,Normal
278,Pressure,Hard,A_peak9,hard,section,quasi_symmetry,141,165.6,18,9.43,683,direct_pure_topup_08_13_direct_polish_hard_pure_rect_quasi_symmetry_g12_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_13_direct_polish_hard_pure_rect_quasi_symmetry_g12_v04.asset,direct_polish:quasi_symmetry:g12,ok,ok
279,Peak,RelativeExtreme,A_peak9,very_hard,lock,core_burst,189,148.1,17,9.05,1115,direct_polish_hard_22_direct_polish_hard_rect_core_burst_g6_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishHardCandidates/direct_polish_hard_22_direct_polish_hard_rect_core_burst_g6_v03.asset,direct_polish:core_burst:g6,ok;rel:VeryHard:Peak,ok
280,Normal,Normal,A_peak9,hard,section,section_unlock,130,163.1,23,9.15,601,direct_pure_topup_09_03_direct_polish_hard_pure_rect_section_unlock_g14_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_03_direct_polish_hard_pure_rect_section_unlock_g14_v06.asset,direct_polish:section_unlock:g14,ok;rel:Normal:Normal,ok
281,Recovery,Recovery,F_chapter_breath,hard,sweep,direct_pure_topup_10_08_direct_p,158,141.3,32,16.29,745,direct_pure_topup_10_08_direct_polish_hard_pure_rect_outer_shell_g10_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_08_direct_polish_hard_pure_rect_outer_shell_g10_v08.asset,asset:direct_pure_topup_10_08_direct_p,too-open;rel:Normal:Normal,too-open
282,Normal,Normal,F_chapter_breath,normal,maze,maze_long_chain,106,157.1,15,7.57,561,direct_normal_50_direct_normal_rect_maze_long_chain_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_50_direct_normal_rect_maze_long_chain_g4_v05.asset,direct_normal:maze_long_chain:g4,ok,ok
283,Shape,Novelty,F_chapter_breath,normal,shape_toolui,ToolUI,118,303,17,14.62,12.4,r2_outer_strong_005_r2_006_a401_procmask_supp_10_long_maskfinalsupplement_28x42-maintoolbatterytall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_10_long_maskfinalsupplement_28x42-maintoolbatterytall_20260611_124334.asset,shape:ToolUI:digital-tools:object:procmask_supp_10_long_maskfinalsupplement_28x42-maintoolbatterytall_20260611_124334,rel:Hard:ShapePressure:Shape:ToolUI:digital-tools:object:main,Normal
284,Pressure,Hard,F_chapter_breath,normal,lock,lock_buckle,111,197.7,12,5.81,504,direct_normal_topup_58_direct_normal_topup_rect_lock_buckle_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_58_direct_normal_topup_rect_lock_buckle_g7_v08.asset,direct_normal:lock_buckle:g7,ok;rel:Normal:Normal,ok
285,Normal,Normal,F_chapter_breath,normal,section,dual_zone,119,148,14,8.66,609,direct_normal_topup_77_direct_normal_topup_rect_dual_zone_g9_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_77_direct_normal_topup_rect_dual_zone_g9_v10.asset,direct_normal:dual_zone:g9,ok|yellow_replacement:StartFakeWide,ok
286,Peak,RelativeExtreme,F_chapter_breath,very_hard,lock,core_burst,207,150.7,19,9.70,1370,direct_advanced_03_direct_advanced_veryhard_rect_core_burst_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_03_direct_advanced_veryhard_rect_core_burst_g0_v01.asset,direct_advanced:core_burst:g0,ok;rel:RelativeExtreme:Peak,ok
287,Recovery,Recovery,F_chapter_breath,hard,section,stair_push,152,141.4,27,16.22,652,direct_pure_topup_08_12_direct_polish_hard_pure_rect_stair_push_g12_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_12_direct_polish_hard_pure_rect_stair_push_g12_v04.asset,direct_polish:stair_push:g12,ok;rel:Hard:Pressure,too-open
288,Shape,Novelty,F_chapter_breath,normal,shape_ocean,Ocean,119,307,17,14.62,12.6,r2_outer_strong_005_r2_006_a401_procmask_98_long_maskproceduralvertical_32x44-maindistinctoctopustall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_98_long_maskproceduralvertical_32x44-maindistinctoctopustall_20260611_111458.asset,shape:Ocean:sea-creature:creature:procmask_98_long_maskproceduralvertical_32x44-maindistinctoctopustall_20260611_111458,rel:VeryHard:ShapePeak:Shape:Ocean:sea-creature:creature:main,Normal
289,Normal,Normal,F_chapter_breath,normal,dense,direct_normal_91_direct_normal_r,105,168.1,17,6.55,603,direct_normal_91_direct_normal_rect_outer_shell_g3_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_91_direct_normal_rect_outer_shell_g3_v10.asset,asset:direct_normal_91_direct_normal_r,ok;rel:Normal:Normal,ok
290,Normal,Normal,F_chapter_breath,normal,section,quasi_symmetry,111,172.6,10,7.50,509,direct_normal_topup_63_direct_normal_topup_rect_quasi_symmetry_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_63_direct_normal_topup_rect_quasi_symmetry_g7_v08.asset,direct_normal:quasi_symmetry:g7,ok;rel:Normal:Normal,ok
291,Recovery,Recovery,B_peak7_end_calm,hard,sweep,sweep,141,145.4,23,11.78,669,direct_pure_topup_09_10_direct_polish_hard_pure_rect_sweep_g14_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_10_direct_polish_hard_pure_rect_sweep_g14_v06.asset,direct_polish:sweep:g14,ok;rel:Normal:Normal,ok
292,HoleRescue,Mechanic,B_peak7_end_calm,normal,hole_rescue,standard_23x28_mid,81,265,72,72,44.2,hole_proc_standard_23x28_mid_920413_23x28_c81,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_23x28_mid_920413_23x28_c81.asset,hole_procedural:standard_23x28_mid,procedural_hole_standard,procedural_hole_standard
293,Shape,Novelty,B_peak7_end_calm,normal,shape_landmark,Landmark,119,314,17,14.62,12.6,r2_outer_strong_005_r2_006_a401_procmask_125_onion_maskproceduralvertical_34x50-transitionwidelandmark01tall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_125_onion_maskproceduralvertical_34x50-transitionwidelandmark01tall_20260611_111830.asset,shape:Landmark:architecture:landmark:procmask_125_onion_maskproceduralvertical_34x50-transitionwidelandmark01tall_20260611_111830,rel:Novelty:ShapeVisual:Shape:Landmark:architecture:landmark:transition,Normal
294,Pressure,Hard,B_peak7_end_calm,hard,lock,lock_buckle,155,155.6,21,13.94,725,direct_pure_topup_10_20_direct_polish_hard_pure_rect_lock_buckle_g12_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_20_direct_polish_hard_pure_rect_lock_buckle_g12_v10.asset,direct_polish:lock_buckle:g12,ok;rel:Normal:Normal,ok
295,Recovery,Recovery,B_peak7_end_calm,normal,maze,maze_long_chain,118,150.2,17,9.56,596,direct_normal_140_direct_normal_rect_maze_long_chain_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_140_direct_normal_rect_maze_long_chain_g1_v14.asset,direct_normal:maze_long_chain:g1,ok,ok
296,Normal,Normal,B_peak7_end_calm,normal,dense,direct_normal_21_direct_normal_r,103,182.0,14,6.06,490,direct_normal_21_direct_normal_rect_outer_shell_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_21_direct_normal_rect_outer_shell_g2_v03.asset,asset:direct_normal_21_direct_normal_r,ok;rel:Normal:Normal,ok
297,Peak,VeryHard,B_peak7_end_calm,hard,lock,core_burst,163,163.3,13,7.93,896,direct_pure_topup_10_02_direct_polish_hard_pure_rect_core_burst_g10_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_02_direct_polish_hard_pure_rect_core_burst_g10_v08.asset,direct_polish:core_burst:g10,ok;rel:VeryHard:Peak,ok
298,Shape,Novelty,B_peak7_end_calm,normal,shape_ocean,Ocean,118,314,17,14.62,12.4,r2_outer_strong_005_r2_006_a401_procmask_69_onion_maskproceduralvertical_34x48-transitionoceandivingmasktall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_69_onion_maskproceduralvertical_34x48-transitionoceandivingmasktall_20260611_111253.asset,shape:Ocean:diving-gear:equipment:procmask_69_onion_maskproceduralvertical_34x48-transitionoceandivingmasktall_20260611_111253,rel:Normal:ShapeNormal:Shape:Ocean:diving-gear:equipment:transition,Normal
299,Pressure,Hard,B_peak7_end_calm,hard,section,stair_push,147,168.4,18,8.84,844,direct_polish_clean_15_direct_polish_normal_rect_stair_push_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_15_direct_polish_normal_rect_stair_push_g1_v02.asset,direct_polish:stair_push:g1,ok,ok
300,Recovery,Recovery,B_peak7_end_calm,hard,section,section_unlock,144,148.0,26,11.22,645,direct_pure_topup_08_07_direct_polish_hard_pure_rect_section_unlock_g12_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_07_direct_polish_hard_pure_rect_section_unlock_g12_v04.asset,direct_polish:section_unlock:g12,ok;rel:Normal:Normal,ok
301,Recovery,Recovery,C_double_wave,normal,sweep,sweep,114,180.4,15,6.78,613,direct_normal_145_direct_normal_rect_sweep_g2_v15,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_145_direct_normal_rect_sweep_g2_v15.asset,direct_normal:sweep:g2,ok;rel:Normal:Normal,ok
302,Pressure,Hard,C_double_wave,hard,lock,lock_buckle,149,161.3,22,9.51,745,direct_pure_topup_08_18_direct_polish_hard_pure_rect_lock_buckle_g13_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_18_direct_polish_hard_pure_rect_lock_buckle_g13_v05.asset,direct_polish:lock_buckle:g13,ok;rel:Normal:Normal,ok
303,Shape,Novelty,C_double_wave,shape,shape_landmark,Landmark,120,325,17,14.62,0.19,r2_outer_strong_005_r2_006_a401_procmask_31_onion_maskproceduralvertical_30x44-mainleaningtowertall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_31_onion_maskproceduralvertical_30x44-mainleaningtowertall_20260611_110752.asset,shape:Landmark:SpecialShape,NoRisk|yellow_replacement:GrindyLowClear,Normal
304,Recovery,Recovery,C_double_wave,hard,section,dual_zone,134,164.5,20,10.69,604,direct_polish_clean_14_direct_polish_normal_rect_dual_zone_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_14_direct_polish_normal_rect_dual_zone_g1_v02.asset,direct_polish:dual_zone:g1,ok,ok
305,Normal,Normal,C_double_wave,normal,dense,dense_weave,113,165.2,17,7.25,616,direct_normal_topup_27_direct_normal_topup_rect_dense_weave_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_27_direct_normal_topup_rect_dense_weave_g9_v04.asset,direct_normal:dense_weave:g9,ok;rel:Normal:Normal,ok
306,Pressure,Hard,C_double_wave,hard,section,quasi_symmetry,159,161.6,13,7.09,964,direct_polish_hard_07_direct_polish_hard_rect_quasi_symmetry_g4_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishHardCandidates/direct_polish_hard_07_direct_polish_hard_rect_quasi_symmetry_g4_v01.asset,direct_polish:quasi_symmetry:g4,ok;rel:Normal:Normal,ok
307,Normal,Normal,C_double_wave,hard,lock,core_burst,132,150.4,25,10.59,548,direct_pure_topup_09_16_direct_polish_hard_pure_rect_core_burst_g9_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_16_direct_polish_hard_pure_rect_core_burst_g9_v07.asset,direct_polish:core_burst:g9,ok,ok
308,Shape,Novelty,C_double_wave,shape,shape_magic,Magic,122,314,17,14.62,0.194,r2_outer_strong_005_r2_006_a401_procmask_43_long_maskproceduralvertical_30x42-maintreasurechesttall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_43_long_maskproceduralvertical_30x42-maintreasurechesttall_20260611_110904.asset,shape:Magic:SpecialShape,NoRisk|yellow_replacement:BottleneckHeavy|GrindyLowClear,Normal
309,Peak,RelativeExtreme,C_double_wave,very_hard,section,section_unlock,171,153.2,19,8.40,1121,direct_polish_hard_19_direct_polish_hard_rect_section_unlock_g6_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishHardCandidates/direct_polish_hard_19_direct_polish_hard_rect_section_unlock_g6_v03.asset,direct_polish:section_unlock:g6,ok;rel:RelativeExtreme:Peak,ok
310,Recovery,Recovery,C_double_wave,hard,maze,maze_long_chain,148,153.6,29,10.66,622,direct_pure_topup_09_21_direct_polish_hard_pure_rect_maze_long_chain_g9_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_21_direct_polish_hard_pure_rect_maze_long_chain_g9_v07.asset,direct_polish:maze_long_chain:g9,too-open;rel:Normal:Normal,too-open
311,Recovery,Recovery,D_visual_middle,hard,sweep,direct_pure_topup_08_06_direct_p,155,139.8,29,14.90,753,direct_pure_topup_08_06_direct_polish_hard_pure_rect_outer_shell_g11_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_06_direct_polish_hard_pure_rect_outer_shell_g11_v03.asset,asset:direct_pure_topup_08_06_direct_p,too-open;rel:Normal:Normal,too-open
312,Normal,Normal,D_visual_middle,normal,section,quasi_symmetry,111,178.9,12,7.05,567,direct_normal_119_direct_normal_rect_quasi_symmetry_g5_v12,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_119_direct_normal_rect_quasi_symmetry_g5_v12.asset,direct_normal:quasi_symmetry:g5,ok;rel:Normal:Normal,ok
313,Shape,Novelty,D_visual_middle,normal,shape_ocean,Ocean,122,322,17,14.62,13,r2_outer_strong_005_r2_006_a401_procmask_72_onion_maskproceduralvertical_36x48-transitionoceanseaturtletall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_72_onion_maskproceduralvertical_36x48-transitionoceanseaturtletall_20260611_111302.asset,shape:Ocean:sea-creature:creature:procmask_72_onion_maskproceduralvertical_36x48-transitionoceanseaturtletall_20260611_111302,rel:Novelty:ShapeVisual:Shape:Ocean:sea-creature:creature:transition,Normal
314,Normal,Normal,D_visual_middle,hard,lock,lock_buckle,130,154.3,21,13.09,506,direct_polish_clean_02_direct_polish_normal_rect_lock_buckle_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_02_direct_polish_normal_rect_lock_buckle_g0_v01.asset,direct_polish:lock_buckle:g0,ok,ok
315,Pressure,Hard,D_visual_middle,hard,section,section_unlock,145,171.3,15,7.88,784,direct_polish_hard_01_direct_polish_hard_rect_section_unlock_g4_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishHardCandidates/direct_polish_hard_01_direct_polish_hard_rect_section_unlock_g4_v01.asset,direct_polish:section_unlock:g4,ok;rel:Normal:Normal,ok
316,Recovery,Recovery,D_visual_middle,hard,dense,dense_weave,145,150.1,27,14.78,661,direct_pure_topup_10_11_direct_polish_hard_pure_rect_dense_weave_g11_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_11_direct_polish_hard_pure_rect_dense_weave_g11_v09.asset,direct_polish:dense_weave:g11,ok,too-open
317,HoleRescue,Mechanic,D_visual_middle,normal,hole_rescue,standard_24x28_mid,81,263,72,72,39.8,hole_proc_standard_24x28_mid_920941_24x28_c81,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x28_mid_920941_24x28_c81.asset,hole_procedural:standard_24x28_mid,procedural_hole_standard,procedural_hole_standard
318,Shape,Novelty,D_visual_middle,normal,shape_music,Music,121,330,17,14.62,12.8,r2_outer_strong_005_r2_006_a401_procmask_supp_06_onion_maskfinalsupplement_30x42-mainmusicvinylrecordtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_06_onion_maskfinalsupplement_30x42-mainmusicvinylrecordtall_20260611_124312.asset,shape:Music:stage:object:procmask_supp_06_onion_maskfinalsupplement_30x42-mainmusicvinylrecordtall_20260611_124312,rel:Hard:ShapePressure:Shape:Music:stage:object:main,Normal
319,Pressure,Hard,D_visual_middle,hard,lock,core_burst,167,161.7,20,9.71,878,direct_pure_topup_07_24_direct_polish_hard_pure_rect_core_burst_g11_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_24_direct_polish_hard_pure_rect_core_burst_g11_v03.asset,direct_polish:core_burst:g11,ok;rel:Hard:Pressure,ok
320,Normal,Normal,D_visual_middle,hard,section,stair_push,150,151.0,24,15.74,616,direct_pure_topup_10_14_direct_polish_hard_pure_rect_stair_push_g11_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_14_direct_polish_hard_pure_rect_stair_push_g11_v09.asset,direct_polish:stair_push:g11,ok;rel:Normal:Normal,ok
321,Normal,Normal,E_early_peak,normal,dense,direct_normal_111_direct_normal_,103,185.8,10,6.38,522,direct_normal_111_direct_normal_rect_outer_shell_g5_v12,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_111_direct_normal_rect_outer_shell_g5_v12.asset,asset:direct_normal_111_direct_normal_,ok;rel:Normal:Normal,ok
322,Pressure,Hard,E_early_peak,hard,lock,lock_buckle,143,147.9,23,12.61,757,direct_pure_topup_09_04_direct_polish_hard_pure_rect_lock_buckle_g14_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_04_direct_polish_hard_pure_rect_lock_buckle_g14_v06.asset,direct_polish:lock_buckle:g14,ok;rel:Normal:Normal,ok
