rank,selected,selectRank,selectStatus,bucket,type,score,levelId,path,packs,width,height,chains,tiles,coverage,aspect,outer1,outer2,maxOuterEmptyRun,holeScore,localEmpty8,centerEmpty,openers,avgChoices,minChoices,maxChoices,unlockBursts,maxUnlockBurst,keyLockSteps,firstOuter,lastOuter,endingShort,avgChain,maxChain,regionSwitches,dependencyBlocks,dependencyCycles,dependencyLayerStuck,dependencyMaxRayBlockers,edgeShort,edgeLong,maxEdgeRun,families,qualityFlags,portableValid,portableSolved,portableOpeners,portableScore,portableQuality,details
328,1,208,selected,normal,dense,142.4,direct_normal_04_direct_normal_rect_dense_weave_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_04_direct_normal_rect_dense_weave_g0_v01.asset,direct_normal_candidates,22,36,106,776,0.980,0.611,0.982,0.991,1,13.4,0.078,0.026,18,8.19,1,18,20,4,7,0.667,0.037,0.364,7.32,13,56,484,0,0,15,4,4,12,direct_normal:dense_weave:g0,ok,True,True,18,190.1,ok,type=dense; play=80.6; deps=484/0/0
329,1,209,selected,normal,sweep,142.4,direct_normal_131_direct_normal_rect_outer_shell_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_131_direct_normal_rect_outer_shell_g1_v14.asset,direct_normal_candidates,21,40,111,829,0.987,0.525,1.000,1.000,0,10.8,0.063,0.014,16,10.79,1,18,25,3,6,0.893,0.107,0.304,7.47,13,65,534,0,0,21,6,4,12,asset:direct_normal_131_direct_normal_,ok,True,True,16,192.1,ok,type=sweep; play=83.7; deps=534/0/0
330,1,210,selected,normal,dense,141.8,direct_polish_clean_12_direct_polish_normal_rect_dense_weave_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_12_direct_polish_normal_rect_dense_weave_g1_v02.asset,direct_polish_clean_candidates,20,37,118,717,0.969,0.541,0.964,0.981,1,15.3,0.078,0.036,17,11.45,1,17,22,4,9,0.633,0.167,0.458,6.08,10,62,441,0,0,16,9,1,10,direct_polish:dense_weave:g1,ok,True,True,17,189.7,ok,type=sweep; play=74.3; deps=441/0/0
331,1,211,selected,normal,dense,141.3,direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03.asset,direct_pure_normal_extra_slice01_candidates,20,32,89,630,0.984,0.625,0.990,0.990,1,10.3,0.063,0.022,15,13.01,1,24,19,4,7,0.783,0.130,0.667,7.08,13,55,277,0,0,14,3,3,13,direct_normal:dense_weave:g17,ok,True,True,15,188.8,ok,type=sweep; play=78.5; deps=277/0/0
332,1,212,selected,normal,sweep,141.1,direct_normal_45_direct_normal_rect_sweep_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_45_direct_normal_rect_sweep_g4_v05.asset,direct_normal_candidates,20,41,105,803,0.979,0.488,0.983,0.991,1,12.6,0.063,0.031,18,7.80,1,18,24,5,6,0.667,0.259,0.381,7.65,13,68,451,0,0,16,3,4,11,direct_normal:sweep:g4,ok,True,True,18,190.0,ok,type=section; play=75.2; deps=451/0/0
333,1,213,selected,normal,sweep,140.5,direct_normal_topup_24_direct_normal_topup_rect_sweep_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_24_direct_normal_topup_rect_sweep_g8_v03.asset,direct_normal_topup_candidates,21,39,109,808,0.987,0.538,1.000,0.996,0,11.9,0.063,0.011,21,8.61,1,21,21,3,5,0.893,0.107,0.273,7.41,13,60,506,0,0,13,3,6,13,direct_normal:sweep:g8,ok,True,True,21,191.9,ok,type=section; play=85.3; deps=506/0/0
334,1,214,selected,normal,lock,140.4,direct_normal_33_direct_normal_rect_lock_buckle_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_33_direct_normal_rect_lock_buckle_g3_v04.asset,direct_normal_candidates,23,39,115,880,0.981,0.590,0.992,0.983,1,12.2,0.063,0.027,20,10.01,1,20,25,3,3,0.724,0.138,0.304,7.65,13,62,540,0,0,16,3,4,13,direct_normal:lock_buckle:g3,ok,True,True,20,191.7,ok,type=sweep; play=80.0; deps=540/0/0
335,1,215,selected,normal,maze,139.9,direct_normal_150_direct_normal_rect_maze_long_chain_g2_v15,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_150_direct_normal_rect_maze_long_chain_g2_v15.asset,direct_normal_candidates,20,42,109,827,0.985,0.476,0.975,0.966,1,7.9,0.047,0.000,19,10.67,1,19,27,5,10,0.643,0.357,0.364,7.59,13,58,608,0,0,19,4,2,12,direct_normal:maze_long_chain:g2,ok,True,True,19,190.6,ok,type=sweep; play=73.8; deps=608/0/0
336,1,216,selected,normal,maze,138.9,direct_normal_80_direct_normal_rect_maze_long_chain_g1_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_80_direct_normal_rect_maze_long_chain_g1_v08.asset,direct_normal_candidates,21,41,111,844,0.980,0.512,0.983,0.987,1,13.5,0.078,0.028,20,10.94,1,20,25,4,5,0.714,0.000,0.391,7.60,13,58,473,0,0,16,3,4,12,direct_normal:maze_long_chain:g1,ok,True,True,20,190.8,ok,type=sweep; play=81.8; deps=473/0/0
337,1,217,selected,normal,lock,138.9,direct_normal_topup_76_direct_normal_topup_rect_core_burst_g9_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_76_direct_normal_topup_rect_core_burst_g9_v10.asset,direct_normal_topup_candidates,22,38,107,819,0.980,0.579,0.966,0.973,1,10.6,0.063,0.017,27,12.50,1,27,17,5,3,0.704,0.259,0.364,7.65,13,55,457,0,0,13,1,2,11,direct_normal:core_burst:g9,ok,True,True,27,189.5,ok,type=sweep; play=77.7; deps=457/0/0
338,1,218,selected,normal,lock,138.5,direct_normal_133_direct_normal_rect_lock_buckle_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_133_direct_normal_rect_lock_buckle_g1_v14.asset,direct_normal_candidates,21,39,106,804,0.982,0.538,0.966,0.982,1,12.6,0.078,0.014,25,11.70,1,25,15,4,4,0.741,0.185,0.500,7.58,13,63,386,0,0,17,3,1,10,direct_normal:lock_buckle:g1,ok,True,True,25,189.5,ok,type=sweep; play=76.9; deps=386/0/0
339,1,219,selected,normal,dense,138.0,direct_normal_topup_11_direct_normal_topup_rect_dense_weave_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_11_direct_normal_topup_rect_dense_weave_g7_v02.asset,direct_normal_topup_candidates,21,39,109,808,0.987,0.538,0.991,0.991,1,9.9,0.047,0.018,22,9.82,1,23,20,5,7,0.964,0.071,0.409,7.41,13,67,560,0,0,20,3,4,13,direct_normal:dense_weave:g7,ok,True,True,22,191.5,ok,type=sweep; play=81.4; deps=560/0/0
340,1,220,selected,normal,maze,135.5,direct_normal_60_direct_normal_rect_maze_long_chain_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_60_direct_normal_rect_maze_long_chain_g5_v06.asset,direct_normal_candidates,23,37,108,840,0.987,0.622,0.991,0.991,1,8.4,0.047,0.015,27,11.58,1,27,20,5,7,0.926,0.074,0.591,7.78,13,54,478,0,0,17,1,5,13,direct_normal:maze_long_chain:g5,ok,True,True,27,191.4,ok,type=sweep; play=81.6; deps=478/0/0
341,1,1,selected,hard,sweep,185.2,direct_pure_topup_08_24_direct_polish_hard_pure_rect_sweep_g13_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_24_direct_polish_hard_pure_rect_sweep_g13_v05.asset,direct_pure_topup_slice08_candidates,21,43,141,884,0.979,0.488,0.992,0.992,1,14.9,0.078,0.027,15,5.75,1,15,26,4,7,0.806,0.111,0.241,6.27,10,69,871,0,0,21,7,2,10,direct_polish:sweep:g13,ok,True,True,15,194.7,ok,type=dense; play=98.2; deps=871/0/0
342,1,2,selected,hard,section,185.0,direct_normal_157_direct_normal_rect_dual_zone_g3_v16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_157_direct_normal_rect_dual_zone_g3_v16.asset,direct_normal_candidates,23,41,120,924,0.980,0.561,1.000,0.988,0,13.5,0.063,0.026,15,6.15,1,15,27,3,8,0.733,0.200,0.333,7.70,13,60,631,0,0,15,5,2,10,direct_normal:dual_zone:g3,ok,True,True,15,192.6,ok,type=dense; play=96.8; deps=631/0/0
343,1,3,selected,hard,section,176.6,direct_normal_117_direct_normal_rect_dual_zone_g5_v12,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_117_direct_normal_rect_dual_zone_g5_v12.asset,direct_normal_candidates,23,40,124,910,0.989,0.575,0.992,0.996,1,10.8,0.063,0.020,24,7.13,1,24,23,4,8,0.871,0.032,0.240,7.34,13,50,631,0,0,19,2,1,10,direct_normal:dual_zone:g5,ok,True,True,24,193.5,ok,type=sweep; play=91.9; deps=631/0/0
344,1,4,selected,hard,lock,174.6,direct_pure_topup_09_06_direct_polish_hard_pure_rect_core_burst_g14_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_06_direct_polish_hard_pure_rect_core_burst_g14_v06.asset,direct_pure_topup_slice09_candidates,24,38,147,894,0.980,0.632,0.983,0.983,1,11.5,0.063,0.013,20,6.75,1,20,32,5,10,0.919,0.027,0.167,6.08,10,61,860,0,0,18,10,0,9,direct_polish:core_burst:g14,ok,True,True,20,195.1,ok,type=dense; play=87.2; deps=860/0/0
345,1,5,selected,hard,dense,172.4,direct_polish_hard_12_direct_polish_hard_rect_dense_weave_g5_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishHardCandidates/direct_polish_hard_12_direct_polish_hard_rect_dense_weave_g5_v02.asset,direct_polish_hard_candidates,23,40,151,901,0.979,0.575,0.992,0.992,1,12.6,0.063,0.030,12,7.48,1,14,34,6,10,0.605,0.000,0.097,5.97,10,61,862,0,0,22,9,1,10,direct_polish:dense_weave:g5,ok,True,True,12,195.9,ok,type=dense; play=81.1; deps=862/0/0
346,1,6,selected,hard,section,171.3,direct_polish_hard_01_direct_polish_hard_rect_section_unlock_g4_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishHardCandidates/direct_polish_hard_01_direct_polish_hard_rect_section_unlock_g4_v01.asset,direct_polish_hard_candidates,23,40,145,900,0.978,0.575,0.992,0.983,1,13.2,0.063,0.017,15,7.88,1,16,27,3,9,0.730,0.189,0.172,6.21,10,60,784,0,0,15,5,1,10,direct_polish:section_unlock:g4,ok,True,True,15,195.1,ok,type=dense; play=80.3; deps=784/0/0
347,1,7,selected,hard,section,171.1,direct_polish_hard_24_direct_polish_hard_rect_stair_push_g6_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishHardCandidates/direct_polish_hard_24_direct_polish_hard_rect_stair_push_g6_v03.asset,direct_polish_hard_candidates,24,43,165,1011,0.980,0.558,1.000,1.000,0,18.5,0.109,0.029,16,7.25,1,16,35,4,13,0.738,0.000,0.182,6.13,10,72,1201,0,0,21,8,1,10,direct_polish:stair_push:g6,ok,True,True,16,198.0,ok,type=dense; play=83.3; deps=1201/0/0
348,1,8,selected,hard,dense,171.1,direct_normal_topup_59_direct_normal_topup_rect_dense_weave_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_59_direct_normal_topup_rect_dense_weave_g7_v08.asset,direct_normal_topup_candidates,23,40,121,904,0.983,0.575,0.984,0.992,1,14.2,0.078,0.023,19,7.17,1,20,27,4,8,0.903,0.000,0.200,7.47,13,65,568,0,0,18,2,2,11,direct_normal:dense_weave:g7,ok,True,True,19,192.2,ok,type=dense; play=86.4; deps=568/0/0
349,1,9,selected,hard,maze,169.8,direct_pure_topup_09_01_direct_polish_hard_pure_rect_maze_long_chain_g13_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_01_direct_polish_hard_pure_rect_maze_long_chain_g13_v05.asset,direct_pure_topup_slice09_candidates,22,38,136,824,0.986,0.579,1.000,0.996,0,13.2,0.078,0.010,16,7.71,1,17,28,5,9,0.588,0.265,0.214,6.06,10,66,742,0,0,21,8,0,8,direct_polish:maze_long_chain:g13,ok,True,True,16,195.0,ok,type=dense; play=76.2; deps=742/0/0
350,1,10,selected,hard,section,169.3,direct_pure_topup_09_08_direct_polish_hard_pure_rect_stair_push_g14_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_08_direct_polish_hard_pure_rect_stair_push_g14_v06.asset,direct_pure_topup_slice09_candidates,21,42,144,863,0.978,0.500,0.992,0.996,1,12.6,0.063,0.028,16,7.17,1,17,34,3,7,0.750,0.083,0.103,5.99,10,68,854,0,0,21,6,2,10,direct_polish:stair_push:g14,ok,True,True,16,195.0,ok,type=dense; play=82.6; deps=854/0/0
351,1,11,selected,hard,maze,168.9,direct_polish_clean_18_direct_polish_normal_rect_maze_long_chain_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_18_direct_polish_normal_rect_maze_long_chain_g1_v02.asset,direct_polish_clean_candidates,22,37,129,793,0.974,0.595,0.982,0.982,1,16.5,0.094,0.026,13,8.55,1,13,26,4,10,0.818,0.061,0.462,6.15,10,63,593,0,0,17,7,1,10,direct_polish:maze_long_chain:g1,ok,True,True,13,192.4,ok,type=lock; play=80.1; deps=593/0/0
352,1,12,selected,hard,section,168.4,direct_polish_clean_15_direct_polish_normal_rect_stair_push_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_15_direct_polish_normal_rect_stair_push_g1_v02.asset,direct_polish_clean_candidates,23,40,147,906,0.985,0.575,0.967,0.979,1,8.2,0.047,0.007,18,8.84,1,18,31,4,11,0.784,0.243,0.200,6.16,10,73,844,0,0,21,8,0,9,direct_polish:stair_push:g1,ok,True,True,18,194.8,ok,type=lock; play=77.2; deps=844/0/0
353,1,13,selected,hard,maze,167.1,direct_pure_topup_08_05_direct_polish_hard_pure_rect_maze_long_chain_g11_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_05_direct_polish_hard_pure_rect_maze_long_chain_g11_v03.asset,direct_pure_topup_slice08_candidates,23,39,146,885,0.987,0.590,1.000,0.991,0,10.0,0.047,0.020,17,8.98,1,17,23,4,10,0.757,0.162,0.267,6.06,10,77,814,0,0,17,11,1,10,direct_polish:maze_long_chain:g11,ok,True,True,17,196.3,ok,type=lock; play=78.5; deps=814/0/0
354,1,14,selected,hard,section,167.0,direct_pure_topup_10_09_direct_polish_hard_pure_rect_section_unlock_g11_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_09_direct_polish_hard_pure_rect_section_unlock_g11_v09.asset,direct_pure_topup_slice10_candidates,22,41,148,888,0.984,0.537,0.984,0.987,1,12.3,0.063,0.013,17,11.69,1,17,29,4,9,0.622,0.162,0.333,6.00,10,66,817,0,0,18,9,0,9,direct_polish:section_unlock:g11,ok,True,True,17,195.6,ok,type=sweep; play=75.4; deps=817/0/0
355,1,15,selected,hard,lock,166.0,direct_polish_clean_13_direct_polish_normal_rect_core_burst_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_13_direct_polish_normal_rect_core_burst_g1_v02.asset,direct_polish_clean_candidates,21,40,135,818,0.974,0.525,0.992,0.987,1,15.8,0.078,0.033,14,13.61,1,23,35,4,10,0.647,0.235,0.481,6.06,10,81,688,0,0,20,7,0,9,direct_polish:core_burst:g1,ok,True,True,14,193.5,ok,type=sweep; play=71.9; deps=688/0/0
356,1,16,selected,hard,section,165.6,direct_pure_topup_08_13_direct_polish_hard_pure_rect_quasi_symmetry_g12_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_13_direct_polish_hard_pure_rect_quasi_symmetry_g12_v04.asset,direct_pure_topup_slice08_candidates,23,38,141,854,0.977,0.605,0.992,0.987,1,18.5,0.109,0.024,18,9.43,1,19,28,4,8,0.750,0.139,0.310,6.06,10,63,683,0,0,14,12,0,9,direct_polish:quasi_symmetry:g12,ok,True,True,18,194.5,ok,type=lock; play=78.1; deps=683/0/0
357,1,17,selected,hard,lock,165.4,direct_pure_topup_09_22_direct_polish_hard_pure_rect_outer_shell_g9_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_22_direct_polish_hard_pure_rect_outer_shell_g9_v07.asset,direct_pure_topup_slice09_candidates,22,39,134,837,0.976,0.564,0.983,0.982,1,16.2,0.078,0.020,20,9.34,1,21,26,5,11,0.706,0.088,0.222,6.25,10,72,678,0,0,20,9,0,9,asset:direct_pure_topup_09_22_direct_p,ok,True,True,20,193.1,ok,type=lock; play=78.6; deps=678/0/0
358,1,18,selected,hard,dense,165.3,direct_polish_clean_03_direct_polish_normal_rect_dense_weave_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_03_direct_polish_normal_rect_dense_weave_g0_v01.asset,direct_polish_clean_candidates,22,36,127,778,0.982,0.611,1.000,0.986,0,10.4,0.047,0.018,19,9.58,1,19,26,4,5,0.750,0.094,0.346,6.13,10,68,543,0,0,17,8,2,10,direct_polish:dense_weave:g0,ok,True,True,19,193.6,ok,type=sweep; play=80.6; deps=543/0/0
359,1,19,selected,hard,section,164.5,direct_polish_clean_14_direct_polish_normal_rect_dual_zone_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_14_direct_polish_normal_rect_dual_zone_g1_v02.asset,direct_polish_clean_candidates,22,37,134,806,0.990,0.595,0.991,0.991,1,6.6,0.031,0.011,20,10.69,1,20,28,6,9,0.824,0.265,0.481,6.01,10,71,604,0,0,15,9,0,9,direct_polish:dual_zone:g1,ok,True,True,20,194.8,ok,type=sweep; play=75.2; deps=604/0/0
360,1,20,selected,hard,sweep,164.4,direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09.asset,direct_pure_topup_slice10_candidates,21,38,126,777,0.974,0.553,0.991,0.973,1,13.5,0.063,0.011,20,10.44,1,20,30,4,7,0.875,0.250,0.231,6.17,10,71,567,0,0,16,11,0,8,asset:direct_pure_topup_10_18_direct_p,ok,True,True,20,192.4,ok,type=sweep; play=78.3; deps=567/0/0
361,1,21,selected,hard,section,164.3,direct_polish_clean_10_direct_polish_normal_rect_section_unlock_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_10_direct_polish_normal_rect_section_unlock_g1_v02.asset,direct_polish_clean_candidates,22,37,126,795,0.977,0.595,0.991,0.986,1,14.5,0.078,0.015,18,7.56,1,18,30,4,12,0.781,0.000,0.231,6.31,10,66,616,0,0,14,11,2,10,direct_polish:section_unlock:g1,ok,True,True,18,192.6,ok,type=dense; play=81.3; deps=616/0/0
362,1,22,selected,hard,sweep,163.8,direct_normal_75_direct_normal_rect_sweep_g1_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_75_direct_normal_rect_sweep_g1_v08.asset,direct_normal_candidates,23,40,120,901,0.979,0.575,0.975,0.975,1,13.6,0.063,0.027,20,7.76,1,20,27,3,7,0.833,0.100,0.292,7.51,13,69,573,0,0,14,3,3,11,direct_normal:sweep:g1,ok,True,True,20,191.4,ok,type=dense; play=84.0; deps=573/0/0
363,1,23,selected,hard,maze,163.6,direct_pure_topup_10_07_direct_polish_hard_pure_rect_maze_long_chain_g10_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_07_direct_polish_hard_pure_rect_maze_long_chain_g10_v08.asset,direct_pure_topup_slice10_candidates,23,40,152,902,0.980,0.575,0.992,0.987,1,11.5,0.063,0.013,14,11.55,1,19,31,4,12,0.605,0.132,0.419,5.93,10,71,676,0,0,20,9,1,10,direct_polish:maze_long_chain:g10,ok,True,True,14,196.1,ok,type=sweep; play=74.3; deps=676/0/0
364,1,24,selected,hard,dense,163.5,direct_pure_topup_08_19_direct_polish_hard_pure_rect_dense_weave_g13_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_19_direct_polish_hard_pure_rect_dense_weave_g13_v05.asset,direct_pure_topup_slice08_candidates,21,40,135,828,0.986,0.525,0.983,0.982,1,11.1,0.063,0.018,16,7.65,1,16,31,5,9,0.676,0.206,0.370,6.13,10,70,755,0,0,18,11,1,10,direct_polish:dense_weave:g13,ok,True,True,16,194.2,ok,type=section; play=74.5; deps=755/0/0
365,1,25,selected,hard,lock,163.3,direct_pure_topup_10_02_direct_polish_hard_pure_rect_core_burst_g10_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_02_direct_polish_hard_pure_rect_core_burst_g10_v08.asset,direct_pure_topup_slice10_candidates,23,44,163,997,0.985,0.523,1.000,1.000,0,13.6,0.078,0.018,13,7.93,1,14,35,6,10,0.634,0.122,0.424,6.12,10,82,896,0,0,25,11,1,10,direct_polish:core_burst:g10,ok,True,True,13,198.2,ok,type=dense; play=74.9; deps=896/0/0
366,1,26,selected,hard,dense,163.1,direct_pure_topup_10_21_direct_polish_hard_pure_rect_dense_weave_g12_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_21_direct_polish_hard_pure_rect_dense_weave_g12_v10.asset,direct_pure_topup_slice10_candidates,21,41,135,836,0.971,0.512,0.983,0.970,1,13.3,0.063,0.024,23,9.76,1,23,31,4,8,0.618,0.029,0.370,6.19,10,65,646,0,0,19,6,0,9,direct_polish:dense_weave:g12,ok,True,True,23,192.8,ok,type=sweep; play=78.0; deps=646/0/0
367,1,27,selected,hard,section,163.1,direct_pure_topup_09_03_direct_polish_hard_pure_rect_section_unlock_g14_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_03_direct_polish_hard_pure_rect_section_unlock_g14_v06.asset,direct_pure_topup_slice09_candidates,21,39,130,804,0.982,0.538,0.983,0.982,1,13.3,0.063,0.025,23,9.15,1,23,26,4,12,0.727,0.000,0.346,6.18,10,66,601,0,0,18,10,0,9,direct_polish:section_unlock:g14,ok,True,True,23,193.2,ok,type=lock; play=79.8; deps=601/0/0
368,1,28,selected,hard,sweep,163.0,direct_normal_115_direct_normal_rect_sweep_g5_v12,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_115_direct_normal_rect_sweep_g5_v12.asset,direct_normal_candidates,23,42,120,946,0.979,0.548,0.952,0.967,1,12.9,0.063,0.013,15,11.94,1,18,30,3,7,0.567,0.267,0.542,7.88,15,59,517,0,0,16,9,0,7,direct_normal:sweep:g5,ok,True,True,15,190.4,ok,type=sweep; play=70.5; deps=517/0/0
369,1,29,selected,hard,section,163.0,direct_polish_clean_23_direct_polish_normal_rect_dual_zone_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_23_direct_polish_normal_rect_dual_zone_g2_v03.asset,direct_polish_clean_candidates,20,38,120,743,0.978,0.526,0.991,0.963,1,12.4,0.063,0.023,21,12.86,1,22,22,4,6,0.667,0.233,0.417,6.19,10,63,564,0,0,19,6,0,9,direct_polish:dual_zone:g2,ok,True,True,21,192.0,ok,type=sweep; play=75.1; deps=564/0/0
370,1,30,selected,hard,lock,162.9,direct_pure_topup_07_02_direct_polish_hard_pure_rect_lock_buckle_g9_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_02_direct_polish_hard_pure_rect_lock_buckle_g9_v01.asset,direct_pure_topup_slice07_candidates,23,42,154,943,0.976,0.548,0.976,0.988,1,14.4,0.078,0.013,25,15.40,1,25,33,4,10,0.744,0.051,0.355,6.12,10,72,617,0,0,16,5,0,9,direct_polish:lock_buckle:g9,ok,True,True,25,195.3,ok,type=sweep; play=79.5; deps=617/0/0
371,1,31,selected,hard,sweep,162.8,direct_polish_clean_08_direct_polish_normal_rect_sweep_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_08_direct_polish_normal_rect_sweep_g0_v01.asset,direct_polish_clean_candidates,23,39,137,878,0.979,0.590,0.992,0.991,1,15.1,0.078,0.030,17,8.78,1,17,32,3,6,0.600,0.171,0.250,6.41,10,70,658,0,0,15,10,1,10,direct_polish:sweep:g0,ok,True,True,17,194.2,ok,type=lock; play=75.1; deps=658/0/0
372,1,32,selected,hard,dense,162.8,direct_polish_clean_21_direct_polish_normal_rect_dense_weave_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_21_direct_polish_normal_rect_dense_weave_g2_v03.asset,direct_polish_clean_candidates,22,38,136,821,0.982,0.579,0.991,0.991,1,10.4,0.047,0.017,20,10.60,1,21,24,4,10,0.706,0.059,0.357,6.04,10,67,569,0,0,17,8,1,10,direct_polish:dense_weave:g2,ok,True,True,20,194.3,ok,type=sweep; play=78.8; deps=569/0/0
373,1,33,selected,hard,maze,162.7,direct_pure_topup_09_11_direct_polish_hard_pure_rect_maze_long_chain_g14_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_11_direct_polish_hard_pure_rect_maze_long_chain_g14_v06.asset,direct_pure_topup_slice09_candidates,24,41,161,963,0.979,0.585,0.984,0.980,1,15.7,0.078,0.018,19,10.63,1,19,37,4,10,0.634,0.000,0.273,5.98,10,83,849,0,0,21,9,1,10,direct_polish:maze_long_chain:g14,ok,True,True,19,196.7,ok,type=sweep; play=77.0; deps=849/0/0
374,1,34,selected,hard,section,162.3,direct_pure_topup_10_03_direct_polish_hard_pure_rect_dual_zone_g10_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_03_direct_polish_hard_pure_rect_dual_zone_g10_v08.asset,direct_pure_topup_slice10_candidates,24,39,146,910,0.972,0.615,0.975,0.979,1,16.4,0.078,0.040,21,7.03,1,21,32,4,6,0.649,0.000,0.300,6.23,10,66,726,0,0,14,13,1,10,direct_polish:dual_zone:g10,ok,True,True,21,193.9,ok,type=dense; play=82.0; deps=726/0/0
