order,bucket,bucketRank,type,score,levelId,path,packs,width,height,chains,coverage,outer1,openers,avgChoices,unlockBursts,dependencyBlocks,families,qualityFlags,portableSolved,portableScore,portableQuality,order_i,chains_i,score_f,openers_i,avgChoices_f,dep_i,_style,_pressure,slotRole,relativeDifficulty,template,styleKey,pressureScore
255,normal,51,dense,172.9,direct_normal_61_direct_normal_rect_outer_shell_g0_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_61_direct_normal_rect_outer_shell_g0_v07.asset,direct_normal_candidates,22,39,116,0.987,0.983,18,6.34,24,557,asset:direct_normal_61_direct_normal_r,ok;rel:Normal:Normal,True,192.0,ok,255,116,172.9,18,6.34,557,direct_normal_61_direct_normal_r,130.00500000000002,Pressure,Hard,D_visual_middle,direct_normal_61_direct_normal_r,130.0
256,normal,139,section,157.4,direct_normal_147_direct_normal_rect_dual_zone_g2_v15,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_147_direct_normal_rect_dual_zone_g2_v15.asset,direct_normal_candidates,22,39,114,0.983,0.992,21,8.98,26,539,direct_normal:dual_zone:g2,ok,True,191.7,ok,256,114,157.4,21,8.98,539,dual_zone,115.633,Recovery,Recovery,D_visual_middle,dual_zone,115.6
257,normal,134,shape_space,307,r2_outer_strong_005_r2_006_a401_procmask_supp_01_onion_maskfinalsupplement_30x42-mainspacesaturnicontall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_01_onion_maskfinalsupplement_30x42-mainspacesaturnicontall_20260611_124212.asset,shape_final_with_supplement,30,42,111,0.979,,16,13.76,,12,shape:Space:sci-fi:vehicle:procmask_supp_01_onion_maskfinalsupplement_30x42-mainspacesaturnicontall_20260611_124212,rel:Hard:ShapePressure:Shape:Space:sci-fi:vehicle:main,True,307,Normal,257,111,307.0,16,13.76,12,Space,119.51199999999997,Shape,Novelty,D_visual_middle,Space,119.5
258,normal,88,lock,165.4,direct_normal_86_direct_normal_rect_core_burst_g2_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_86_direct_normal_rect_core_burst_g2_v09.asset,direct_normal_candidates,22,37,114,0.985,1.000,18,7.69,25,531,direct_normal:core_burst:g2,ok;rel:Normal:Normal,True,192.4,ok,258,114,165.4,18,7.69,531,core_burst,123.31500000000001,Normal,Normal,D_visual_middle,core_burst,123.3
259,normal,23,dense,185.8,direct_normal_111_direct_normal_rect_outer_shell_g5_v12,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_111_direct_normal_rect_outer_shell_g5_v12.asset,direct_normal_candidates,23,36,103,0.978,1.000,10,6.38,20,522,asset:direct_normal_111_direct_normal_,ok;rel:Normal:Normal,True,190.4,ok,259,103,185.8,10,6.38,522,direct_normal_111_direct_normal_,129.23000000000002,Pressure,Hard,D_visual_middle,direct_normal_111_direct_normal_,129.2
260,hard,77,lock,154.3,direct_polish_clean_02_direct_polish_normal_rect_lock_buckle_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_02_direct_polish_normal_rect_lock_buckle_g0_v01.asset,direct_polish_clean_candidates,21,39,130,0.977,0.974,21,13.09,23,506,direct_polish:lock_buckle:g0,ok,True,192.3,ok,260,130,154.3,21,13.09,506,lock_buckle,122.522,Normal,Normal,D_visual_middle,lock_buckle,122.5
261,hard,20,sweep,164.4,direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09.asset,direct_pure_topup_slice10_candidates,21,38,126,0.974,0.991,20,10.44,30,567,asset:direct_pure_topup_10_18_direct_p,ok,True,192.4,ok,261,126,164.4,20,10.44,567,direct_pure_topup_10_18_direct_p,128.64499999999998,Normal,Normal,E_early_peak,direct_pure_topup_10_18_direct_p,128.6
262,normal,49,section,173.0,direct_normal_19_direct_normal_rect_quasi_symmetry_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_19_direct_normal_rect_quasi_symmetry_g1_v02.asset,direct_normal_candidates,21,39,110,0.979,0.974,16,6.66,25,632,direct_normal:quasi_symmetry:g1,ok;rel:Normal:Normal,True,190.2,ok,262,110,173.0,16,6.66,632,quasi_symmetry,128.87199999999999,Pressure,Hard,E_early_peak,quasi_symmetry,128.9
263,normal,64,shape_ocean,301,r2_outer_strong_005_r2_006_a401_procmask_64_onion_maskproceduralvertical_28x44-mainoceanseaweedtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_64_onion_maskproceduralvertical_28x44-mainoceanseaweedtall_20260611_111225.asset,shape_final_with_supplement,28,44,110,0.983,,15,12.9,,12.5,shape:Ocean:shoreline:object:procmask_64_onion_maskproceduralvertical_28x44-mainoceanseaweedtall_20260611_111225,rel:Novelty:ShapeVisual:Shape:Ocean:shoreline:object:main,True,301,Normal,263,110,301.0,15,12.9,12,Ocean,120.38,Shape,Novelty,E_early_peak,Ocean,120.4
264,hard,90,lock,150.4,direct_pure_topup_09_16_direct_polish_hard_pure_rect_core_burst_g9_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_16_direct_polish_hard_pure_rect_core_burst_g9_v07.asset,direct_pure_topup_slice09_candidates,21,41,132,0.964,0.975,25,10.59,26,548,direct_polish:core_burst:g9,ok,True,191.5,ok,264,132,150.4,25,10.59,548,core_burst,124.19000000000001,Normal,Normal,E_early_peak,core_burst,124.2
265,hard,84,section,152.1,direct_polish_clean_24_direct_polish_normal_rect_stair_push_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_24_direct_polish_normal_rect_stair_push_g2_v03.asset,direct_polish_clean_candidates,21,41,139,0.974,0.983,27,12.78,34,543,direct_polish:stair_push:g2,ok;rel:Normal:Normal,True,193.6,too-open,265,139,152.1,27,12.78,543,stair_push,124.57899999999998,Recovery,Recovery,E_early_peak,stair_push,124.6
266,hard,13,maze,167.1,direct_pure_topup_08_05_direct_polish_hard_pure_rect_maze_long_chain_g11_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_05_direct_polish_hard_pure_rect_maze_long_chain_g11_v03.asset,direct_pure_topup_slice08_candidates,23,39,146,0.987,1.000,17,8.98,23,814,direct_polish:maze_long_chain:g11,ok;rel:Normal:Normal,True,196.3,ok,266,146,167.1,17,8.98,814,maze_long_chain,164.60400000000004,Peak,VeryHard,E_early_peak,maze_long_chain,164.6
267,normal,52,hole_rescue,259,hole_proc_standard_24x30_mid_922505_24x30_c82,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x30_mid_922505_24x30_c82.asset,hole_procedural_candidates,24,30,82,0.9,,76,76,,39.9,hole_procedural:standard_24x30_mid,procedural_hole_standard,True,259,procedural_hole_standard,267,82,259.0,76,76.0,39,standard_24x30_mid,-113.21499999999999,HoleRescue,Mechanic,E_early_peak,standard_24x30_mid,-113.2
268,normal,146,shape_toolui,295,r2_outer_strong_005_r2_006_a401_procmask_supp_13_long_maskfinalsupplement_30x42-mainuicameratall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_13_long_maskfinalsupplement_30x42-mainuicameratall_20260611_124359.asset,shape_final_with_supplement,30,42,115,0.983,,16,13.76,,12.6,shape:ToolUI:digital-tools:object:procmask_supp_13_long_maskfinalsupplement_30x42-mainuicameratall_20260611_124359,rel:Normal:ShapeNormal:Shape:ToolUI:digital-tools:object:main,True,295,Normal,268,115,295.0,16,13.76,12,ToolUI,121.35199999999998,Shape,Novelty,E_early_peak,ToolUI,121.4
269,hard,81,section,127,direct_pure_topup_09_17_direct_polish_hard_pure_rect_dual_zone_g9_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_17_direct_polish_hard_pure_rect_dual_zone_g9_v07.asset,direct_pure_topup_slice09_candidates,22,43,150,0.983,0.992,33,14.68,26,723,direct_polish:dual_zone:g9,too-open|yellow_replacement:GrindyLowClear,True,195,too-open,269,150,127.0,33,14.68,723,dual_zone,125.54100000000003,Recovery,Recovery,E_early_peak,dual_zone,125.5
270,normal,12,sweep,196.7,direct_normal_25_direct_normal_rect_sweep_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_25_direct_normal_rect_sweep_g2_v03.asset,direct_normal_candidates,22,37,107,0.988,0.991,15,5.79,24,579,direct_normal:sweep:g2,ok;rel:Normal:Normal,True,191.3,ok,270,107,196.7,15,5.79,579,sweep,131.249,Normal,Normal,E_early_peak,sweep,131.2
271,hard,88,section,150.8,direct_polish_clean_06_direct_polish_normal_rect_stair_push_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_06_direct_polish_normal_rect_stair_push_g0_v01.asset,direct_polish_clean_candidates,21,39,133,0.980,0.983,22,13.05,24,537,direct_polish:stair_push:g0,ok;rel:Hard:Pressure,True,193.4,ok,271,133,150.8,22,13.05,537,stair_push,124.649,Recovery,Recovery,A_peak9,stair_push,124.6
272,hard,78,lock,153.8,direct_normal_136_direct_normal_rect_core_burst_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_136_direct_normal_rect_core_burst_g1_v14.asset,direct_normal_candidates,23,41,126,0.982,0.984,17,9.56,24,533,direct_normal:core_burst:g1,ok,True,192.8,ok,272,126,153.8,17,9.56,533,core_burst,131.331,Normal,Normal,A_peak9,core_burst,131.3
273,normal,147,shape_toolui,305,r2_outer_strong_005_r2_006_a401_procmask_supp_14_onion_maskfinalsupplement_30x42-mainuichatbubbletall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_14_onion_maskfinalsupplement_30x42-mainuichatbubbletall_20260611_124400.asset,shape_final_with_supplement,30,42,114,0.976,,16,13.76,,12.5,shape:ToolUI:digital-tools:object:procmask_supp_14_onion_maskfinalsupplement_30x42-mainuichatbubbletall_20260611_124400,rel:Novelty:ShapeVisual:Shape:ToolUI:digital-tools:object:main,True,305,Normal,273,114,305.0,16,13.76,12,ToolUI,122.15199999999999,Shape,Novelty,A_peak9,ToolUI,122.2
274,extreme,1,maze,127.7,direct_polish_extreme_long_02_direct_polish_extreme_rect_long_corridor_g9_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishExtremeLongCandidates/direct_polish_extreme_long_02_direct_polish_extreme_rect_long_corridor_g9_v01.asset,direct_polish_extreme_long_candidates,36,61,347,0.978,0.984,19,12.62,84,2802,direct_polish:long_corridor:g9,ok;rel:RelativeExtreme:Peak,True,212.3,ok,274,347,127.7,19,12.62,2802,long_corridor,418.73999999999995,Pressure,Hard,A_peak9,long_corridor,418.7
275,hard,91,dense,150.1,direct_pure_topup_10_11_direct_polish_hard_pure_rect_dense_weave_g11_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_11_direct_polish_hard_pure_rect_dense_weave_g11_v09.asset,direct_pure_topup_slice10_candidates,24,38,145,0.978,0.983,27,14.78,30,661,direct_polish:dense_weave:g11,ok,True,194.7,too-open,275,145,150.1,27,14.78,661,dense_weave,130.74900000000002,Recovery,Recovery,A_peak9,dense_weave,130.7
276,normal,55,sweep,172.2,direct_normal_105_direct_normal_rect_sweep_g4_v11,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_105_direct_normal_rect_sweep_g4_v11.asset,direct_normal_candidates,22,40,115,0.984,0.975,18,6.61,23,661,direct_normal:sweep:g4,ok,True,191.2,ok,276,115,172.2,18,6.61,661,sweep,132.033,Normal,Normal,A_peak9,sweep,132.0
277,normal,143,shape_toolui,303,r2_outer_strong_005_r2_006_a401_procmask_supp_10_long_maskfinalsupplement_28x42-maintoolbatterytall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_10_long_maskfinalsupplement_28x42-maintoolbatterytall_20260611_124334.asset,shape_final_with_supplement,28,42,118,0.984,,17,14.62,,12.4,shape:ToolUI:digital-tools:object:procmask_supp_10_long_maskfinalsupplement_28x42-maintoolbatterytall_20260611_124334,rel:Hard:ShapePressure:Shape:ToolUI:digital-tools:object:main,True,303,Normal,277,118,303.0,17,14.62,12,ToolUI,122.84399999999997,Shape,Novelty,A_peak9,ToolUI,122.8
278,extreme,2,section,119.0,direct_advanced_60_direct_advanced_extreme_rect_dual_zone_g5_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_60_direct_advanced_extreme_rect_dual_zone_g5_v02.asset,direct_advanced_candidates,34,58,318,0.976,0.989,26,9.07,77,2770,direct_advanced:dual_zone:g5,ok;rel:RelativeExtreme:Peak,True,212.3,ok,278,318,119.0,26,9.07,2770,dual_zone,383.644,Pressure,Hard,A_peak9,dual_zone,383.6
279,very_hard,4,lock,148.1,direct_polish_hard_22_direct_polish_hard_rect_core_burst_g6_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishHardCandidates/direct_polish_hard_22_direct_polish_hard_rect_core_burst_g6_v03.asset,direct_polish_hard_candidates,27,45,189,0.979,1.000,17,9.05,41,1115,direct_polish:core_burst:g6,ok;rel:VeryHard:Peak,True,200.8,ok,279,189,148.1,17,9.05,1115,core_burst,214.593,Peak,VeryHard,A_peak9,core_burst,214.6
280,hard,8,dense,171.1,direct_normal_topup_59_direct_normal_topup_rect_dense_weave_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_59_direct_normal_topup_rect_dense_weave_g7_v08.asset,direct_normal_topup_candidates,23,40,121,0.983,0.984,19,7.17,27,568,direct_normal:dense_weave:g7,ok;rel:Normal:Normal,True,192.2,ok,280,121,171.1,19,7.17,568,dense_weave,132.172,Normal,Normal,A_peak9,dense_weave,132.2
281,hard,108,sweep,141.3,direct_pure_topup_10_08_direct_polish_hard_pure_rect_outer_shell_g10_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_08_direct_polish_hard_pure_rect_outer_shell_g10_v08.asset,direct_pure_topup_slice10_candidates,24,42,158,0.985,0.984,32,16.29,30,745,asset:direct_pure_topup_10_08_direct_p,too-open;rel:Normal:Normal,True,196.9,too-open,281,158,141.3,32,16.29,745,direct_pure_topup_10_08_direct_p,135.387,Recovery,Recovery,F_chapter_breath,direct_pure_topup_10_08_direct_p,135.4
282,normal,143,section,156.6,direct_normal_topup_41_direct_normal_topup_rect_section_unlock_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_41_direct_normal_topup_rect_section_unlock_g11_v06.asset,direct_normal_topup_candidates,23,39,115,0.980,0.975,18,8.23,17,579,direct_normal:section_unlock:g11,ok,True,190.9,ok,282,115,156.6,18,8.23,579,section_unlock,123.43899999999998,Normal,Normal,F_chapter_breath,section_unlock,123.4
283,shape,83,shape_magic,313,r2_outer_strong_005_r2_006_a401_procmask_87_onion_maskproceduralvertical_34x50-transitionmagicbroomtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_87_onion_maskproceduralvertical_34x50-transitionmagicbroomtall_20260611_111404.asset,shape_final_with_supplement,34,50,118,0.508,,17,14.62,,0.186,shape:Magic:SpecialShape,NoRisk|yellow_replacement:StartFakeWide|BottleneckHeavy,True,313,Normal,283,118,313.0,17,14.62,0,Magic,124.22400000000002,Shape,Novelty,F_chapter_breath,Magic,124.2
284,very_hard,2,section,151.9,direct_advanced_28_direct_advanced_veryhard_rect_dual_zone_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_28_direct_advanced_veryhard_rect_dual_zone_g3_v04.asset,direct_advanced_candidates,28,48,216,0.986,1.000,17,8.00,44,1573,direct_advanced:dual_zone:g3,ok;rel:VeryHard:Peak,True,204.6,ok,284,216,151.9,17,8.0,1573,dual_zone,260.197,Pressure,Hard,F_chapter_breath,dual_zone,260.2
285,hard,60,sweep,158.9,direct_pure_topup_10_06_direct_polish_hard_pure_rect_sweep_g10_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_06_direct_polish_hard_pure_rect_sweep_g10_v08.asset,direct_pure_topup_slice10_candidates,22,38,130,0.965,0.983,22,9.25,29,564,direct_polish:sweep:g10,ok,True,191.7,ok,285,130,158.9,22,9.25,564,sweep,130.89200000000002,Normal,Normal,F_chapter_breath,sweep,130.9
286,very_hard,3,lock,150.7,direct_advanced_03_direct_advanced_veryhard_rect_core_burst_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_03_direct_advanced_veryhard_rect_core_burst_g0_v01.asset,direct_advanced_candidates,28,46,207,0.980,1.000,19,9.70,41,1370,direct_advanced:core_burst:g0,ok;rel:RelativeExtreme:Peak,True,203.0,ok,286,207,150.7,19,9.7,1370,core_burst,238.01600000000002,Peak,VeryHard,F_chapter_breath,core_burst,238.0
287,hard,110,sweep,139.8,direct_pure_topup_08_06_direct_polish_hard_pure_rect_outer_shell_g11_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_06_direct_polish_hard_pure_rect_outer_shell_g11_v03.asset,direct_pure_topup_slice08_candidates,24,41,155,0.979,0.960,29,14.90,34,753,asset:direct_pure_topup_08_06_direct_p,too-open;rel:Normal:Normal,True,194.9,too-open,287,155,139.8,29,14.9,753,direct_pure_topup_08_06_direct_p,139.09900000000002,Recovery,Recovery,F_chapter_breath,direct_pure_topup_08_06_direct_p,139.1
288,normal,96,shape_ocean,307,r2_outer_strong_005_r2_006_a401_procmask_98_long_maskproceduralvertical_32x44-maindistinctoctopustall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_98_long_maskproceduralvertical_32x44-maindistinctoctopustall_20260611_111458.asset,shape_final_with_supplement,32,44,119,0.989,,17,14.62,,12.6,shape:Ocean:sea-creature:creature:procmask_98_long_maskproceduralvertical_32x44-maindistinctoctopustall_20260611_111458,rel:VeryHard:ShapePeak:Shape:Ocean:sea-creature:creature:main,True,307,Normal,288,119,307.0,17,14.62,12,Ocean,124.564,Shape,Novelty,F_chapter_breath,Ocean,124.6
289,hard,18,dense,165.3,direct_polish_clean_03_direct_polish_normal_rect_dense_weave_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_03_direct_polish_normal_rect_dense_weave_g0_v01.asset,direct_polish_clean_candidates,22,36,127,0.982,1.000,19,9.58,26,543,direct_polish:dense_weave:g0,ok,True,193.6,ok,289,127,165.3,19,9.58,543,dense_weave,131.915,Normal,Normal,F_chapter_breath,dense_weave,131.9
290,hard,82,lock,152.4,direct_polish_clean_11_direct_polish_normal_rect_lock_buckle_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_11_direct_polish_normal_rect_lock_buckle_g1_v02.asset,direct_polish_clean_candidates,23,40,146,0.977,0.984,27,12.73,30,719,direct_polish:lock_buckle:g1,ok,True,194.7,too-open,290,146,152.4,27,12.73,719,lock_buckle,137.88299999999998,Normal,Normal,F_chapter_breath,lock_buckle,137.9
291,hard,106,sweep,145.4,direct_pure_topup_09_10_direct_polish_hard_pure_rect_sweep_g14_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_10_direct_polish_hard_pure_rect_sweep_g14_v06.asset,direct_pure_topup_slice09_candidates,23,39,141,0.983,1.000,23,11.78,26,669,direct_polish:sweep:g14,ok;rel:Normal:Normal,True,195.4,ok,291,141,145.4,23,11.78,669,sweep,137.183,Recovery,Recovery,B_peak7_end_calm,sweep,137.2
292,normal,69,hole_rescue,265,hole_proc_standard_23x28_mid_920413_23x28_c81,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_23x28_mid_920413_23x28_c81.asset,hole_procedural_candidates,23,28,81,0.888,,72,72,,44.2,hole_procedural:standard_23x28_mid,procedural_hole_standard,True,265,procedural_hole_standard,292,81,265.0,72,72.0,44,standard_23x28_mid,-100.16000000000001,HoleRescue,Mechanic,B_peak7_end_calm,standard_23x28_mid,-100.2
293,normal,68,shape_ocean,314,r2_outer_strong_005_r2_006_a401_procmask_69_onion_maskproceduralvertical_34x48-transitionoceandivingmasktall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_69_onion_maskproceduralvertical_34x48-transitionoceandivingmasktall_20260611_111253.asset,shape_final_with_supplement,34,48,118,0.972,,17,14.62,,12.4,shape:Ocean:diving-gear:equipment:procmask_69_onion_maskproceduralvertical_34x48-transitionoceandivingmasktall_20260611_111253,rel:Normal:ShapeNormal:Shape:Ocean:diving-gear:equipment:transition,True,314,Normal,293,118,314.0,17,14.62,12,Ocean,124.82399999999998,Shape,Novelty,B_peak7_end_calm,Ocean,124.8
294,very_hard,18,dense,136.8,direct_advanced_10_direct_advanced_veryhard_rect_dense_weave_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_10_direct_advanced_veryhard_rect_dense_weave_g1_v02.asset,direct_advanced_candidates,27,48,205,0.973,0.993,18,10.39,43,1275,direct_advanced:dense_weave:g1,ok;rel:VeryHard:Peak,True,201.9,ok,294,205,136.8,18,10.39,1275,dense_weave,230.34700000000004,Pressure,Hard,B_peak7_end_calm,dense_weave,230.3
295,hard,79,maze,153.6,direct_pure_topup_09_21_direct_polish_hard_pure_rect_maze_long_chain_g9_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_21_direct_polish_hard_pure_rect_maze_long_chain_g9_v07.asset,direct_pure_topup_slice09_candidates,21,44,148,0.979,1.000,29,10.66,26,622,direct_polish:maze_long_chain:g9,too-open;rel:Normal:Normal,True,195.9,too-open,295,148,153.6,29,10.66,622,maze_long_chain,137.63,Recovery,Recovery,B_peak7_end_calm,maze_long_chain,137.6
296,normal,104,section,162.4,direct_normal_18_direct_normal_rect_stair_push_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_18_direct_normal_rect_stair_push_g1_v02.asset,direct_normal_candidates,23,36,114,0.983,0.991,17,8.20,29,556,direct_normal:stair_push:g1,ok,True,191.8,ok,296,114,162.4,17,8.2,556,stair_push,124.13199999999999,Normal,Normal,B_peak7_end_calm,stair_push,124.1
297,hard,25,lock,163.3,direct_pure_topup_10_02_direct_polish_hard_pure_rect_core_burst_g10_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_02_direct_polish_hard_pure_rect_core_burst_g10_v08.asset,direct_pure_topup_slice10_candidates,23,44,163,0.985,1.000,13,7.93,35,896,direct_polish:core_burst:g10,ok;rel:VeryHard:Peak,True,198.2,ok,297,163,163.3,13,7.93,896,core_burst,191.28000000000003,Peak,VeryHard,B_peak7_end_calm,core_burst,191.3
298,normal,118,shape_landmark,314,r2_outer_strong_005_r2_006_a401_procmask_125_onion_maskproceduralvertical_34x50-transitionwidelandmark01tall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_125_onion_maskproceduralvertical_34x50-transitionwidelandmark01tall_20260611_111830.asset,shape_final_with_supplement,34,50,119,0.976,,17,14.62,,12.6,shape:Landmark:architecture:landmark:procmask_125_onion_maskproceduralvertical_34x50-transitionwidelandmark01tall_20260611_111830,rel:Novelty:ShapeVisual:Shape:Landmark:architecture:landmark:transition,True,314,Normal,298,119,314.0,17,14.62,12,Landmark,125.82399999999998,Shape,Novelty,B_peak7_end_calm,Landmark,125.8
299,very_hard,14,section,141.0,direct_advanced_20_direct_advanced_veryhard_rect_dual_zone_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_20_direct_advanced_veryhard_rect_dual_zone_g2_v03.asset,direct_advanced_candidates,27,45,201,0.977,0.986,17,8.98,37,1194,direct_advanced:dual_zone:g2,ok;rel:Hard:Pressure,True,201.4,ok,299,201,141.0,17,8.98,1194,dual_zone,228.20600000000002,Pressure,Hard,B_peak7_end_calm,dual_zone,228.2
300,hard,80,dense,153.0,direct_pure_topup_10_01_direct_polish_hard_pure_rect_dense_weave_g10_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_01_direct_polish_hard_pure_rect_dense_weave_g10_v08.asset,direct_pure_topup_slice10_candidates,22,42,143,0.974,0.960,22,11.01,30,627,direct_polish:dense_weave:g10,ok,True,193.0,ok,300,143,153.0,22,11.01,627,dense_weave,141.867,Recovery,Recovery,B_peak7_end_calm,dense_weave,141.9
301,hard,95,sweep,148.6,direct_pure_topup_09_02_direct_polish_hard_pure_rect_outer_shell_g13_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_02_direct_polish_hard_pure_rect_outer_shell_g13_v05.asset,direct_pure_topup_slice09_candidates,23,40,150,0.980,0.992,21,13.47,33,731,asset:direct_pure_topup_09_02_direct_p,ok,True,195.9,ok,301,150,148.6,21,13.47,731,direct_pure_topup_09_02_direct_p,148.68699999999998,Recovery,Recovery,C_double_wave,direct_pure_topup_09_02_direct_p,148.7
302,hard,7,section,171.1,direct_polish_hard_24_direct_polish_hard_rect_stair_push_g6_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishHardCandidates/direct_polish_hard_24_direct_polish_hard_rect_stair_push_g6_v03.asset,direct_polish_hard_candidates,24,43,165,0.980,1.000,16,7.25,35,1201,direct_polish:stair_push:g6,ok;rel:VeryHard:Peak,True,198.0,ok,302,165,171.1,16,7.25,1201,stair_push,202.38299999999998,Pressure,Hard,C_double_wave,stair_push,202.4
303,shape,127,shape_landmark,325,r2_outer_strong_005_r2_006_a401_procmask_31_onion_maskproceduralvertical_30x44-mainleaningtowertall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_31_onion_maskproceduralvertical_30x44-mainleaningtowertall_20260611_110752.asset,shape_final_with_supplement,30,44,120,0.613,,17,14.62,,0.19,shape:Landmark:SpecialShape,NoRisk|yellow_replacement:GrindyLowClear,True,325,Normal,303,120,325.0,17,14.62,0,Landmark,128.384,Shape,Novelty,C_double_wave,Landmark,128.4
304,hard,109,maze,140.7,direct_polish_hard_09_direct_polish_hard_rect_maze_long_chain_g4_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishHardCandidates/direct_polish_hard_09_direct_polish_hard_rect_maze_long_chain_g4_v01.asset,direct_polish_hard_candidates,26,40,167,0.980,0.984,31,13.14,28,758,direct_polish:maze_long_chain:g4,too-open;rel:Hard:Pressure,True,197.5,too-open,304,167,140.7,31,13.14,758,maze_long_chain,151.80399999999997,Recovery,Recovery,C_double_wave,maze_long_chain,151.8
