"order","section10","category","replacementMark","finalStatus","sourcePool","rhythmStyleGroup","productionLane","productionChainLanguage","initialAssetPath","finalAssetPath","initialWidth","initialHeight","initialArea","initialArrowCount","initialChainCount","initialArrowCoverage","finalWidth","finalHeight","finalArea","finalArrowCount","finalChainCount","finalArrowCoverage","arrowDelta","areaDelta","finalIsLargeCanvas","finalIsLowArrowLate"
"265","27","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","Campaign500_HardGateUntil0910","choice_clamp_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_70_direct_normal_rect_maze_long_chain_g0_v07.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_37_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","20","39","780","767","104","0.9833","22","30","660","653","64","0.9894","-114","-120","False","False"
"266","27","normal","REPLACED","ReplacedRhythmV4","NutationLongChainStrict60Front300","longchain","maze_long_chain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_10_direct_normal_pure_rect_section_unlock_g7_v02.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_04_nutation_longchain_spine_v1_rect_c80hf2_01_d1_lock_spine.asset","22","35","770","753","97","0.9779","22","30","660","625","47","0.947","-128","-110","False","False"
"267","27","hole","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_001_hc2_32x28_dual_b.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_001_hc2_32x28_dual_b.asset","32","28","896","809","82","0.9029","32","28","896","809","82","0.9029","0","0","True","False"
"268","27","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L268_boot_main.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_77_L268_boot_sweep.asset","34","42","1428","813","118","0.5693","34","42","1428","822","95","0.5756","9","0","True","False"
"269","27","normal","REPLACED","ReplacedRhythmV4","SeedV5LongChain30Front300","longchain","slot_seedmaze_chamber_corridor","family_profile_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_136_direct_diff_veryhard_dag_unlock_center_cross_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_25_l031_long_normal_a_sweep_s04_slot_seedmaze_chamber_corridor.asset","28","50","1400","1378","184","0.9843","17","23","391","365","22","0.9335","-1013","-1009","False","False"
"270","27","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","PeelMid","curve_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_147_direct_normal_rect_dual_zone_g2_v15.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_04_nutation_peel_rect_s01_o008_v03_peellight_curve_chain.asset","22","39","858","843","114","0.9825","21","28","588","580","64","0.9864","-263","-270","False","False"
"271","28","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","Campaign500_HardGateUntil0910","strict_peak_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_16_direct_normal_pure_rect_maze_long_chain_g10_v05.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_11_nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1.asset","22","32","704","693","114","0.9844","22","30","660","648","66","0.9818","-45","-44","False","False"
"272","28","normal","REPLACED","ReplacedRhythmV4","SeedV5LongChain30Front300","longchain","slot_seedweave_braid_carrier","family_profile_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_33_direct_normal_rect_lock_buckle_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_17_l022_long_normal_b_section_s03_slot_seedweave_braid_carrier.asset","23","39","897","880","115","0.981","18","21","378","360","21","0.9524","-520","-519","False","False"
"273","28","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L273_gameportal_main.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_23_L273_gameportal_r2section.asset","36","44","1584","824","113","0.5202","36","44","1584","829","111","0.5234","5","0","True","False"
"274","28","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","PeelMid","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_95_direct_diff_hard_near_square_stair_ladder_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_06_nutation_peel_rect_s02_o016_v01_peellight_curve_chain.asset","31","35","1085","1068","131","0.9843","21","28","588","573","63","0.9745","-495","-497","False","False"
"275","28","normal","REPLACED","ReplacedRhythmV4","NutationLongChainStrict60Front300","longchain","maze_long_chain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_04_direct_normal_rect_dense_weave_g0_v01.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_04_nutation_longchain_spine_v1_rect_c80hf3_01_d1_lock_spine.asset","22","36","792","776","106","0.9798","22","30","660","627","48","0.95","-149","-132","False","False"
"276","28","normal","REPLACED","ReplacedRhythmV4","SeedV5LongChain30Front300","longchain","slot_seedmaze_section_weave","family_profile_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_20_direct_advanced_veryhard_rect_dual_zone_g2_v03.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_33_l041_long_normal_a_dense_s05_slot_seedmaze_section_weave.asset","27","45","1215","1187","201","0.977","17","23","391","369","23","0.9437","-818","-824","False","False"
"277","28","hole","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_030_topup_std_26x26_dual.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_030_topup_std_26x26_dual.asset","26","26","676","586","61","0.8669","26","26","676","586","61","0.8669","0","0","False","False"
"278","28","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L278_tree_main.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10E/campaign500_shape_psg_next10e_02_L278_tree.asset","36","42","1512","873","119","0.5774","36","42","1512","884","116","0.5847","11","0","True","False"
"279","28","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","neutral","NeutralMixed","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_14_direct_normal_topup_rect_stair_push_g7_v02.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_90_nutation_mixed_neutral_v1_rect_s08_o079_v02_neutralmixed_mixed_chain.asset","20","39","780","766","107","0.9821","20","27","540","534","54","0.9889","-232","-240","False","False"
"280","28","normal","REPLACED","ReplacedRhythmV4","Campaign500NormalFullV1UnusedStrict","flow","FlowPatch","patch_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_113_direct_normal_rect_lock_buckle_g5_v12.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_25_nutation_flow_rail_v1_rect_s21_o202_v00_flowrail_patch_chain.asset","23","35","805","791","107","0.9826","20","27","540","535","54","0.9907","-256","-265","False","False"
"281","29","normal","REPLACED","ReplacedRhythmV4","NutationLongChainStrict60Front300","longchain","maze_long_chain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_95_direct_normal_rect_sweep_g3_v10.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_08_nutation_longchain_spine_v1_rect_c80_02_d1_maze_spine.asset","21","37","777","759","107","0.9768","23","31","713","659","43","0.9243","-100","-64","True","False"
"282","29","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","PeelMid","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_114_direct_normal_rect_dense_weave_g5_v12.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_67_nutation_peel_rail_v1_rect_s06_o052_v00_peelmid_rail_chain.asset","21","38","798","784","107","0.9825","21","28","588","583","54","0.9915","-201","-210","False","False"
"283","29","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L283_volcano_main.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_86_L283_volcano_sweep.asset","40","42","1680","906","119","0.5393","40","42","1680","929","114","0.553","23","0","True","False"
"284","29","normal","REPLACED","ReplacedRhythmV4","SeedV5LongChain30Front300","longchain","slot_headmix_outerclean","family_profile_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_22_direct_polish_hard_pure_rect_lock_buckle_g11_v03.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_72_l092_long_normal_a_lock_s10_slot_headmix_outerclean.asset","27","40","1080","1054","172","0.9759","17","23","391","373","29","0.954","-681","-689","False","False"
"285","29","hole","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_025_topup_std_24x28_maze.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_025_topup_std_24x28_maze.asset","24","28","672","587","62","0.8735","24","28","672","587","62","0.8735","0","0","False","False"
"286","29","normal","REPLACED","ReplacedRhythmV4","SeedV5LongChain30Front300","longchain","slot_seedmaze_chamber_corridor","family_profile_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_39_direct_normal_topup_rect_quasi_symmetry_g10_v05.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_05_l005_long_normal_b_normal_s01_slot_seedmaze_chamber_corridor.asset","22","38","836","823","107","0.9844","17","22","374","349","24","0.9332","-474","-462","False","False"
"287","29","normal","REPLACED","ReplacedRhythmV4","SeedV5LongChain30Front300","longchain","slot_seedweave_dense_support","family_profile_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_35_direct_advanced_veryhard_rect_core_burst_g0_v05.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_18_l022_long_normal_b_section_s03_slot_seedweave_dense_support.asset","27","50","1350","1313","214","0.9726","18","21","378","353","29","0.9339","-960","-972","False","False"
"288","29","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L288_knighthelmet_main.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10E/campaign500_shape_psg_next10e_04_L288_knighthelmet.asset","36","44","1584","827","120","0.5221","36","44","1584","837","101","0.5284","10","0","True","False"
"289","29","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","flow","FlowRail","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_38_direct_normal_rect_stair_push_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_02_nutation_flow_rail_v1_rect_s14_o134_v01_flowrail_rail_chain.asset","21","40","840","820","115","0.9762","18","24","432","427","39","0.9884","-393","-408","False","False"
"290","29","normal","REPLACED","ReplacedRhythmV4","SeedV5LongChain30Front300","longchain","slot_seedweave_braid_carrier","family_profile_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_82_direct_normal_rect_section_unlock_g2_v09.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset","22","39","858","839","114","0.9779","12","16","192","181","15","0.9427","-658","-666","False","False"
"291","30","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","flow","FlowCurve","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_43_direct_normal_topup_rect_dense_weave_g11_v06.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset","21","37","777","765","106","0.9846","18","24","432","427","40","0.9884","-338","-345","False","False"
"292","30","hole","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_028_std_24x26_section.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_028_std_24x26_section.asset","24","26","624","539","60","0.8638","24","26","624","539","60","0.8638","0","0","False","False"
"293","30","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L293_potionbottle_large.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_26_L293_potionbottle_r2dense.asset","36","47","1692","1015","118","0.5999","36","47","1692","1026","128","0.6064","11","0","True","False"
"294","30","normal","REPLACED","ReplacedRhythmV4","SeedV5LongChain30Front300","longchain","slot_seedweave_braid_carrier","family_profile_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_155_direct_normal_rect_sweep_g3_v16.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_01_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset","23","36","828","814","110","0.9831","12","16","192","181","15","0.9427","-633","-636","False","False"
"295","30","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","flow","FlowRail","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_53_direct_normal_topup_rect_dual_zone_g6_v07.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain.asset","22","37","814","805","105","0.9889","18","24","432","430","38","0.9954","-375","-382","False","False"
"296","30","normal","REPLACED","ReplacedRhythmV4","SeedV5LongChain30Front300","longchain","slot_seedmaze_chamber_corridor","family_profile_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_02_direct_polish_hard_pure_rect_core_burst_g10_v08.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_10_l011_long_normal_a_normal_s02_slot_seedmaze_chamber_corridor.asset","23","44","1012","997","163","0.9852","13","17","221","209","17","0.9457","-788","-791","False","False"
"297","30","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","flow","FlowPatch","patch_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_128_direct_normal_rect_stair_push_g0_v13.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_03_nutation_flow_rail_v1_rect_s06_o060_v02_flowrail_patch_chain.asset","22","38","836","814","114","0.9737","18","24","432","430","38","0.9954","-384","-404","False","False"
"298","30","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L298_rocketvarianta_main.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_93_L298_rocketvarianta_dense.asset","34","44","1496","832","123","0.5561","34","44","1496","841","108","0.5622","9","0","True","False"
"299","30","normal","REPLACED","ReplacedRhythmV4","SeedV5LongChain30Front300","longchain","slot_headmix_outerclean","family_profile_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_138_direct_diff_veryhard_room_gate_double_room_lock_g4_v05.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_01_l003_long_normal_a_normal_s01_slot_headmix_outerclean.asset","29","46","1334","1315","178","0.9858","12","16","192","180","15","0.9375","-1135","-1142","False","False"
"300","30","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","flow","FlowCurve","curve_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_110_direct_normal_rect_maze_long_chain_g4_v11.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_04_nutation_flow_rail_v1_rect_s07_o068_v00_flowrail_mixed_chain.asset","20","41","820","806","110","0.9829","18","24","432","426","36","0.9861","-380","-388","False","False"
"301","31","hole","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_012_hc2_28x30_lock_a.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_012_hc2_28x30_lock_a.asset","28","30","840","752","82","0.8952","28","30","840","752","82","0.8952","0","0","True","False"
"302","31","normal","KEPT_TARGET_GAP","OriginalTargetMissingHardGate","OriginalV11Fallback","","FlowCurve","curve_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_51_direct_normal_topup_rect_dense_weave_g6_v07.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_51_direct_normal_topup_rect_dense_weave_g6_v07.asset","20","39","780","773","102","0.991","20","39","780","773","102","0.991","0","0","True","False"
"303","31","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L303_virtualpetkeychain_main.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_29_L303_virtualpetkeychain_r2dense.asset","34","44","1496","819","120","0.5475","34","44","1496","824","103","0.5508","5","0","True","False"
"304","31","normal","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_138_direct_normal_rect_stair_push_g1_v14.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_138_direct_normal_rect_stair_push_g1_v14.asset","23","40","920","906","122","0.9848","23","40","920","906","122","0.9848","0","0","True","False"
"305","31","normal","KEPT_CURRENT","After300DeferredForFront300PriorityV3","","","","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_19_direct_advanced_veryhard_rect_core_burst_g2_v03.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain.asset","25","44","1100","1078","181","0.98","25","33","825","818","82","0.9915","-260","-275","True","False"
"306","31","normal","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_101_direct_diff_hard_long_spine_snake_spine_g0_v06.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_101_direct_diff_hard_long_spine_snake_spine_g0_v06.asset","22","41","902","889","117","0.9856","22","41","902","889","117","0.9856","0","0","True","False"
"307","31","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L307_pear_large.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_99_L307_pear_dense.asset","36","47","1692","982","121","0.5804","36","47","1692","985","118","0.5822","3","0","True","False"
"308","31","normal","KEPT_CURRENT","After300DeferredForFront300PriorityV3","","","","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_15_direct_normal_pure_rect_dual_zone_g10_v05.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_53_nutation_mixed_neutral_v1_rect_s31_o308_v01_neutralmixed_mixed_chain.asset","21","37","777","767","106","0.9871","22","30","660","649","71","0.9833","-118","-117","False","False"
"309","31","normal","KEPT_CURRENT","After300DeferredForFront300PriorityV3","","","","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_41_direct_advanced_veryhard_rect_lock_buckle_g1_v06.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_22_nutation_strict_mixed_hard_v1_rect_s31_o309_v05_strictmixedhard_mixed_chain.asset","24","51","1224","1201","200","0.9812","26","34","884","871","93","0.9853","-330","-340","True","False"
"310","31","normal","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_58_direct_normal_rect_stair_push_g5_v06.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_58_direct_normal_rect_stair_push_g5_v06.asset","23","37","851","838","111","0.9847","23","37","851","838","111","0.9847","0","0","True","False"
"311","32","normal","KEPT_CURRENT","After300DeferredForFront300PriorityV3","","","","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_16_direct_normal_pure_rect_maze_long_chain_g7_v08.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_40_nutation_flow_rail_v1_rect_s32_o311_v00_flowrail_rail_chain.asset","21","35","735","728","103","0.9905","20","27","540","538","47","0.9963","-190","-195","False","False"
"312","32","normal","REPLACED","ExternalCandidatePlanned","HubMixedStrict30Refill","","PeelMid","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_22_direct_polish_hard_pure_rect_outer_shell_g9_v07.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_02_s01_r02.asset","22","39","858","837","134","0.9755","23","31","713","678","99","0.9509","-159","-145","True","False"
"313","32","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L313_apple_main.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_101_L313_apple_sweep.asset","34","38","1292","857","121","0.6633","34","38","1292","866","119","0.6703","9","0","True","False"
"314","32","normal","KEPT_CURRENT","After300DeferredForFront300PriorityV3","","","","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_101_direct_normal_rect_outer_shell_g4_v11.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_66_nutation_mixed_neutral_v1_rect_s32_o314_v02_neutralmixed_mixed_chain.asset","22","41","902","887","112","0.9834","22","30","660","650","72","0.9848","-237","-242","False","False"
"315","32","normal","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_80_direct_normal_topup_rect_sweep_g9_v10.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_80_direct_normal_topup_rect_sweep_g9_v10.asset","22","41","902","887","116","0.9834","22","41","902","887","116","0.9834","0","0","True","False"
"316","32","normal","KEPT_CURRENT","After300DeferredForFront300PriorityV3","","","","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_18_direct_advanced_veryhard_rect_dense_weave_g2_v03.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain.asset","28","51","1428","1405","233","0.9839","27","36","972","962","100","0.9897","-443","-456","True","False"
"317","32","hole","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_053_std_28x28_maze.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_053_std_28x28_maze.asset","28","28","784","694","65","0.8852","28","28","784","694","65","0.8852","0","0","True","False"
"318","32","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L318_flame_main.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10E/campaign500_shape_psg_next10e_10_L318_flame.asset","34","42","1428","867","125","0.6071","34","42","1428","868","113","0.6078","1","0","True","False"
"319","32","normal","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_143_direct_normal_rect_lock_buckle_g2_v15.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_143_direct_normal_rect_lock_buckle_g2_v15.asset","22","41","902","878","115","0.9734","22","41","902","878","115","0.9734","0","0","True","False"
